source,database,original_index,confidence,check,detail,question,cypher,typeql
synthetic-1,companies,84,high,cypher_invalid_rel_type,"Cypher references relationship type ""AUTHOR"" not in Neo4j schema (valid: ['HAS_BOARD_MEMBER', 'HAS_CATEGORY', 'HAS_CEO', 'HAS_CHILD', 'HAS_CHUNK', 'HAS_COMPETITOR', 'HAS_INVESTOR', 'HAS_PARENT', 'HAS_SUBSIDIARY', 'HAS_SUPPLIER', 'IN_CITY', 'IN_COUNTRY', 'MENTIONS'])",Which organizations have a CEO who has written an article?,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)<-[:AUTHOR]-(a:Article)
RETURN o.name AS organization, ceo.name AS ceo, a.title AS article","match
  $o isa organization;
  $p isa person;
  (organization: $o, ceo: $p) isa ceo_of;
fetch { ""organization"": $o.name, ""ceo"": $p.name };"
synthetic-1,companies,144,high,cypher_invalid_rel_type,"Cypher references relationship type ""MENTIONED_IN"" not in Neo4j schema (valid: ['HAS_BOARD_MEMBER', 'HAS_CATEGORY', 'HAS_CEO', 'HAS_CHILD', 'HAS_CHUNK', 'HAS_COMPETITOR', 'HAS_INVESTOR', 'HAS_PARENT', 'HAS_SUBSIDIARY', 'HAS_SUPPLIER', 'IN_CITY', 'IN_COUNTRY', 'MENTIONS'])",Which 3 organizations have been dissolved and are mentioned in articles with a sentiment score below 0.5?,"MATCH (o:Organization)-[:MENTIONED_IN]->(a:Article)
WHERE o.isDissolved = true AND a.sentiment < 0.5
RETURN o.name
LIMIT 3","match
  $o isa organization, has is_dissolved true;
  $a isa article, has sentiment $s;
  $s < 0.5;
  mentions (mentioned: $o, article: $a);
limit 3;
fetch { ""name"": $o.name };"
synthetic-1,companies,370,high,cypher_invalid_rel_type,"Cypher references relationship type ""HAS_AUTHORED"" not in Neo4j schema (valid: ['HAS_BOARD_MEMBER', 'HAS_CATEGORY', 'HAS_CEO', 'HAS_CHILD', 'HAS_CHUNK', 'HAS_COMPETITOR', 'HAS_INVESTOR', 'HAS_PARENT', 'HAS_SUBSIDIARY', 'HAS_SUPPLIER', 'IN_CITY', 'IN_COUNTRY', 'MENTIONS'])",Name the first 3 organizations that have a CEO who has authored a book on leadership.,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)
WHERE EXISTS {
  (ceo)-[:HAS_AUTHORED]->(:Book)-[:HAS_CATEGORY]->(:Category {name: 'Leadership'})
}
RETURN o.name
LIMIT 3","match
  $o isa organization;
  $ceo isa person;
  (organization: $o, ceo: $ceo) isa ceo_of;
  $ic isa industry_category; (organization: $o, category: $ic) isa in_category;
limit 3;
fetch { ""name"": $o.name };"
synthetic-1,companies,371,high,cypher_invalid_rel_type,"Cypher references relationship type ""HAS_AUTHORED"" not in Neo4j schema (valid: ['HAS_BOARD_MEMBER', 'HAS_CATEGORY', 'HAS_CEO', 'HAS_CHILD', 'HAS_CHUNK', 'HAS_COMPETITOR', 'HAS_INVESTOR', 'HAS_PARENT', 'HAS_SUBSIDIARY', 'HAS_SUPPLIER', 'IN_CITY', 'IN_COUNTRY', 'MENTIONS'])",Name the first 3 organizations that have a CEO who has authored a book on leadership.,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)
WHERE EXISTS {
  (ceo)-[:HAS_AUTHORED]->(:Book)-[:HAS_CATEGORY]->(:Category {name: 'Leadership'})
}
RETURN o.name
LIMIT 3","match
  $o isa organization;
  $ceo isa person;
  (organization: $o, ceo: $ceo) isa ceo_of;
  $ic isa industry_category; (organization: $o, category: $ic) isa in_category;
limit 3;
fetch { ""name"": $o.name };"
synthetic-1,companies,372,high,cypher_invalid_rel_type,"Cypher references relationship type ""HAS_AUTHORED"" not in Neo4j schema (valid: ['HAS_BOARD_MEMBER', 'HAS_CATEGORY', 'HAS_CEO', 'HAS_CHILD', 'HAS_CHUNK', 'HAS_COMPETITOR', 'HAS_INVESTOR', 'HAS_PARENT', 'HAS_SUBSIDIARY', 'HAS_SUPPLIER', 'IN_CITY', 'IN_COUNTRY', 'MENTIONS'])",Name the first 3 organizations that have a CEO who has authored a book on leadership.,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)
WHERE EXISTS {
  (ceo)-[:HAS_AUTHORED]->(:Book)-[:HAS_CATEGORY]->(:Category {name: 'Leadership'})
}
RETURN o.name
LIMIT 3","match
  $o isa organization;
  $ceo isa person;
  (organization: $o, ceo: $ceo) isa ceo_of;
  $ic isa industry_category; (organization: $o, category: $ic) isa in_category;
limit 3;
fetch { ""name"": $o.name };"
synthetic-1,companies,436,high,cypher_invalid_rel_type,"Cypher references relationship type ""AUTHOR"" not in Neo4j schema (valid: ['HAS_BOARD_MEMBER', 'HAS_CATEGORY', 'HAS_CEO', 'HAS_CHILD', 'HAS_CHUNK', 'HAS_COMPETITOR', 'HAS_INVESTOR', 'HAS_PARENT', 'HAS_SUBSIDIARY', 'HAS_SUPPLIER', 'IN_CITY', 'IN_COUNTRY', 'MENTIONS'])",Which organizations have a CEO who has written an article?,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)<-[:AUTHOR]-(a:Article) RETURN o.name AS organization, ceo.name AS ceo, a.title AS article","match $o isa organization; $ceo isa person; $a isa article; (organization: $o, ceo: $ceo) isa ceo_of; fetch { ""organization"": $o.name, ""ceo"": $ceo.name, ""article"": $a.title };"
synthetic-1,companies,581,high,cypher_invalid_rel_type,"Cypher references relationship type ""HAS_NATIONALITY"" not in Neo4j schema (valid: ['HAS_BOARD_MEMBER', 'HAS_CATEGORY', 'HAS_CEO', 'HAS_CHILD', 'HAS_CHUNK', 'HAS_COMPETITOR', 'HAS_INVESTOR', 'HAS_PARENT', 'HAS_SUBSIDIARY', 'HAS_SUPPLIER', 'IN_CITY', 'IN_COUNTRY', 'MENTIONS'])",Name the first 3 organizations that have a CEO and a board member with different nationalities.,"MATCH ... (ceo)-[:HAS_NATIONALITY]->(ceoCountry:Country), (board)-[:HAS_NATIONALITY]->(boardCountry:Country) WHERE ceoCountry <> boardCountry","match $o isa organization; $ceo isa person; $board isa person; $ceoCountry isa country; $boardCountry isa country; (organization: $o, ceo: $ceo) isa ceo_of; (organization: $o, member: $board) isa board_member_of; limit 3; fetch { ""organization"": $o.name, ""ceo"": $ceo.name, ""ceoCountry"": $ceoCountry.country_name };"
synthetic-1,companies,698,high,cypher_invalid_rel_type,"Cypher references relationship type ""MENTIONED_IN"" not in Neo4j schema (valid: ['HAS_BOARD_MEMBER', 'HAS_CATEGORY', 'HAS_CEO', 'HAS_CHILD', 'HAS_CHUNK', 'HAS_COMPETITOR', 'HAS_INVESTOR', 'HAS_PARENT', 'HAS_SUBSIDIARY', 'HAS_SUPPLIER', 'IN_CITY', 'IN_COUNTRY', 'MENTIONS'])",Which 3 organizations have changed their CEOs in the last year?,"MATCH (o:Organization)-[:HAS_CEO]->(p:Person)
WHERE p.name IS NOT NULL
WITH o
ORDER BY o.name
LIMIT 3
MATCH (o)-[:MENTIONED_IN]->(a:Article)
WHERE a.date >= datetime() - duration('P1Y') 
RETURN DISTINCT o.name AS organization, a.title AS article_title","match
  $o isa organization;
  $p isa person;
  (organization: $o, ceo: $p) isa ceo_of;
  $a isa article;
  $p has name $p_name;
  $o has name $o_name;
sort $o_name asc;
limit 3;
fetch { ""organization"": $o.name, ""article_title"": $a.title };"
synthetic-1,companies,792,high,cypher_invalid_rel_type,"Cypher references relationship type ""CAPITAL_OF"" not in Neo4j schema (valid: ['HAS_BOARD_MEMBER', 'HAS_CATEGORY', 'HAS_CEO', 'HAS_CHILD', 'HAS_CHUNK', 'HAS_COMPETITOR', 'HAS_INVESTOR', 'HAS_PARENT', 'HAS_SUBSIDIARY', 'HAS_SUPPLIER', 'IN_CITY', 'IN_COUNTRY', 'MENTIONS'])","Which organizations have more than 10,000 employees and are located in a city that is not the capital of a country?","MATCH (o:Organization)-[:IN_CITY]->(c:City)-[:IN_COUNTRY]->(country:Country) WHERE o.nbrEmployees > 10000 AND NOT EXISTS {(c)<-[:CAPITAL_OF]-(country)} RETURN o.name AS organization, c.name AS city, country.name AS country","match $o isa organization; $c isa city; $country isa country; (organization: $o, city: $c) isa located_in; $o has nbr_employees $o_nbr_employees; $o_nbr_employees > 10000; (child: $c, parent: $country) isa location-contains; fetch { ""organization"": $o.name, ""city"": $c.city_name, ""country"": $country.country_name };"
synthetic-1,companies,823,high,cypher_invalid_rel_type,"Cypher references relationship type ""AUTHOR"" not in Neo4j schema (valid: ['HAS_BOARD_MEMBER', 'HAS_CATEGORY', 'HAS_CEO', 'HAS_CHILD', 'HAS_CHUNK', 'HAS_COMPETITOR', 'HAS_INVESTOR', 'HAS_PARENT', 'HAS_SUBSIDIARY', 'HAS_SUPPLIER', 'IN_CITY', 'IN_COUNTRY', 'MENTIONS'])",Which organizations have a CEO who has authored articles?,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)<-[:AUTHOR]-(a:Article) RETURN o.name AS organization, ceo.name AS ceo, a.title AS article","match $o isa organization; $ceo isa person; $a isa article; (organization: $o, ceo: $ceo) isa ceo_of; fetch { ""organization"": $o.name, ""ceo"": $ceo.name, ""article"": $a.title };"
