original_index,question,cypher,typeql
0,Find the top 3 users interacted with by 'sarahp.bsky.social'.,"MATCH (u1:User {label: 'sarahp.bsky.social'})-[:INTERACTED]->(u2:User)
RETURN u2.label AS interactedUser, COUNT(*) AS interactionCount
ORDER BY interactionCount DESC
LIMIT 3","match
$u1 isa user, has handle ""sarahp.bsky.social"";
$rel isa interacted (source_user: $u1, target_user: $u2);
reduce $count = count($rel) groupby $u2;
sort $count desc;
limit 3;
fetch { ""interactedUser"": $u2.handle, ""interactionCount"": $count };"
1,Find 3 users located at x-coordinate values greater than 10000.,"MATCH (u:User)
WHERE u.x > 10000
RETURN u.label, u.x
LIMIT 3","match
$u isa user, has x_coordinate $x;
$x > 10000.0;
sort $x;
limit 3;
fetch {
  ""handle"": $u.handle,
  ""x_coordinate"": $x
};"
2,List the top 5 users having the most interactions with a specific key in 'INTERACTED' relationship.,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
WHERE r.key = 'specific_key'
WITH u1, COUNT(r) AS interactions
ORDER BY interactions DESC
LIMIT 5
RETURN u1.label AS User, interactions","match
$u1 isa user;
$rel isa interacted (source_user: $u1, target_user: $u2);
$rel has interaction_key ""specific_key"";
reduce $interactions = count($rel) groupby $u1;
sort $interactions desc;
limit 5;
fetch {
  ""User"": $u1.handle,
  ""interactions"": $interactions
};"
3,Which 3 users have the largest size and a color of '#3CB371'?,"MATCH (u:User)
WHERE u.color = '#3CB371'
RETURN u.label, u.size
ORDER BY u.size DESC
LIMIT 3","match
$u isa user, has color ""#3CB371"", has size $s;
sort $s desc;
limit 3;
fetch {
  ""label"": $u.handle,
  ""size"": $s
};"
4,Show the top 5 users who have interacted with users having a color of '#FF4500'.,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
WHERE u2.color = '#FF4500'
RETURN u1.label, COUNT(r) AS interactions
ORDER BY interactions DESC
LIMIT 5","match
$u1 isa user;
$u2 isa user, has color ""#FF4500"";
$rel isa interacted (source_user: $u1, target_user: $u2);
reduce $count = count($rel) groupby $u1;
sort $count desc;
limit 5;
fetch {
  ""label"": $u1.handle,
  ""interactions"": $count
};"
5,What are the top 5 user interactions based on the interaction weight in descending order?,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
RETURN u1.label AS User1, u2.label AS User2, r.weight AS InteractionWeight
ORDER BY r.weight DESC
LIMIT 5","match
$u1 isa user;
$u2 isa user;
$rel isa interacted (source_user: $u1, target_user: $u2), has weight $w;
sort $w desc;
limit 5;
fetch {
  ""User1"": $u1.handle,
  ""User2"": $u2.handle,
  ""InteractionWeight"": $w
};"
6,Who are the top 5 users with the most interactions having a weight greater than 5?,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
WHERE r.weight > 5
WITH u1, COUNT(r) AS interactionCount
ORDER BY interactionCount DESC
LIMIT 5
RETURN u1.label AS User, interactionCount","match
$u1 isa user;
$rel isa interacted (source_user: $u1, target_user: $u2);
$rel has weight $w;
$w > 5.0;
reduce $count = count($rel) groupby $u1;
sort $count desc;
limit 5;
fetch {
  ""User"": $u1.handle,
  ""interactionCount"": $count
};"
7,List the top 5 users with the smallest area attribute.,"MATCH (u:User)
RETURN u.label, u.area
ORDER BY u.area ASC
LIMIT 5","match
$u isa user, has handle $h, has area $a;
sort $a asc;
limit 5;
fetch {
  ""label"": $h,
  ""area"": $a
};"
8,Show 3 users who have interacted with users located at y-coordinate values greater than 10000.,"MATCH (u1:User)-[:INTERACTED]->(u2:User)
WHERE u2.y > 10000
RETURN DISTINCT u1.label
LIMIT 3","match
$u1 isa user;
$u2 isa user, has y_coordinate $y;
$y > 10000.0;
interacted (source_user: $u1, target_user: $u2);
select $u1;
distinct;
limit 3;
fetch {
  ""label"": $u1.handle
};"
9,Which 5 users have interacted with the most users with a size over 2?,"MATCH (u:User)-[r:INTERACTED]->(v:User)
WHERE v.size > 2
WITH u, COUNT(DISTINCT v) AS interactionCount
RETURN u.label AS user, interactionCount
ORDER BY interactionCount DESC
LIMIT 5","match
$u isa user;
$v isa user, has size $s;
$s > 2.0;
interacted (source_user: $u, target_user: $v);
select $u, $v;
distinct;
reduce $count = count($v) groupby $u;
sort $count desc;
limit 5;
fetch {
  ""user"": $u.handle,
  ""interactionCount"": $count
};"
10,Find the top 3 users who have a label containing 'bsky.social'.,"MATCH (u:User)
WHERE u.label CONTAINS 'bsky.social'
RETURN u
ORDER BY u.size DESC
LIMIT 3","match
$u isa user, has handle $h, has size $s;
$h like "".*bsky.social.*"";
sort $s desc;
limit 3;
fetch {
  ""handle"": $u.handle,
  ""user_key"": $u.user_key,
  ""size"": $u.size
};"
