original_index,question,cypher,error
1,What are the previous versions of the software running on 'DC1-RCK-1-1-M-1'?,"MATCH (dc:DataCenter)-[:CONTAINS]->(rack:Rack)-[:HOLDS]->(machine:Machine {name: 'DC1-RCK-1-1-M-1'})-[:RUNS]->(software:Software)
MATCH (software)-[:VERSION]->(currentVersion:Version)
MATCH (currentVersion)-[:PREVIOUS*]->(previousVersion:Version)
RETURN DISTINCT previousVersion.name AS PreviousVersions",Cypher uses transitive closure ([:PREVIOUS*]) which is not supported in TypeQL 3.0. No recursive or transitive relation traversal available.
201,What are the previous versions of version 7.1 in the software dependency chain?,"MATCH (v:Version {name: '7.1'})-[:PREVIOUS*]->(prev:Version)
RETURN prev.name AS previous_versions","Cypher uses variable-length path traversal ([:PREVIOUS*]) for transitive closure, which is not supported in TypeQL 3.0"
228,What are the first 5 previous versions of version '7.1'?,"MATCH (v:Version {name: '7.1'})-[:PREVIOUS*1..5]->(prev:Version)
RETURN prev.name
LIMIT 5","Variable-length path traversal (PREVIOUS*1..5) not supported in TypeQL - no recursive or transitive path matching available, and try-block scoping prevents chaining optional hops"
259,List the first 5 previous versions that the version '7.1' depends on.,"MATCH (v:Version {name: '7.1'})-[:PREVIOUS*1..5]->(prev:Version)
RETURN prev.name
LIMIT 5",Variable-length path traversal (PREVIOUS*1..5) is not supported in TypeQL. TypeQL has no recursive or transitive path matching.
347,How many machines are there in rack 'DC1-RCK-4-9' and what types are they?,"MATCH (rack:Rack {name: 'DC1-RCK-4-9'})-[:HOLDS]->(machine:Machine)-[:TYPE]->(type:Type)
RETURN COUNT(machine) AS machine_count, COLLECT(DISTINCT type.type) AS machine_types",Cypher uses COLLECT(DISTINCT ...) which maps to collect() - unsupported in TypeQL 3.0
382,How many machines are in rack 3 and what are their names?,"MATCH (rack:Rack {rack: 3})-[:HOLDS]->(machine:Machine)
RETURN count(machine) AS machine_count, collect(machine.name) AS machine_names",Cypher uses collect() which is unsupported in TypeQL 3.0
397,What are the total dependencies of the application 'crm' including indirect dependencies?,"MATCH (app:Application {name: 'crm'})-[:DEPENDS_ON*]->(dependency)
RETURN DISTINCT dependency.name AS DependencyName",Cypher uses variable-length path traversal ([:DEPENDS_ON*]) for transitive closure to find indirect dependencies. TypeQL 3.0 does not support recursive or transitive relation traversal.
525,Find the top 3 racks by zone that contain the most machines.,"MATCH (r:Rack)-[:HOLDS]->(m:Machine)
WITH r.zone AS zone, r.name AS rackName, COUNT(m) AS machineCount
ORDER BY zone, machineCount DESC
WITH zone, COLLECT({rackName: rackName, machineCount: machineCount}) AS racksByZone
RETURN zone, racksByZone[0..3] AS top3RacksByZone","Unsupported: requires COLLECT() and array slicing [0..3] for per-zone top-3 ranking, which TypeQL does not support"
527,List all versions that are previous to version named '7.1' and their dependencies.,"MATCH (v:Version {name: '7.1'})<-[:PREVIOUS]-(prev:Version)
OPTIONAL MATCH (prev)-[:DEPENDS_ON]->(dep:Version)
RETURN prev.name AS PreviousVersion, collect(dep.name) AS Dependencies","collect() is unsupported in TypeQL. Additionally, version entity cannot play depends_on:dependent role per schema, so the OPTIONAL MATCH dependency pattern is not expressible."
560,List the first 3 previous versions of the version named '7.1' and their software dependencies.,"MATCH (v:Version {name: '7.1'})-[:PREVIOUS*1..3]->(prev:Version)
OPTIONAL MATCH (prev)<-[:VERSION]-(s:Software)
RETURN prev.name AS PreviousVersion, collect(s.name) AS SoftwareDependencies
LIMIT 3",Unsupported: collect() aggregation and variable-length path traversal (*1..3) have no TypeQL equivalent
603,Identify all previous versions of the version named '7.1' that are used by a software.,"MATCH (v:Version {name: '7.1'})-[:PREVIOUS*]->(prev:Version)<-[:VERSION]-(s:Software)
RETURN DISTINCT prev.name AS PreviousVersions",Unsupported: Variable-length path traversal ([:PREVIOUS*]) - TypeQL does not support transitive closure
623,What are the names and IPs of all interfaces connected to network '10.2'?,"MATCH (network:Network {ip: '10.2'})-[:ROUTES]->(interface:Interface)
RETURN interface.ip AS ip, interface.name AS name",Schema mismatch: interface entity does not have name attribute in TypeQL schema. Cypher references interface.name which does not exist.
