original_index,question,cypher,error
32,Who are the first 3 actors who starred in movies that won at least one Oscar?,"MATCH (m:Movie)-[:CAST_FOR]->(p:Person)
WHERE m.awards CONTAINS 'Oscar'
WITH p, m
ORDER BY m.awards_count DESC
RETURN DISTINCT p.name AS Actor, m.title AS Movie
LIMIT 3",Cypher references non-existent properties: m.awards and m.awards_count do not exist in the neoflix schema. No equivalent attributes available.
40,Name the top 5 movies with the most detailed overviews (measured by word count).,"MATCH (m:Movie)
WITH m, size(split(m.overview, "" "")) AS word_count
ORDER BY word_count DESC
LIMIT 5
RETURN m.title AS MovieTitle, word_count AS OverviewWordCount","Unsupported: Cypher uses split() and size() for word counting, which have no TypeQL equivalent."
156,What are the first 3 movies with the most characters in their overview?,"MATCH (m:Movie)
RETURN m.title, m.overview, size(split(m.overview, "" "")) AS word_count
ORDER BY word_count DESC
LIMIT 3",Unsupported: Cypher uses split() and size() string functions which have no TypeQL equivalent
171,Which 3 adult films have been released during a leap year?,"MATCH (a:Adult)
WHERE (a.release_date.year % 4 = 0 AND a.release_date.year % 100 <> 0) OR (a.release_date.year % 400 = 0)
RETURN a.title, a.release_date
ORDER BY a.release_date DESC
LIMIT 3","Unsupported: TypeQL has no date component extraction (year) or modulo arithmetic on datetime values, which are required for leap year calculation."
573,What are the top 5 movies with the most extended release dates range within a collection?,"MATCH (m:Movie)-[:IN_COLLECTION]->(c:Collection)
WITH c, collect(m) AS movies
UNWIND movies AS movie
WITH c, movie, min(movie.release_date) AS earliest_date, max(movie.release_date) AS latest_date
WITH c, latest_date - earliest_date AS date_range
ORDER BY date_range DESC
LIMIT 5
MATCH (m:Movie)-[:IN_COLLECTION]->(c)
RETURN c.name AS collection_name, m.title AS movie_title, m.release_date AS release_date
ORDER BY collection_name, release_date",Unsupported: date arithmetic (latest_date - earliest_date) and collect/UNWIND have no TypeQL equivalent
581,Which movies have a release date on a leap year?,"MATCH (m:Movie)
WHERE (m.release_date.year % 4 = 0 AND m.release_date.year % 100 <> 0) OR (m.release_date.year % 400 = 0)
RETURN m.title, m.release_date","Requires date component extraction (release_date.year) and modulo arithmetic (% operator), both unsupported in TypeQL 3.0"
621,Which 3 movies have the highest popularity and were released in the last 5 years?,"MATCH (m:Movie)
WHERE m.release_date >= date().year - 5
RETURN m.title, m.popularity
ORDER BY m.popularity DESC
LIMIT 3",Requires date arithmetic (date().year - 5) to compute a dynamic date threshold. TypeQL has no now() or dynamic date functions.
752,What are the top 5 movies with the most complex taglines?,"MATCH (m:Movie)
WHERE m.tagline IS NOT NULL
RETURN m.title, m.tagline, size(split(m.tagline, "" "")) AS tagline_length
ORDER BY tagline_length DESC
LIMIT 5",Unsupported features: size() and split() string functions have no TypeQL equivalent
758,Which 3 videos have the most detailed overviews?,"MATCH (v:Video)
RETURN v.title, v.overview, size(v.overview) AS overview_length
ORDER BY overview_length DESC
LIMIT 3",Unsupported: size() for string length has no TypeQL equivalent
829,Which 3 movies have the smallest difference between their original and final titles?,"MATCH (m:Movie)
WITH m, 
     apoc.text.levenshteinDistance(m.original_title, m.title) AS title_difference
ORDER BY title_difference ASC
LIMIT 3
RETURN m.title AS final_title, m.original_title AS original_title, title_difference",Unsupported: apoc.text.levenshteinDistance() string distance function has no TypeQL equivalent
