source,database,original_index,confidence,check,detail,question,cypher,typeql
synthetic-1,companies,277,high,cypher_lacks_count_vs_typeql,TypeQL uses reduce...count but Cypher has no COUNT(),What are the names of organizations that have at least 2 board members?,"MATCH (o:Organization)
WHERE size([(o)-[:HAS_BOARD_MEMBER]->(:Person) | 1]) >= 2
RETURN o.name","match
  $o isa organization;
  board_member_of (organization: $o, member: $p);
reduce $count = count($p) groupby $o;
match $count >= 2;
fetch { ""name"": $o.name };"
synthetic-1,companies,407,high,cypher_lacks_count_vs_typeql,TypeQL uses reduce...count but Cypher has no COUNT(),Which organizations are mentioned in articles published after 2020?,"MATCH (a:Article)-[:MENTIONS]->(o:Organization) WHERE a.date > date(""2020-01-01"") RETURN DISTINCT o","match
  $o isa organization;
  $a isa article;
  (article: $a, mentioned: $o) isa mentions;
reduce $mentionCount = count($a) groupby $o;
limit 3;
fetch { ""organization"": $o.name, ""mentionCount"": $mentionCount };"
synthetic-1,companies,537,high,cypher_lacks_count_vs_typeql,TypeQL uses reduce...count but Cypher has no COUNT(),What is the summary of the person with ID 'Eaf0bpz6NNoqLVUCqNZPAew'?,"MATCH (p:Person {id: 'Eaf0bpz6NNoqLVUCqNZPAew'})
RETURN p.summary","match
  $o isa organization;
  $a isa article;
  (article: $a, mentioned: $o) isa mentions;
reduce $mentionCount = count($a) groupby $o;
sort $mentionCount desc;
limit 3;
fetch { ""organization"": $o.name, ""mentionCount"": $mentionCount };"
synthetic-1,companies,564,high,cypher_lacks_count_vs_typeql,TypeQL uses reduce...count but Cypher has no COUNT(),What are the top 5 organizations by number of employees?,"MATCH (o:Organization)
WHERE o.nbrEmployees IS NOT NULL
RETURN o.name AS organization, o.nbrEmployees AS numberOfEmployees
ORDER BY o.nbrEmployees DESC
LIMIT 5","match $o isa organization, has name $n; $a isa article; (article: $a, mentioned: $o) isa mentions; reduce $mentions = count($a) groupby $o; match $o has name $n; sort $mentions desc; limit 5; fetch { ""organization"": $n, ""mentions"": $mentions };"
synthetic-1,companies,642,high,cypher_lacks_count_vs_typeql,TypeQL uses reduce...count but Cypher has no COUNT(),What are the relationships of 'Julie Spellman Sweet' within the context of the organization she is associated with?,"MATCH (p:Person {name: 'Julie Spellman Sweet'})-[r]-(o:Organization)
WHERE p.name IS NOT NULL AND o.name IS NOT NULL
RETURN p, r, o","match
  $c isa city;
  $o isa organization;
  $ic isa industry_category;
  (organization: $o, city: $c) isa located_in;
  $ic has industry_category_name $ic_industry_category_name;
  $ic_industry_category_name contains ""Environmental"";
  (organization: $o, category: $ic) isa in_category;
reduce $orgCount = count($o) groupby $c;
sort $orgCount desc;
limit 3;
fetch { ""city"": $c.city_name, ""orgCount"": $orgCount };"
synthetic-1,companies,646,high,cypher_lacks_count_vs_typeql,TypeQL uses reduce...count but Cypher has no COUNT(),List the cities where organizations with a summary mentioning 'financial services' are based.,"MATCH (o:Organization)-[:IN_CITY]->(c:City)
WHERE o.summary CONTAINS 'financial services'
RETURN DISTINCT c.name","match
  $c isa city;
  $o isa organization;
  $ic isa industry_category;
  (organization: $o, city: $c) isa located_in;
  $ic has industry_category_name $ic_industry_category_name;
  $ic_industry_category_name contains ""Food"";
  (organization: $o, category: $ic) isa in_category;
reduce $orgCount = count($o) groupby $c;
sort $orgCount desc;
limit 3;
fetch { ""city"": $c.city_name, ""orgCount"": $orgCount };"
synthetic-1,movies,36,high,cypher_lacks_count_vs_typeql,TypeQL uses reduce...count but Cypher has no COUNT(),Show the top 5 movies with the most roles in their cast.,"MATCH (m:Movie)<-[r:ACTED_IN]-(p:Person)
WITH m, size(r.roles) AS roleCount
ORDER BY roleCount DESC
LIMIT 5
RETURN m.title AS movie, roleCount AS `number of cast roles`","match
  $m isa movie, has title $t;
  (actor: $p, film: $m) isa acted_in;
reduce $roleCount = count($p) groupby $t;
sort $roleCount desc;
limit 5;
fetch {
  ""movie"": $t,
  ""roleCount"": $roleCount
};"
synthetic-1,movies,58,high,cypher_lacks_count_vs_typeql,TypeQL uses reduce...count but Cypher has no COUNT(),Which person has the most roles in a single movie?,"MATCH (p:Person)-[r:ACTED_IN]->(m:Movie)
RETURN p.name AS person, m.title AS movie, size(r.roles) AS num_roles
ORDER BY num_roles DESC
LIMIT 1","match
  $p isa person, has name $n;
  $ai isa acted_in (actor: $p, film: $m), has roles $r;
  $m has title $t;
reduce $count = count($r) groupby $n, $t;
sort $count desc;
limit 1;"
synthetic-1,movies,63,high,cypher_lacks_count_vs_typeql,TypeQL uses reduce...count but Cypher has no COUNT(),What are the top 5 movies with the most roles listed in their 'ACTED_IN' relationship?,"MATCH (m:Movie)<-[r:ACTED_IN]-(p:Person)
RETURN m.title, size(r.roles) AS num_roles
ORDER BY num_roles DESC
LIMIT 5","match
  $m isa movie, has title $t;
  $a isa acted_in (actor: $p, film: $m);
  $a has roles $r;
reduce $roleCount = count($r) groupby $t;
sort $roleCount desc;
limit 5;
fetch {
  ""movie"": $t,
  ""roleCount"": $roleCount
};"
synthetic-1,movies,186,high,cypher_lacks_count_vs_typeql,TypeQL uses reduce...count but Cypher has no COUNT(),List the roles of actors in the 3 movies with the highest number of actors involved.,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person)
WITH m, collect(p) AS actors
ORDER BY size(actors) DESC
LIMIT 3
UNWIND actors AS actor
MATCH (actor)-[r:ACTED_IN]->(m)
RETURN m.title AS movie, actor.name AS actor, r.roles AS roles","match
  $m isa movie, has title $t;
  acted_in (actor: $actor, film: $m);
reduce $count = count($actor) groupby $m;
sort $count desc;
limit 3;
match
  $ai isa acted_in (actor: $a, film: $m), has roles $roles;
  $a has name $n;
  $m has title $t;
fetch {
  ""movie"": $t,
  ""actor"": $n,
  ""roles"": $roles
};"
