source,database,original_index,confidence,check,detail,question,cypher,typeql
synthetic-1,companies,329,high,cypher_invalid_property,"Cypher accesses c.population but ""population"" is not a property of :City (valid: ['id', 'name', 'summary'])",Name the first 3 organizations that are headquartered in cities with more than 5 million inhabitants.,"MATCH (o:Organization)-[:IN_CITY]->(c:City)
WHERE c.population > 5000000
RETURN o.name
LIMIT 3","match
$o isa organization;
$c isa city, has population $pop;
located_in (organization: $o, city: $c);
$pop > 5000000;
limit 3;
fetch { ""organization"": $o.name };"
synthetic-1,companies,332,high,cypher_invalid_property,"Cypher accesses o.foundingDate but ""foundingDate"" is not a property of :Organization (valid: ['id', 'isDissolved', 'isPublic', 'motto', 'name', 'nbrEmployees', 'revenue', 'summary'])",Name the top 3 articles that discuss organizations with a history of more than 50 years.,"MATCH (a:Article)-[:MENTIONS]->(o:Organization)
WHERE date(o.foundingDate) < date() - duration('P50Y')
WITH a, o
ORDER BY a.date DESC
LIMIT 3
RETURN a.title AS article, collect(o.name) AS organizations","match
  $a isa article;
  $o isa organization, has founding-date $fd;
  $fd < 1976-01-22;
  mentions (article: $a, mentioned: $o);
  $a has date $a_date;
sort $a_date desc;
limit 3;
fetch { ""article"": $a.title };"
synthetic-1,companies,338,high,cypher_invalid_property,"Cypher accesses o.foundingDate but ""foundingDate"" is not a property of :Organization (valid: ['id', 'isDissolved', 'isPublic', 'motto', 'name', 'nbrEmployees', 'revenue', 'summary'])",List the names of the cities where the headquarters of the first 5 organizations founded before 1950 are located.,"MATCH (o:Organization)-[:IN_CITY]->(c:City)
WHERE o.foundingDate < date('1950-01-01')
RETURN c.name
LIMIT 5","match
$o isa organization, has founding-date $fd;
$c isa city;
located_in (organization: $o, city: $c);
$fd < 1950-01-01T00:00:00;
limit 5;
fetch { ""city"": $c.city_name };"
synthetic-1,companies,356,high,cypher_invalid_property,"Cypher accesses o.foundingDate but ""foundingDate"" is not a property of :Organization (valid: ['id', 'isDissolved', 'isPublic', 'motto', 'name', 'nbrEmployees', 'revenue', 'summary'])",Which 3 organizations have the longest history of continuous operation according to their founding dates in the database?,"MATCH (o:Organization)
WHERE o.foundingDate IS NOT NULL
RETURN o.name AS organization, o.foundingDate AS founded
ORDER BY o.foundingDate
LIMIT 3","match
$o isa organization, has founding-date $fd, has name $n;
sort $fd asc;
limit 3;
fetch { ""organization"": $n, ""founded"": $fd };"
synthetic-1,companies,391,high,cypher_invalid_property,"Cypher accesses o.nbrPatents but ""nbrPatents"" is not a property of :Organization (valid: ['id', 'isDissolved', 'isPublic', 'motto', 'name', 'nbrEmployees', 'revenue', 'summary'])",Which 3 organizations have the most patents filed according to the database?,"MATCH (o:Organization)
WHERE o.nbrPatents IS NOT NULL
RETURN o.name, o.nbrPatents
ORDER BY o.nbrPatents DESC
LIMIT 3","match
$o isa organization, has patent-count $pc, has name $n;
sort $pc desc;
limit 3;
fetch { ""name"": $n, ""patents"": $pc };"
synthetic-1,companies,448,high,cypher_invalid_property,"Cypher accesses c.population but ""population"" is not a property of :City (valid: ['id', 'name', 'summary'])","Which organizations are based in a city with a population less than 100,000?","MATCH (o:Organization)-[:IN_CITY]->(c:City)
WHERE c.population < 100000
RETURN o.name AS organization, c.name AS city","match
$o isa organization;
$c isa city, has population $pop;
$pop < 100000;
located_in (organization: $o, city: $c);
fetch { ""organization"": $o.name, ""city"": $c.city_name };"
synthetic-1,companies,452,high,cypher_invalid_property,"Cypher accesses p.startDate but ""startDate"" is not a property of :Person (valid: ['id', 'name', 'summary'])",Which organizations have CEOs who have been in their position for less than 3 years?,"MATCH (o:Organization)-[:HAS_CEO]->(p:Person)
WHERE p.startDate IS NOT NULL AND duration.between(p.startDate, date()).years < 3
RETURN o.name AS organization, p.name AS ceo","match
$o isa organization;
$p isa person;
$rel isa ceo_of (organization: $o, ceo: $p);
$rel has start-date $sd;
$sd > 2023-01-22T00:00:00;
fetch { ""organization"": $o.name, ""ceo"": $p.name };"
synthetic-1,companies,695,high,cypher_invalid_property,"Cypher accesses o.foundingDate but ""foundingDate"" is not a property of :Organization (valid: ['id', 'isDissolved', 'isPublic', 'motto', 'name', 'nbrEmployees', 'revenue', 'summary'])",Which 3 organizations have the oldest founding dates?,"MATCH (o:Organization)
WHERE o.foundingDate IS NOT NULL
RETURN o.name, o.foundingDate
ORDER BY o.foundingDate
LIMIT 3","match
$o isa organization, has founding-date $fd, has name $n;
sort $fd asc;
limit 3;
fetch { ""name"": $n, ""founded"": $fd };"
synthetic-1,neoflix,902,high,cypher_invalid_property,"Cypher accesses p.country but ""country"" is not a property of :Person (valid: ['gender', 'id', 'name', 'profile_path'])","List the top 5 movies with the most diverse cast, measured by the number of different countries actors come from.","MATCH (m:Movie)<-[:CAST_FOR]-(p:Person)
WITH m, size(collect(distinct p.country)) AS num_countries
ORDER BY num_countries DESC
LIMIT 5
RETURN m.title AS movie, num_countries AS number_of_countries","match
$m isa movie;
$p isa person;
cast_for (actor: $p, film: $m);
born_in (person: $p, country: $co);
select $m, $co;
distinct;
reduce $num_countries = count($co) groupby $m;
sort $num_countries desc;
limit 5;
fetch { ""movie"": $m.title, ""number_of_countries"": $num_countries };"
synthetic-1,recommendations,46,high,cypher_invalid_property,"Cypher accesses u.age but ""age"" is not a property of :User (valid: ['name', 'userId'])",Identify the first 3 movies that have been rated by users younger than 25.,"MATCH (u:User)-[r:RATED]->(m:Movie)
WHERE u.age < 25
RETURN m.title
LIMIT 3","match
$u isa user, has age $a;
$a < 25;
$r isa rated (user: $u, film: $m);
limit 3;
fetch { ""title"": $m.title };"
