original_index,question,cypher,typeql
0,What are the titles of the top 5 questions with the highest view count?,"MATCH (q:Question)
RETURN q.title
ORDER BY q.view_count DESC
LIMIT 5","match
$q isa question, has view_count $vc;
sort $vc desc;
limit 5;
fetch {
  ""title"": $q.title
};"
1,What are the first 3 questions that have a view count between 50 and 100?,"MATCH (q:Question)
WHERE q.view_count >= 50 AND q.view_count <= 100
RETURN q
ORDER BY q.creation_date
LIMIT 3","match
$q isa question, has view_count $vc, has creation_date $cd;
$vc >= 50; $vc <= 100;
sort $cd asc;
limit 3;
fetch {
  ""question"": $q
};"
2,List the top 3 tags that have been used the most in questions.,"MATCH (:Question)-[:TAGGED]->(t:Tag)
RETURN t.name AS tag, COUNT(*) AS usage_count
ORDER BY usage_count DESC
LIMIT 3","match
$q isa question;
$t isa tag;
tagged (question: $q, tag: $t);
$t has name $name;
reduce $usage_count = count($q) groupby $t, $name;
sort $usage_count desc;
limit 3;
fetch { ""tag"": $name, ""usage_count"": $usage_count };"
3,Who provided the answer with the link 'https://stackoverflow.com/a/69272967'?,"MATCH (u:User)-[:PROVIDED]->(a:Answer {link: 'https://stackoverflow.com/a/69272967'})
RETURN u.display_name","match
$u isa user;
$a isa answer, has answer_link ""https://stackoverflow.com/a/69272967"";
provided (provider: $u, answer: $a);
fetch {
  ""display_name"": $u.display_name
};"
4,Find the first 3 users who have commented on questions with more than 100 views.,"MATCH (q:Question)-[:COMMENTED_ON]-(c:Comment)<-[:COMMENTED]-(u:User)
WHERE q.view_count > 100
RETURN DISTINCT u.display_name
LIMIT 3","match
$q isa question, has view_count $vc;
$vc > 100;
commented_on (comment: $c, question: $q);
commented (commenter: $u, comment: $c);
select $u;
distinct;
limit 3;
fetch { ""display_name"": $u.display_name };"
5,Which questions have been answered by the user with the uuid 16922964? Limit to the top 3 questions.,"MATCH (u:User {uuid: 16922964})-[:PROVIDED]->(a:Answer)-[:ANSWERED]->(q:Question)
RETURN q.title, q.link, q.creation_date
ORDER BY q.creation_date DESC
LIMIT 3","match
$u isa user, has user_uuid 16922964;
provided (provider: $u, answer: $a);
answered (answer: $a, question: $q);
$q has creation_date $cd;
sort $cd desc;
limit 3;
fetch {
  ""title"": $q.title,
  ""link"": $q.question_link,
  ""creation_date"": $cd
};"
6,Which users have provided answers to the question with the title 'even after null check why I am getting null value in neo4j?' Limit to the top 3.,"MATCH (q:Question {title: 'even after null check why I am getting null value in neo4j?'})<-[:ANSWERED]-(a:Answer)<-[:PROVIDED]-(u:User)
RETURN u.display_name AS user
LIMIT 3","match
$q isa question, has title ""even after null check why I am getting null value in neo4j?"";
answered (answer: $a, question: $q);
provided (provider: $u, answer: $a);
limit 3;
fetch { ""user"": $u.display_name };"
7,What are the top 5 questions with the lowest view count?,"MATCH (q:Question)
RETURN q.title, q.link, q.view_count
ORDER BY q.view_count ASC
LIMIT 5","match
$q isa question, has view_count $vc;
sort $vc asc;
limit 5;
fetch {
  ""title"": $q.title,
  ""link"": $q.question_link,
  ""view_count"": $vc
};"
8,What are the top 5 most recent questions asked in the system?,"MATCH (q:Question)
RETURN q.title, q.link, q.creation_date
ORDER BY q.creation_date DESC
LIMIT 5","match
$q isa question, has creation_date $cd;
sort $cd desc;
limit 5;
fetch {
  ""title"": $q.title,
  ""link"": $q.question_link,
  ""creation_date"": $cd
};"
9,List the top 3 comments with a score of 3.,"MATCH (c:Comment)
WHERE c.score = 3
RETURN c
ORDER BY c.score DESC
LIMIT 3","match
$c isa comment, has score 3;
limit 3;
fetch {
  ""comment_uuid"": $c.comment_uuid,
  ""comment_link"": $c.comment_link,
  ""score"": $c.score
};"
