original_index,question,cypher,typeql
0,How many users are moderators for the stream 'itsbigchase'?,"MATCH (s:Stream {name: 'itsbigchase'})<-[:MODERATOR]-(u:User)
RETURN count(u) AS numberOfModerators","match
$s isa stream, has name ""itsbigchase"";
$u isa user;
moderation (moderated_channel: $s, moderating_user: $u);
reduce $count = count($u);"
1,"Which games are played by streams that have a total view count greater than 500,000?","MATCH (s:Stream)-[:PLAYS]->(g:Game)
WHERE s.total_view_count > 500000
RETURN DISTINCT g.name AS game_name","match
$s isa stream, has total_view_count $tvc;
$tvc > 500000;
game_play (streaming_channel: $s, played_game: $g);
$g has name $gn;
select $gn;
distinct;
fetch {
  ""game_name"": $gn
};"
2,Find streams that have both 'MODERATOR' and 'VIP' relationships.,"MATCH (s:Stream)-[:MODERATOR]->(:User), (s)-[:VIP]->(:User)
RETURN s","match
$s isa stream;
moderation (moderated_channel: $s, moderating_user: $u1);
vip_status (channel_with_vips: $s, vip_user: $u2);
fetch {
  ""name"": $s.name,
  ""stream_id"": $s.stream_id,
  ""description"": $s.description,
  ""url"": $s.url,
  ""followers"": $s.followers,
  ""total_view_count"": $s.total_view_count
};"
3,Which teams were formed in 2020?,"MATCH (t:Team)
WHERE t.createdAt >= date(""2020-01-01"") AND t.createdAt < date(""2021-01-01"")
RETURN t.name","match
$t isa team, has created_at $ca;
$ca >= 2020-01-01T00:00:00;
$ca < 2021-01-01T00:00:00;
fetch {
  ""name"": $t.name
};"
4,"What are the first 3 languages spoken in streams with more than 10,000 followers?","MATCH (s:Stream)-[:HAS_LANGUAGE]->(l:Language)
WHERE s.followers > 10000
RETURN DISTINCT l.name
ORDER BY l.name
LIMIT 3","match
$s isa stream, has followers $f;
$f > 10000;
language_usage (channel: $s, used_language: $l);
$l has name $n;
select $n;
distinct;
sort $n;
limit 3;
fetch { ""name"": $n };"
5,Which users have chatted with more than 5 different streams?,"MATCH (u:User)-[:CHATTER]->(s:Stream)
WITH u, COUNT(DISTINCT s) AS streamCount
WHERE streamCount > 5
RETURN u.name AS userName, streamCount","match
$u isa user, has name $userName;
$s isa stream;
chat_activity (chatting_user: $u, channel_with_chatters: $s);
reduce $streamCount = count($s) groupby $u, $userName;
match
$streamCount > 5;
fetch {
  ""userName"": $userName,
  ""streamCount"": $streamCount
};"
6,"Which streams were created between 2015 and 2020 and have more than 100,000 followers?","MATCH (s:Stream)
WHERE s.createdAt >= datetime('2015-01-01T00:00:00Z') AND s.createdAt <= datetime('2020-12-31T23:59:59Z')
  AND s.followers > 100000
RETURN s.id, s.name, s.createdAt, s.followers","match
$s isa stream, has stream_id $id, has name $n, has created_at $ca, has followers $f;
$ca >= 2015-01-01T00:00:00Z;
$ca <= 2020-12-31T23:59:59Z;
$f > 100000;
fetch {
  ""id"": $id,
  ""name"": $n,
  ""createdAt"": $ca,
  ""followers"": $f
};"
7,What are the follower and view count details for streams with more than 3 moderators?,"MATCH (s:Stream)-[:MODERATOR]->(u:User)
WITH s, COUNT(u) AS moderatorCount
WHERE moderatorCount > 3
RETURN s.name AS streamName, s.followers AS followerCount, s.total_view_count AS viewCount","match
$s isa stream;
$u isa user;
moderation (moderated_channel: $s, moderating_user: $u);
reduce $mod_count = count($u) groupby $s;
match $mod_count > 3;
fetch {
  ""streamName"": $s.name,
  ""followerCount"": $s.followers,
  ""viewCount"": $s.total_view_count
};"
8,What are the follower counts of streams that play 'Rust' and have 'en' as their language?,"MATCH (s:Stream)-[:PLAYS]->(g:Game {name: 'Rust'}),
      (s)-[:HAS_LANGUAGE]->(l:Language {name: 'en'})
RETURN s.name AS stream_name, s.followers AS follower_count","match
$s isa stream;
$g isa game, has name ""Rust"";
$l isa language, has name ""en"";
game_play (streaming_channel: $s, played_game: $g);
language_usage (channel: $s, used_language: $l);
fetch {
  ""stream_name"": $s.name,
  ""follower_count"": $s.followers
};"
9,Which users are VIPs for the stream with the highest follower count?,"MATCH (s:Stream)
WITH s
ORDER BY s.followers DESC
LIMIT 1
MATCH (s)-[:VIP]->(u:User)
RETURN u.name","match
$s isa stream, has followers $f;
reduce $max_f = max($f);
match
$s2 isa stream, has followers $f2;
$f2 == $max_f;
vip_status (channel_with_vips: $s2, vip_user: $u);
fetch { ""name"": $u.name };"
10,List the streams that have more than one moderator.,"MATCH (s:Stream)<-[:MODERATOR]-(u:User)
WITH s, COUNT(u) AS moderatorCount
WHERE moderatorCount > 1
RETURN s.name AS streamName, moderatorCount","match
$s isa stream;
$u isa user;
moderation (moderated_channel: $s, moderating_user: $u);
reduce $moderatorCount = count($u) groupby $s;
match $moderatorCount > 1;
fetch { ""streamName"": $s.name, ""moderatorCount"": $moderatorCount };"
11,What are the names of users who have moderated other users?,"MATCH (u1:User)-[:MODERATOR]->(u2:User)
RETURN DISTINCT u1.name AS moderator_name","match
$u1 isa user;
moderation (moderating_user: $u1, moderated_user: $u2);
$u2 isa user;
select $u1;
distinct;
fetch {
  ""moderator_name"": $u1.name
};"
12,Which streams have no team associations?,"MATCH (s:Stream)
WHERE NOT (s)-[:HAS_TEAM]->(:Team)
RETURN s.name AS streamName, s.url AS streamUrl","match
$s isa stream;
not { team_membership (member_stream: $s); };
fetch {
  ""streamName"": $s.name,
  ""streamUrl"": $s.url
};"
13,Find the descriptions of streams that have chatted with the user '9linda'.,"MATCH (u:User {name: '9linda'})-[:CHATTER]->(s:Stream)
RETURN s.description","match
$u isa user, has name ""9linda"";
$s isa stream;
chat_activity (chatting_user: $u, channel_with_chatters: $s);
fetch {
  ""description"": $s.description
};"
14,What are the URLs of the top 3 streams by total view count?,"MATCH (s:Stream)
RETURN s.url
ORDER BY s.total_view_count DESC
LIMIT 3","match
$s isa stream, has total_view_count $tvc;
sort $tvc desc;
limit 3;
fetch {
  ""url"": $s.url
};"
15,Identify streams that were created on or after 2018 and are part of teams.,"MATCH (s:Stream)-[:HAS_TEAM]->(t:Team)
WHERE s.createdAt >= datetime('2018-01-01T00:00:00Z')
RETURN s.id AS streamId, s.name AS streamName, s.createdAt AS creationDate, t.name AS teamName","match
$s isa stream, has stream_id $sid, has name $sn, has created_at $ca;
$t isa team, has name $tn;
team_membership (member_stream: $s, organization: $t);
$ca >= 2018-01-01T00:00:00;
fetch {
  ""streamId"": $sid,
  ""streamName"": $sn,
  ""creationDate"": $ca,
  ""teamName"": $tn
};"
16,Which streams are part of the 'ESO Stream Team'?,"MATCH (s:Stream)-[:HAS_TEAM]->(t:Team {name: 'ESO Stream Team'})
RETURN s.name AS stream_name, s.url AS stream_url","match
$s isa stream;
$t isa team, has name ""ESO Stream Team"";
team_membership (member_stream: $s, organization: $t);
fetch {
  ""stream_name"": $s.name,
  ""stream_url"": $s.url
};"
17,List the first 5 streams that have a team and a game that both have the letter 'E' in them.,"MATCH (s:Stream)-[:HAS_TEAM]->(t:Team), (s)-[:PLAYS]->(g:Game)
WHERE t.name CONTAINS 'E' AND g.name CONTAINS 'E'
RETURN s.name AS stream_name, t.name AS team_name, g.name AS game_name
LIMIT 5","match
  $s isa stream;
  $t isa team, has name $tn;
  $g isa game, has name $gn;
  team_membership (member_stream: $s, organization: $t);
  game_play (streaming_channel: $s, played_game: $g);
  $tn like "".*E.*"";
  $gn like "".*E.*"";
limit 5;
fetch {
  ""stream_name"": $s.name,
  ""team_name"": $tn,
  ""game_name"": $gn
};"
18,Which streams have 'en' as their language and more than 1 million total views?,"MATCH (s:Stream)-[:HAS_LANGUAGE]->(l:Language)
WHERE l.name = 'en' AND s.total_view_count > 1000000
RETURN s.name AS stream_name, s.url AS stream_url, s.total_view_count AS total_views","match
$s isa stream, has total_view_count $tvc;
$l isa language, has name ""en"";
language_usage (channel: $s, used_language: $l);
$tvc > 1000000;
fetch {
  ""stream_name"": $s.name,
  ""stream_url"": $s.url,
  ""total_views"": $tvc
};"
19,How many languages are associated with streams that have over 1 million total views?,"MATCH (s:Stream)-[:HAS_LANGUAGE]->(l:Language)
WHERE s.total_view_count > 1000000
RETURN COUNT(DISTINCT l.name) AS numberOfLanguages","match
$s isa stream, has total_view_count $v;
$v > 1000000;
language_usage (channel: $s, used_language: $l);
$l isa language, has name $n;
select $n;
distinct;
reduce $count = count;"
