original_index,question,cypher,typeql
0,Which users have asked questions that have both upVotes and downVotes?,"MATCH (u:User)-[:ASKED]->(q:Question)
WHERE q.upVotes > 0 AND q.downVotes > 0
RETURN u.display_name, u.id, u.link","match
$u isa user;
$q isa question, has up_votes $uv, has down_votes $dv;
asked (asker: $u, asked_question: $q);
$uv > 0;
$dv > 0;
fetch {
  ""display_name"": $u.display_name,
  ""user_id"": $u.user_id,
  ""link"": $u.user_link
};"
1,How many questions has each user asked? List top 5 users by question count.,"MATCH (u:User)-[:ASKED]->(q:Question)
WITH u, COUNT(q) AS questionCount
ORDER BY questionCount DESC
LIMIT 5
RETURN u.display_name AS userName, questionCount","match
$u isa user;
asked (asker: $u, asked_question: $q);
$q isa question;
reduce $count = count($q) groupby $u;
sort $count desc;
limit 5;
fetch {
  ""userName"": $u.display_name,
  ""questionCount"": $count
};"
2,List the top 3 tags that are associated with questions created before 2018.,"MATCH (q:Question)-[:TAGGED]->(t:Tag)
WHERE q.createdAt < datetime('2018-01-01T00:00:00Z')
RETURN t.name, COUNT(q) AS question_count
ORDER BY question_count DESC
LIMIT 3","match
$q isa question, has created_at $ca;
$ca < 2018-01-01T00:00:00;
tagged (tagged_question: $q, tag: $t);
$t isa tag;
reduce $count = count($q) groupby $t;
sort $count desc;
limit 3;
fetch {
  ""tag_name"": $t.tag_name,
  ""question_count"": $count
};"
3,List the top 3 questions tagged with 'aws-lambda' that have a score of zero or less.,"MATCH (q:Question)-[:TAGGED]->(t:Tag {name: 'aws-lambda'})
WHERE q.score <= 0
RETURN q.title, q.link, q.score
ORDER BY q.score DESC
LIMIT 3","match
$q isa question, has score $s;
$s <= 0;
tagged (tagged_question: $q, tag: $t);
$t isa tag, has tag_name ""aws-lambda"";
sort $s desc;
limit 3;
fetch {
  ""title"": $q.title,
  ""link"": $q.link,
  ""score"": $s
};"
4,What are the first 5 most upvoted questions tagged with 'graphql'?,"MATCH (q:Question)-[:TAGGED]->(t:Tag {name: 'graphql'})
RETURN q.title, q.upVotes
ORDER BY q.upVotes DESC
LIMIT 5","match
$q isa question, has up_votes $uv;
$t isa tag, has tag_name ""graphql"";
tagged (tagged_question: $q, tag: $t);
sort $uv desc;
limit 5;
fetch {
  ""title"": $q.title,
  ""up_votes"": $uv
};"
5,List the top 3 most recent questions asked on the platform.,"MATCH (q:Question)
RETURN q.title, q.createdAt, q.link
ORDER BY q.createdAt DESC
LIMIT 3","match
$q isa question, has created_at $ca;
sort $ca desc;
limit 3;
fetch {
  ""title"": $q.title,
  ""createdAt"": $ca,
  ""link"": $q.link
};"
6,What are the first 3 questions with a score greater than 3 and have been tagged with 'node.js'?,"MATCH (q:Question)-[:TAGGED]->(t:Tag {name: 'node.js'})
WHERE q.score > 3
RETURN q
ORDER BY q.createdAt ASC
LIMIT 3","match
$q isa question, has score $s, has created_at $ca;
$s > 3;
$t isa tag, has tag_name ""node.js"";
tagged (tagged_question: $q, tag: $t);
sort $ca asc;
limit 3;
fetch {
  ""question_id"": $q.question_id,
  ""title"": $q.title,
  ""score"": $q.score,
  ""created_at"": $q.created_at
};"
7,Show the top 5 users who have asked the most questions with a negative score.,"MATCH (u:User)-[:ASKED]->(q:Question)
WHERE q.score < 0
WITH u, COUNT(q) AS question_count
ORDER BY question_count DESC
LIMIT 5
RETURN u.display_name AS user, question_count","match
$u isa user;
$q isa question, has score $s;
$s < 0;
asked (asker: $u, asked_question: $q);
reduce $count = count($q) groupby $u;
sort $count desc;
limit 5;
fetch {
  ""user"": $u.display_name,
  ""question_count"": $count
};"
8,List the first 3 questions that have been asked by users without a profile image.,"MATCH (u:User)-[:ASKED]->(q:Question)
WHERE u.image IS NULL
RETURN q.title, q.link, q.createdAt
ORDER BY q.createdAt
LIMIT 3","match
$u isa user;
not { $u has image $img; };
asked (asker: $u, asked_question: $q);
$q isa question, has created_at $ca;
sort $ca;
limit 3;
fetch {
  ""title"": $q.title,
  ""link"": $q.link,
  ""created_at"": $ca
};"
9,Find the top 5 questions with the least favorites that have been answered.,"MATCH (q:Question)
WHERE q.answered = true
RETURN q.title, q.favorites, q.link
ORDER BY q.favorites ASC
LIMIT 5","match
$q isa question, has answered true, has favorites $f;
sort $f asc;
limit 5;
fetch {
  ""title"": $q.title,
  ""favorites"": $f,
  ""link"": $q.link
};"
