original_index,question,cypher,error
41,List the entities that have a similar name and address as 'Top Games Holdings Inc.'.,"MATCH (e:Entity)-[:similar]->(o:Other)
WHERE o.name = 'Top Games Holdings Inc.'
RETURN e.name AS EntityName, e.address AS EntityAddress","Schema mismatch: Cypher uses similar relation between Entity and Other, but in TypeQL schema the other entity does not play similar relation roles (only intermediary and officer can participate in similar relation)"
61,"Which entities have a similar name and address as 'NINGBO SUNRISE ENTERPRISES UNITED CO., LTD.'?","MATCH (e:Entity)-[:similar]->(o:Other)
WHERE o.name = 'NINGBO SUNRISE ENTERPRISES UNITED CO., LTD.'
RETURN e.name AS entity_name, e.address AS entity_address",Schema mismatch: The other entity type does not play any role in the similar relation in the TypeQL schema. Only intermediary and officer can participate in similar relationships.
103,Who are the officers serving as intermediaries for more than one entity?,"MATCH (o:Officer)-[:officer_of]->(e:Entity)
WITH o, COUNT(DISTINCT e) AS entityCount
WHERE entityCount > 1
MATCH (o)-[:intermediary_of]->(e2:Entity)
RETURN o.name AS OfficerName, COLLECT(DISTINCT e2.name) AS Entities","Schema mismatch: Cypher query requires Officer nodes to participate in intermediary_of relations, but in TypeQL schema officer and intermediary are separate entity types - only intermediary can play intermediary_of:intermediary role"
111,Which entities have a jurisdiction description of 'Samoa' and were incorporated in March?,"MATCH (e:Entity)
WHERE e.jurisdiction_description = 'Samoa' AND e.incorporation_date STARTS WITH 'MAR'
RETURN e.name, e.incorporation_date",Unsupported: date field filtering by month - TypeQL date type does not support string pattern matching or month extraction functions
146,List entities that have an incorporation date and a struck-off date within the same year.,"MATCH (e:Entity)
WHERE e.incorporation_date IS NOT NULL AND e.struck_off_date IS NOT NULL
WITH e, 
     toInteger(SPLIT(e.incorporation_date, ""-"")[2]) AS incorporation_year, 
     toInteger(SPLIT(e.struck_off_date, ""-"")[2]) AS struck_off_year
WHERE incorporation_year = struck_off_year
RETURN e.name AS entity_name, e.incorporation_date, e.struck_off_date","Unsupported: TypeQL 3.0 does not support SPLIT() string function, array indexing [N], or date component extraction functions like year(). Cannot extract and compare year from date values."
168,"Identify entities that have a similar name and address as 'HOTFOCUS CO., LTD.'.","MATCH (e:Entity)-[:similar]->(o:Other)
WHERE e.name = 'HOTFOCUS CO., LTD.'
RETURN o.name AS similar_name, o.address AS similar_address","Schema mismatch: offshore_entity does not play any role in the similar relation, and other entity does not have address attribute. The similar relation only connects intermediary and officer entities."
324,Identify all officers with a status of 'ACTIVE'.,"MATCH (o:Officer)
WHERE o.status = 'ACTIVE'
RETURN o.name, o.node_id, o.countries, o.country_codes, o.sourceID",Schema mismatch: officer entity does not have status attribute in TypeQL schema
370,Identify entities with multiple addresses and list the addresses.,"MATCH (e:Entity)-[:registered_address]->(a:Address)
WITH e, collect(a.address) AS addresses
WHERE size(addresses) > 1
RETURN e.name AS entity_name, addresses",Unsupported: collect() and size() functions required to gather and count addresses per entity
372,Find entities that have been both struck off and inactivated in the same year.,"MATCH (e:Entity)
WHERE e.struck_off_date IS NOT NULL AND e.inactivation_date IS NOT NULL
AND substring(e.struck_off_date, -4) = substring(e.inactivation_date, -4)
RETURN e.name AS entity_name, e.struck_off_date, e.inactivation_date",Requires substring() to extract year from date - TypeQL has no date component extraction or string substring functions
399,Which entities have an incorporation date and a struck off date in the same year?,"MATCH (e:Entity)
WHERE e.incorporation_date IS NOT NULL AND e.struck_off_date IS NOT NULL
AND substring(e.incorporation_date, -4) = substring(e.struck_off_date, -4)
RETURN e.name AS entity_name, e.incorporation_date, e.struck_off_date",TypeQL does not support substring() function or date part extraction - cannot compare years from date values
437,Identify intermediaries that have registered addresses outside of their country of operation.,"MATCH (i:Intermediary)-[:registered_address]->(a:Address)
WHERE NOT i.countries CONTAINS a.countries
RETURN i.name AS IntermediaryName, i.countries AS IntermediaryCountry, a.address AS RegisteredAddress, a.countries AS AddressCountry","TypeQL does not support dynamic CONTAINS between two variables. The like operator requires a literal pattern string, not a variable reference."
472,"List the entities that have a similar name and address as 'NINGBO SUNRISE ENTERPRISES UNITED CO., LTD.'","MATCH (e:Entity)-[:similar]->(o:Other)
WHERE o.name = 'NINGBO SUNRISE ENTERPRISES UNITED CO., LTD.'
RETURN e.name AS EntityName, e.address AS EntityAddress","Schema mismatch: Cypher references Entity-[:similar]->Other relationship but in TypeQL schema, offshore_entity and other do not play similar roles. Only intermediary and officer can participate in similar relations."
476,List the entities that have multiple former names and provide all names.,"MATCH (e:Entity)
WHERE size(split(e.former_name, "";"")) > 1
RETURN e.name AS current_name, e.former_name AS former_names",Unsupported: split() and size() string functions not available in TypeQL
491,How many entities were inactivated in February 2013?,"MATCH (e:Entity)
WHERE e.inactivation_date STARTS WITH 'FEB-2013'
RETURN count(e) AS inactivated_entities",TypeQL date type does not support string pattern matching (STARTS WITH). Cannot extract month/year from date values.
