source,database,original_index,confidence,check,detail,question,cypher,typeql
synthetic-1,companies,370,high,cypher_invalid_label,"Cypher references label ""Category"" not in Neo4j schema (valid: ['Article', 'Chunk', 'City', 'Country', 'Fewshot', 'IndustryCategory', 'Organization', 'Person'])",Name the first 3 organizations that have a CEO who has authored a book on leadership.,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)
WHERE EXISTS {
  (ceo)-[:HAS_AUTHORED]->(:Book)-[:HAS_CATEGORY]->(:Category {name: 'Leadership'})
}
RETURN o.name
LIMIT 3","match
  $o isa organization;
  $ceo isa person;
  (organization: $o, ceo: $ceo) isa ceo_of;
  $ic isa industry_category; (organization: $o, category: $ic) isa in_category;
limit 3;
fetch { ""name"": $o.name };"
synthetic-1,companies,370,high,cypher_invalid_label,"Cypher references label ""Book"" not in Neo4j schema (valid: ['Article', 'Chunk', 'City', 'Country', 'Fewshot', 'IndustryCategory', 'Organization', 'Person'])",Name the first 3 organizations that have a CEO who has authored a book on leadership.,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)
WHERE EXISTS {
  (ceo)-[:HAS_AUTHORED]->(:Book)-[:HAS_CATEGORY]->(:Category {name: 'Leadership'})
}
RETURN o.name
LIMIT 3","match
  $o isa organization;
  $ceo isa person;
  (organization: $o, ceo: $ceo) isa ceo_of;
  $ic isa industry_category; (organization: $o, category: $ic) isa in_category;
limit 3;
fetch { ""name"": $o.name };"
synthetic-1,companies,371,high,cypher_invalid_label,"Cypher references label ""Category"" not in Neo4j schema (valid: ['Article', 'Chunk', 'City', 'Country', 'Fewshot', 'IndustryCategory', 'Organization', 'Person'])",Name the first 3 organizations that have a CEO who has authored a book on leadership.,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)
WHERE EXISTS {
  (ceo)-[:HAS_AUTHORED]->(:Book)-[:HAS_CATEGORY]->(:Category {name: 'Leadership'})
}
RETURN o.name
LIMIT 3","match
  $o isa organization;
  $ceo isa person;
  (organization: $o, ceo: $ceo) isa ceo_of;
  $ic isa industry_category; (organization: $o, category: $ic) isa in_category;
limit 3;
fetch { ""name"": $o.name };"
synthetic-1,companies,371,high,cypher_invalid_label,"Cypher references label ""Book"" not in Neo4j schema (valid: ['Article', 'Chunk', 'City', 'Country', 'Fewshot', 'IndustryCategory', 'Organization', 'Person'])",Name the first 3 organizations that have a CEO who has authored a book on leadership.,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)
WHERE EXISTS {
  (ceo)-[:HAS_AUTHORED]->(:Book)-[:HAS_CATEGORY]->(:Category {name: 'Leadership'})
}
RETURN o.name
LIMIT 3","match
  $o isa organization;
  $ceo isa person;
  (organization: $o, ceo: $ceo) isa ceo_of;
  $ic isa industry_category; (organization: $o, category: $ic) isa in_category;
limit 3;
fetch { ""name"": $o.name };"
synthetic-1,companies,372,high,cypher_invalid_label,"Cypher references label ""Category"" not in Neo4j schema (valid: ['Article', 'Chunk', 'City', 'Country', 'Fewshot', 'IndustryCategory', 'Organization', 'Person'])",Name the first 3 organizations that have a CEO who has authored a book on leadership.,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)
WHERE EXISTS {
  (ceo)-[:HAS_AUTHORED]->(:Book)-[:HAS_CATEGORY]->(:Category {name: 'Leadership'})
}
RETURN o.name
LIMIT 3","match
  $o isa organization;
  $ceo isa person;
  (organization: $o, ceo: $ceo) isa ceo_of;
  $ic isa industry_category; (organization: $o, category: $ic) isa in_category;
limit 3;
fetch { ""name"": $o.name };"
synthetic-1,companies,372,high,cypher_invalid_label,"Cypher references label ""Book"" not in Neo4j schema (valid: ['Article', 'Chunk', 'City', 'Country', 'Fewshot', 'IndustryCategory', 'Organization', 'Person'])",Name the first 3 organizations that have a CEO who has authored a book on leadership.,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)
WHERE EXISTS {
  (ceo)-[:HAS_AUTHORED]->(:Book)-[:HAS_CATEGORY]->(:Category {name: 'Leadership'})
}
RETURN o.name
LIMIT 3","match
  $o isa organization;
  $ceo isa person;
  (organization: $o, ceo: $ceo) isa ceo_of;
  $ic isa industry_category; (organization: $o, category: $ic) isa in_category;
limit 3;
fetch { ""name"": $o.name };"
synthetic-1,recommendations,400,high,cypher_invalid_label,"Cypher references label ""Award"" not in Neo4j schema (valid: ['Actor', 'Director', 'Genre', 'Movie', 'Person', 'User'])",Which three directors have directed movies that have won any cinematic awards?,"MATCH (d:Director)-[:DIRECTED]->(m:Movie)
WHERE exists{ (m)-[:WON]->(:Award) }
RETURN d.name AS director
LIMIT 3","match
$p isa person;
directed (director: $p, film: $m);
won (film: $m, award: $aw);
select $p;
distinct;
limit 3;
fetch { ""director"": $p.name };"
synthetic-1,recommendations,401,high,cypher_invalid_label,"Cypher references label ""Award"" not in Neo4j schema (valid: ['Actor', 'Director', 'Genre', 'Movie', 'Person', 'User'])",Which three directors have directed movies that have won any cinematic awards?,"MATCH (d:Director)-[:DIRECTED]->(m:Movie)
WHERE exists{ (m)-[:WON]->(:Award) }
RETURN d.name AS director
LIMIT 3","match
$p isa person;
directed (director: $p, film: $m);
won (film: $m, award: $aw);
select $p;
distinct;
limit 3;
fetch { ""director"": $p.name };"
synthetic-1,recommendations,488,high,cypher_invalid_label,"Cypher references label ""Award"" not in Neo4j schema (valid: ['Actor', 'Director', 'Genre', 'Movie', 'Person', 'User'])",List all movies that have won an award and have been directed by a director born in the UK.,"MATCH (m:Movie)<-[:DIRECTED]-(d:Director {bornIn: 'UK'})
WHERE exists{ (m)-[:WON]->(:Award) }
RETURN m.title, d.name","match
$p isa person, has born_in ""UK"";
directed (director: $p, film: $m);
won (film: $m, award: $aw);
fetch { ""title"": $m.title, ""director"": $p.name };"
synthetic-1,recommendations,489,high,cypher_invalid_label,"Cypher references label ""Award"" not in Neo4j schema (valid: ['Actor', 'Director', 'Genre', 'Movie', 'Person', 'User'])",List all movies that have won an award and have been directed by a director born in the UK.,"MATCH (m:Movie)<-[:DIRECTED]-(d:Director {bornIn: 'UK'})
WHERE exists{ (m)-[:WON]->(:Award) }
RETURN m.title, d.name","match
$p isa person, has born_in ""UK"";
directed (director: $p, film: $m);
won (film: $m, award: $aw);
fetch { ""title"": $m.title, ""director"": $p.name };"
