source,database,original_index,confidence,check,detail,question,cypher,typeql
synthetic-1,movies,93,medium,cypher_wrong_label_property,"Cypher accesses m.summary but ""summary"" is not on :Movie (exists on other types)","List the first 3 movies reviewed with a summary 'Silly, but fun' and a tagline containing 'world'.","MATCH (m:Movie)<-[:REVIEWED]-(p:Person)
WHERE m.tagline CONTAINS 'world' AND exists{(p)-[:REVIEWED]->(m) WHERE m.summary = 'Silly, but fun'}
RETURN m.title
LIMIT 3","match
  $m isa movie, has tagline $tagline, has title $title;
  $tagline like "".*world.*"";
  $rev isa reviewed (reviewer: $p, film: $m), has summary ""Silly, but fun"";
limit 3;
fetch {
  ""title"": $title
};"
synthetic-1,movies,165,medium,cypher_wrong_label_property,"Cypher accesses a.roles but ""roles"" is not on :Person (exists on other types)",List the roles played by actors in the first 3 movies directed by Nancy Meyers.,"MATCH (d:Person {name: 'Nancy Meyers'})-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(a:Person)
RETURN m.title AS movie, a.name AS actor, a.roles AS roles
ORDER BY m.released
LIMIT 3","match
  $d isa person, has name ""Nancy Meyers"";
  (director: $d, film: $m) isa directed;
  $m has title $t, has released $r;
  $ai isa acted_in (actor: $a, film: $m), has roles $roles;
  $a has name $n;
sort $r asc;
limit 3;
fetch {
  ""movie"": $t,
  ""actor"": $n,
  ""roles"": $roles
};"
synthetic-1,movies,199,medium,cypher_wrong_label_property,"Cypher accesses p.roles but ""roles"" is not on :Person (exists on other types)",List the top 5 movies with roles including 'Doctor' and the actors who played them.,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person)
WHERE any(role IN p.roles WHERE role CONTAINS 'Doctor')
RETURN m.title AS movie, p.name AS actor
ORDER BY m.votes DESC
LIMIT 5","match
  $m isa movie;
  $p isa person;
  $ai isa acted_in (actor: $p, film: $m);
  $ai has roles $r;
  $r like "".*Doctor.*"";
  $m has title $titlem;
  $p has name $namep;
  $m has votes $votesm;
sort $votesm desc;
limit 5;
fetch {
  ""movie"": $titlem,
  ""actor"": $namep
};"
synthetic-1,movies,213,medium,cypher_wrong_label_property,"Cypher accesses r.rating but ""rating"" is not on :Person (exists on other types)",Which movies released between 1980 and 1990 have been reviewed with a rating higher than 80?,"MATCH (m:Movie)
WHERE m.released >= 1980 AND m.released <= 1990
AND EXISTS {
  (m)<-[:REVIEWED]-(r:Person)
  WHERE r.rating > 80
}
RETURN m.title, m.released","match
  $m isa movie;
  $m has released $releasedm;
  $releasedm >= 1980;
  $releasedm <= 1990;
  (reviewer: $r, film: $m) isa reviewed, has rating $ratingr;
  $ratingr > 80;
  $m has title $titlem;
fetch {
  ""title"": $titlem,
  ""released"": $releasedm
};"
synthetic-1,movies,216,medium,cypher_wrong_label_property,"Cypher accesses p.summary but ""summary"" is not on :Person (exists on other types)",List the first 3 actors born before 1950 who reviewed a movie with a summary containing the word 'funny'.,"MATCH (p:Person)-[:REVIEWED]->(m:Movie)
WHERE p.born < 1950 AND p.summary CONTAINS 'funny'
RETURN p.name
ORDER BY p.born
LIMIT 3","match
  $p isa person, has name $n, has born $b;
  $b < 1950;
  $rev isa reviewed (reviewer: $p, film: $m), has summary $s;
  $s like "".*funny.*"";
sort $b asc;
limit 3;
fetch {
  ""name"": $n
};"
synthetic-1,movies,343,medium,cypher_wrong_label_property,"Cypher accesses p.roles but ""roles"" is not on :Person (exists on other types)",List the first 5 movies that have been acted in by someone with the role 'Captain' and reviewed with a rating below 60.,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person)
WHERE 'Captain' IN p.roles
WITH m
MATCH (m)<-[r:REVIEWED]-()
WHERE r.rating < 60
RETURN m.title
LIMIT 5","match
  $m isa movie;
  $acted isa acted_in (actor: $p, film: $m);
  $acted has roles ""Captain"";
  $rev isa reviewed (film: $m);
  $rev has rating $r;
  $r < 60;
limit 5;
fetch {
  ""title"": $m.title
};"
synthetic-1,movies,353,medium,cypher_wrong_label_property,"Cypher accesses r.summary but ""summary"" is not on :Person (exists on other types)",Who are the top 3 directors of movies that have been reviewed with a summary stating 'Pretty funny at times'?,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:REVIEWED]-(r:Person)
WHERE r.summary = 'Pretty funny at times'
RETURN p.name AS director, count(*) AS num_movies
ORDER BY num_movies DESC
LIMIT 3","match
  $p isa person;
  $m isa movie;
  (director: $p, film: $m) isa directed;
  $rev isa reviewed (reviewer: $r, film: $m);
  $rev has summary ""Pretty funny at times"";
reduce $num_movies = count($m) groupby $p;
sort $num_movies desc;
limit 3;
fetch {
  ""director"": $p.name,
  ""num_movies"": $num_movies
};"
synthetic-1,movies,425,medium,cypher_wrong_label_property,"Cypher accesses m.summary but ""summary"" is not on :Movie (exists on other types)","Who has the most movies with a 'Silly, but fun' review summary?","MATCH (p:Person)-[:REVIEWED]->(m:Movie)
WHERE p.name IS NOT NULL
WITH p, count(CASE WHEN m.summary = 'Silly, but fun' THEN 1 END) AS silly_reviews
RETURN p.name AS name, silly_reviews
ORDER BY silly_reviews DESC
LIMIT 1","match
  $p isa person, has name $n;
  $rev isa reviewed (reviewer: $p, film: $m), has summary ""Silly, but fun"";
reduce $silly_reviews = count($rev) groupby $n;
sort $silly_reviews desc;
limit 1;
fetch {
  ""name"": $n,
  ""silly_reviews"": $silly_reviews
};"
synthetic-1,neoflix,80,medium,cypher_wrong_label_property,"Cypher accesses m.backdrop_path but ""backdrop_path"" is not on :Movie (exists on other types)",List all movies that have a backdrop path available.,"MATCH (m:Movie)
WHERE m.backdrop_path IS NOT NULL
RETURN m.title","match
$m isa movie, has backdrop_path $bp;
fetch { ""title"": $m.title };"
synthetic-1,neoflix,228,medium,cypher_wrong_label_property,"Cypher accesses m.backdrop_path but ""backdrop_path"" is not on :Movie (exists on other types)",List the first 3 movies with a backdrop path that includes '/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg'.,"MATCH (m:Movie)
WHERE m.backdrop_path IS NOT NULL AND m.backdrop_path CONTAINS '/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg'
RETURN m.title
LIMIT 3","match
$m isa movie, has backdrop_path $bp;
$bp like "".*9FBwqcd9IRruEDUrTdcaafOMKUq.*"";
limit 3;
fetch { ""title"": $m.title };"
