original_index,question,cypher,typeql,review_reason
49,What are the 3 most common hashtags in tweets that have been retweeted more than 100 times?,"MATCH (t:Tweet)-[:TAGS]->(h:Hashtag)
WHERE t.favorites > 100
RETURN h.name AS hashtag, count(*) AS count
ORDER BY count DESC
LIMIT 3","match
$t isa tweet, has favorites $f;
$h isa hashtag;
tags (tagged_tweet: $t, tag: $h);
$f > 100;
reduce $count = count($t) groupby $h;
sort $count desc;
limit 3;
fetch { ""hashtag"": $h.hashtag_name, ""count"": $count };",Semantic mismatch - TypeQL does not match the English question intent
73,List the top 5 tweets that have been retweeted the most times.,"MATCH (t:Tweet)-[:RETWEETS]->(retweet:Tweet)
RETURN t.text AS tweet_text, count(retweet) AS retweet_count
ORDER BY retweet_count DESC
LIMIT 5","match
$t isa tweet;
$retweet isa tweet;
retweets (retweeting_tweet: $t, original_tweet: $retweet);
reduce $retweet_count = count($retweet) groupby $t;
sort $retweet_count desc;
limit 5;
fetch { ""tweet_text"": $t.text, ""retweet_count"": $retweet_count };",Semantic mismatch - TypeQL does not match the English question intent
75,Identify the top 3 users who have amplified the most tweets.,"MATCH (u:User)<-[:AMPLIFIES]-(me:Me)
WITH u, count(me) AS amplifications
ORDER BY amplifications DESC
LIMIT 3
RETURN u.name AS user, amplifications","match
$u isa user;
$me isa me;
$a isa amplifies (amplifier: $me, amplified_user: $u);
reduce $amplifications = count($a) groupby $u;
sort $amplifications desc;
limit 3;
fetch { ""user"": $u.name, ""amplifications"": $amplifications };",Semantic mismatch - TypeQL does not match the English question intent
81,"List the top 5 tweets by the total interaction (mentions, retweets, replies).","MATCH (t:Tweet)
OPTIONAL MATCH (t)<-[:MENTIONS]-(mention)
OPTIONAL MATCH (t)<-[:RETWEETS]-(retweet) 
OPTIONAL MATCH (t)<-[:REPLY_TO]-(reply)
RETURN t.text AS tweet, 
       count(mention) AS mentions,
       count(retweet) AS retweets, 
       count(reply) AS replies,
       (count(mention) + count(retweet) + count(reply)) AS totalInteractions
ORDER BY totalInteractions DESC
LIMIT 5","match
$t isa tweet;
$reply isa tweet;
reply_to (original_tweet: $t, replying_tweet: $reply);
reduce $replies = count($reply) groupby $t;
sort $replies desc;
limit 5;
fetch { ""tweet"": $t.text, ""replies"": $replies };",Semantic mismatch - TypeQL does not match the English question intent
85,Which 3 tweets have the highest aggregation of favorites and retweets?,"MATCH (t:Tweet)
OPTIONAL MATCH (t)-[:RETWEETS]->(r:Tweet)
RETURN t, t.favorites + count(r) AS score
ORDER BY score DESC
LIMIT 3","match
$t isa tweet, has favorites $f;
sort $f desc;
limit 3;
fetch { ""text"": $t.text, ""tweet_id"": $t.tweet_id, ""favorites"": $f };",Semantic mismatch - TypeQL does not match the English question intent
137,Who are the top 5 users that follow both 'neo4j' and 'Me'?,"MATCH (u:User)-[:FOLLOWS]->(:User {screen_name: 'neo4j'}), 
      (u)-[:FOLLOWS]->(:Me)
RETURN u.screen_name AS user, u.followers AS followerCount
ORDER BY followerCount DESC
LIMIT 5","match
$u isa user, has followers $f;
$me isa me, has screen_name ""neo4j"";
follows (follower: $u, followed: $me);
sort $f desc;
limit 5;
fetch { ""user"": $u.screen_name, ""followerCount"": $f };",Semantic mismatch - TypeQL does not match the English question intent
154,Which three tweets have the highest retweet counts?,"MATCH (t:Tweet)
RETURN t.text, t.favorites
ORDER BY t.favorites DESC
LIMIT 3","match
$t isa tweet, has favorites $f;
sort $f desc;
limit 3;
fetch { ""text"": $t.text, ""favorites"": $f };",Semantic mismatch - TypeQL does not match the English question intent
170,Find the first 3 tweets that have been retweeted more than 100 times.,"MATCH (t:Tweet)
WHERE t.favorites > 100
RETURN t
ORDER BY t.favorites DESC
LIMIT 3","match
$t isa tweet, has favorites $f;
$f > 100;
sort $f desc;
limit 3;
fetch { ""text"": $t.text, ""tweet_id"": $t.tweet_id, ""favorites"": $f };",Semantic mismatch - TypeQL does not match the English question intent
212,List the top 5 tweets that include a link and were posted by users following 'Neo4j'.,"MATCH (u:User)-[:FOLLOWS]->(:Me {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)-[:CONTAINS]->(l:Link)
RETURN t.text AS tweet_text, t.favorites AS favorites
ORDER BY t.favorites DESC
LIMIT 5","match
$me isa me, has screen_name ""neo4j"";
$u isa user;
$t isa tweet, has favorites $f;
$l isa link;
follows (follower: $u, followed: $me);
posts (author: $me, content: $t);
contains (containing_tweet: $t, contained_link: $l);
sort $f desc;
limit 5;
fetch { ""tweet_text"": $t.text, ""favorites"": $f };",Semantic mismatch - TypeQL does not match the English question intent
219,List the top 5 users that 'Neo4j' retweeted and who have a following of more than 10000.,"MATCH (me:Me {screen_name: 'neo4j'})-[:AMPLIFIES]->(u:User)
WHERE u.following > 10000
RETURN u.screen_name, u.following
ORDER BY u.following DESC
LIMIT 5","match
$me isa me, has screen_name ""neo4j"";
$u isa user, has following $f;
amplifies (amplifier: $me, amplified_user: $u);
$f > 10000;
sort $f desc;
limit 5;
fetch { ""screen_name"": $u.screen_name, ""following"": $f };",Semantic mismatch - TypeQL does not match the English question intent
281,Show the first 3 hashtags tagged in tweets that have been retweeted more than 100 times.,"MATCH (t:Tweet)-[:TAGS]->(h:Hashtag)
WHERE t.favorites > 100
RETURN h.name
LIMIT 3","match
  $t isa tweet, has favorites $favorites;
  $favorites > 100;
  tags (tagged_tweet: $t, tag: $h);
  $h has hashtag_name $name;
limit 3;
fetch { ""name"": $name };",Semantic mismatch - TypeQL does not match the English question intent
336,What are the top 3 hashtags associated with tweets that have been retweeted more than 50 times?,"MATCH (t:Tweet)-[:TAGS]->(h:Hashtag)
WHERE t.favorites > 50
RETURN h.name AS hashtag, count(*) AS count
ORDER BY count DESC
LIMIT 3","match
  $t isa tweet, has favorites $favorites;
  $favorites > 50;
  tags (tagged_tweet: $t, tag: $h);
  $h has hashtag_name $name;
reduce $count = count($t), groupby $name;
sort $count desc;
limit 3;
fetch { ""hashtag"": $name, ""count"": $count };",Semantic mismatch - TypeQL does not match the English question intent
414,Find all tweets from users who follow 'neo4j' and list the top 5.,"MATCH (u:User)-[:FOLLOWS]->(:Me {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)
RETURN t.text, t.favorites
ORDER BY t.favorites DESC
LIMIT 5","match
  $u isa user;
  $me isa me, has screen_name ""neo4j"";
  follows (follower: $u, followed: $me);
  posts (author: $me, content: $t);
  $t has text $text, has favorites $favorites;
sort $favorites desc;
limit 5;
fetch { ""text"": $text, ""favorites"": $favorites };",Semantic mismatch - TypeQL does not match the English question intent
