original_index,question,cypher,typeql
0,Who are the top 5 characters with the highest degree?,"MATCH (c:Character)
RETURN c.name, c.degree
ORDER BY c.degree DESC
LIMIT 5","match $c isa character, has degree $d;
sort $d desc;
limit 5;
fetch { ""name"": $c.name, ""degree"": $d };"
1,List characters with a pagerank less than 1 but more than 0.5.,"MATCH (c:Character)
WHERE c.pagerank > 0.5 AND c.pagerank < 1
RETURN c.name, c.pagerank","match
$c isa character, has pagerank $pr;
$pr > 0.5;
$pr < 1;
fetch {
  ""name"": $c.name,
  ""pagerank"": $pr
};"
2,Find characters with a louvain value of 0 and a community above 750.,"MATCH (c:Character)
WHERE c.louvain = 0 AND c.community > 750
RETURN c.name, c.louvain, c.community","match
$c isa character, has louvain $l, has community $comm, has name $n;
$l == 0;
$comm > 750;
fetch {
  ""name"": $n,
  ""louvain"": $l,
  ""community"": $comm
};"
3,Which characters have a book1PageRank exactly 0.15?,"MATCH (c:Character)
WHERE c.book1PageRank = 0.15
RETURN c.name","match
$c isa character, has book1_page_rank 0.15;
fetch {
  ""name"": $c.name
};"
4,Which characters belong to louvain community 1 and have a pagerank above 1?,"MATCH (c:Character)
WHERE c.louvain = 1 AND c.pagerank > 1
RETURN c.name","match
$c isa character, has louvain 1, has pagerank $pr;
$pr > 1;
fetch {
  ""name"": $c.name
};"
5,Find characters in community 578 with a degree of 0.,"MATCH (c:Character)
WHERE c.community = 578 AND c.degree = 0.0
RETURN c.name","match
$c isa character, has community 578, has degree 0.0;
fetch {
  ""name"": $c.name
};"
6,Who are the top 3 characters with the lowest book1BetweennessCentrality?,"MATCH (c:Character)
WITH c
ORDER BY c.book1BetweennessCentrality ASC
LIMIT 3
RETURN c.name, c.book1BetweennessCentrality","match $c isa character, has book1_betweenness_centrality $bc, has name $n;
sort $bc asc;
limit 3;
fetch { ""name"": $n, ""book1BetweennessCentrality"": $bc };"
7,Which characters have the least centrality but more than 30 degree?,"MATCH (c:Character)
WHERE c.centrality = 0.0 AND c.degree > 30
RETURN c.name, c.centrality, c.degree
ORDER BY c.degree DESC","match
$c isa character, has centrality $centrality, has degree $degree, has name $name;
$centrality == 0.0;
$degree > 30;
sort $degree desc;
fetch {
  ""name"": $name,
  ""centrality"": $centrality,
  ""degree"": $degree
};"
8,List all characters with a book45PageRank above 10.,"MATCH (c:Character)
WHERE c.book45PageRank > 10
RETURN c.name","match
$c isa character, has book45_page_rank $pr;
$pr > 10;
fetch { ""name"": $c.name };"
9,Find characters that interact with a weight of exactly 92 in book 2.,"MATCH (c1:Character)-[r:INTERACTS2 {weight: 92}]->(c2:Character)
RETURN c1.name AS Character1, c2.name AS Character2","match
$c1 isa character, has name $n1;
$c2 isa character, has name $n2;
$rel isa interacts2 (character1: $c1, character2: $c2), has weight 92;
fetch {
  ""Character1"": $n1,
  ""Character2"": $n2
};"
10,Who are the top 3 characters with the lowest degree?,"MATCH (c:Character)
RETURN c.name, c.degree
ORDER BY c.degree ASC
LIMIT 3","match
$c isa character, has name $name, has degree $d;
sort $d asc;
limit 3;
fetch {
  ""name"": $name,
  ""degree"": $d
};"
11,List characters with INTERACTS3 relationships in book 3 with weights greater than 50.,"MATCH (c1:Character)-[r:INTERACTS3]->(c2:Character)
WHERE r.weight > 50
RETURN c1.name AS Character1, c2.name AS Character2, r.weight AS Weight","match
$c1 isa character, has name $n1;
$c2 isa character, has name $n2;
$r isa interacts3 (character1: $c1, character2: $c2), has weight $w;
$w > 50;
fetch {
  ""Character1"": $n1,
  ""Character2"": $n2,
  ""Weight"": $w
};"
12,Which characters have an INTERACTS2 relationship in book 2?,"MATCH (c1:Character)-[r:INTERACTS2]->(c2:Character)
RETURN c1.name AS Character1, c2.name AS Character2, r.weight AS InteractionWeight","match
$c1 isa character;
$c2 isa character;
$r isa interacts2 (character1: $c1, character2: $c2), has weight $w;
fetch {
  ""Character1"": $c1.name,
  ""Character2"": $c2.name,
  ""InteractionWeight"": $w
};"
13,Find characters with an INTERACTS relationship having a weight over 100.,"MATCH (c1:Character)-[r:INTERACTS]->(c2:Character)
WHERE r.weight > 100
RETURN c1.name AS Character1, c2.name AS Character2, r.weight AS InteractionWeight","match
$c1 isa character, has name $n1;
$c2 isa character, has name $n2;
$rel isa interacts (character1: $c1, character2: $c2), has weight $w;
$w > 100;
fetch {
  ""Character1"": $n1,
  ""Character2"": $n2,
  ""InteractionWeight"": $w
};"
14,Who interacts in book 45 with a weight greater than 90?,"MATCH (c1:Character)-[r:INTERACTS45]->(c2:Character)
WHERE r.weight > 90
RETURN c1.name AS Character1, c2.name AS Character2, r.weight AS InteractionWeight","match
$c1 isa character;
$c2 isa character;
$r isa interacts45 (character1: $c1, character2: $c2);
$r has weight $w;
$w > 90;
fetch {
  ""Character1"": $c1.name,
  ""Character2"": $c2.name,
  ""InteractionWeight"": $w
};"
