original_index,question,cypher,typeql
0,How many different types of software are running on machines in zone 4?,"MATCH (z:Zone {zone: 4})-[:ROUTES]->(:Interface)<-[:ROUTES]-(:Switch)<-[:HOLDS]-(r:Rack {zone: 4})-[:HOLDS]->(m:Machine)-[:RUNS]->(s:Software)
RETURN COUNT(DISTINCT s.name) AS numberOfSoftwareTypes","match
$r isa rack, has zone 4;
holds (containing_rack: $r, held_equipment: $m);
$m isa machine;
runs (host_machine: $m, running_process: $proc);
instance_of (running_instance: $proc, template: $s);
$s isa software, has name $n;
select $n;
distinct;
reduce $count = count($n);"
2,Identify the top 3 processes by PID that depend on the 'java' service.,"MATCH (p:Process)-[:DEPENDS_ON]->(s:Service {name: 'java'})
RETURN p.name AS processName, p.pid AS processPID
ORDER BY p.pid DESC
LIMIT 3","match
  $p isa process, has name $pn, has pid $pid;
  $s isa service, has name ""java"";
  depends_on (dependent: $p, dependency: $s);
sort $pid desc;
limit 3;
fetch {
  ""processName"": $pn,
  ""processPID"": $pid
};"
3,Which machines are running services that started after timestamp 1606597376483?,"MATCH (m:Machine)-[:RUNS]->(s:Service)
WHERE s.startTime > 1606597376483
RETURN m.name","match
$m isa machine;
$s isa service, has start_time $st;
runs (host_machine: $m, running_process: $s);
$st > 1606597376483;
fetch {
  ""name"": $m.name
};"
4,Which interfaces connect networks in zone 2 with those in zone 3?,"MATCH (n2:Network {zone: 2})-[:ROUTES]->(i1:Interface)-[:CONNECTS]->(i2:Interface)<-[:ROUTES]-(n3:Network {zone: 3})
RETURN i1.ip AS Interface1, i2.ip AS Interface2","match
  $n2 isa network, has zone 2;
  $n3 isa network, has zone 3;
  routes (routing_device: $n2, routed_interface: $i1);
  routes (routing_device: $n3, routed_interface: $i2);
  connects (interface: $i1, interface: $i2);
fetch {
  ""Interface1"": $i1.ip,
  ""Interface2"": $i2.ip
};"
5,List all the services and their start times on machines in rack 'DC1-RCK-1-10'.,"MATCH (rack:Rack {name: 'DC1-RCK-1-10'})-[:HOLDS]->(machine:Machine)-[:RUNS]->(service:Service)
RETURN service.name AS serviceName, service.startTime AS startTime","match
$rack isa rack, has name ""DC1-RCK-1-10"";
holds (containing_rack: $rack, held_equipment: $machine);
$machine isa machine;
runs (host_machine: $machine, running_process: $service);
$service isa service;
fetch {
  ""serviceName"": $service.name,
  ""startTime"": $service.start_time
};"
6,Which applications are listening on ports greater than 1024?,"MATCH (app:Application)-[:LISTENS]->(port:Port)
WHERE port.port > 1024
RETURN app.name AS ApplicationName","match
$app isa application, has name $app_name;
$port isa port, has port_number $pn;
listens (listening_process: $app, listened_port: $port);
$pn > 1024;
fetch {
  ""ApplicationName"": $app_name
};"
7,What are the dependencies for the process named '8966'?,"MATCH (p:Process {pid: 8966})-[:DEPENDS_ON]->(dependency)
RETURN dependency","match
  $p isa process, has pid 8966;
  depends_on (dependent: $p, dependency: $dep);
  $dep has name $n;
fetch {
  ""dependency_name"": $n
};"
8,Which DataCenters contain the Router named 'DC1-RE'?,"MATCH (dc:DataCenter)-[:CONTAINS]->(r:Router {name: 'DC1-RE'})
RETURN dc.name","match
$dc isa data_center;
$r isa router, has name ""DC1-RE"";
dc_contains (data_center: $dc, contained_equipment: $r);
fetch {
  ""name"": $dc.name
};"
9,List the first 3 Routers contained in DataCenter 'DC1'.,"MATCH (dc:DataCenter {name: 'DC1'})-[:CONTAINS]->(r:Router)
RETURN r.name
LIMIT 3","match
$dc isa data_center, has name ""DC1"";
dc_contains (data_center: $dc, contained_equipment: $r);
$r isa router;
limit 3;
fetch {
  ""name"": $r.name
};"
10,What are the names of all Racks in zone 1 of DataCenter 'DC1'?,"MATCH (dc:DataCenter {name: 'DC1'})-[:CONTAINS]->(r:Rack {zone: 1})
RETURN r.name","match
$dc isa data_center, has name ""DC1"";
$r isa rack, has zone 1;
dc_contains (data_center: $dc, contained_equipment: $r);
fetch {
  ""name"": $r.name
};"
11,List all types of machines that have a CPU count of at least 8.,"MATCH (t:Type)
WHERE t.cpu >= 8
RETURN t.name AS machineType, t.cpu AS cpuCount","match
$t isa machine_type_spec, has cpu $c;
$c >= 8;
fetch {
  ""machineType"": $t.name,
  ""cpuCount"": $c
};"
12,Identify the first 3 Interfaces connected by the Router named 'DC1-R-1'.,"MATCH (r:Router {name: 'DC1-R-1'})-[:ROUTES]->(i:Interface)
RETURN i
LIMIT 3","match
$r isa router, has name ""DC1-R-1"";
$i isa interface;
routes (routing_device: $r, routed_interface: $i);
limit 3;
fetch {
  ""ip"": $i.ip
};"
13,List the software versions installed on machines that have type 'm'.,"MATCH (t:Type {type: 'm'})<-[:TYPE]-(m:Machine)-[:RUNS]->(s:Software)-[:VERSION]->(v:Version)
RETURN DISTINCT v.name AS SoftwareVersion","match
  $mt isa machine_type_spec, has machine_type ""m"";
  typed_as (machine: $m, spec: $mt);
  runs (host_machine: $m, running_process: $proc);
  instance_of (running_instance: $proc, template: $sw);
  $sw isa software;
  has_version (versioned_software: $sw, release_version: $v);
  $v has name $vname;
select $vname;
distinct;
fetch { ""SoftwareVersion"": $vname };"
14,Which applications are instances of software named 'RHEL' and run on machines in zone 1?,"MATCH (dc:DataCenter)-[:CONTAINS]->(rack:Rack {zone: 1})-[:HOLDS]->(machine:Machine)-[:RUNS]->(app:Application),
      (machine)-[:RUNS]->(os:OS {name: 'RHEL'})
RETURN DISTINCT app.name","match
$rack isa rack, has zone 1;
$machine isa machine;
$app isa application;
$os isa os, has name ""RHEL"";
$dc isa data_center;
dc_contains (data_center: $dc, contained_equipment: $rack);
holds (containing_rack: $rack, held_equipment: $machine);
runs (host_machine: $machine, running_process: $app);
runs (host_machine: $machine, running_process: $os);
select $app;
distinct;
fetch {
  ""name"": $app.name
};"
15,What is the total number of dependencies for the 'logstash' application?,"MATCH (app:Application {name: 'logstash'})-[:DEPENDS_ON]->(dependency)
RETURN count(dependency) AS totalDependencies","match
$app isa application, has name ""logstash"";
depends_on (dependent: $app, dependency: $dep);
reduce $totalDependencies = count($dep);"
16,Identify all machines with a disk size greater than 256 GB in zone 4.,"MATCH (m:Machine)-[:TYPE]->(t:Type), (m)-[:ROUTES]->(i:Interface), (i)-[:ROUTES]->(z:Zone)
WHERE t.disk > 256 AND z.zone = 4
RETURN m.name","match
$m isa machine, has name $mn;
$t isa machine_type_spec, has disk $d;
$d > 256;
typed_as (machine: $m, spec: $t);
routes (routing_device: $m, routed_interface: $i);
$nz isa network_zone, has zone $z;
$z == 4;
routes (routing_device: $nz, routed_interface: $i);
fetch {
  ""name"": $mn
};"
17,What are the IP addresses of Interfaces routed by Network '10.1'?,"MATCH (n:Network {ip: '10.1'})--[:ROUTES]->(i:Interface)
RETURN i.ip AS InterfaceIP","match
$n isa network, has ip ""10.1"";
routes (routing_device: $n, routed_interface: $i);
$i isa interface, has ip $ip;
fetch {
  ""InterfaceIP"": $ip
};"
18,Which services listen to port 443 and are instances of 'java'?,"MATCH (s:Service)-[:LISTENS]->(p:Port {port: 443}),
      (s)-[:INSTANCE]->(:Application {name: 'java'})
RETURN s.name","match
$s isa service;
$p isa port, has port_number 443;
listens (listening_process: $s, listened_port: $p);
$a isa application, has name ""java"";
instance_of (running_instance: $s, template: $a);
fetch {
  ""name"": $s.name
};"
19,How many machines are in the 'DC1' DataCenter's zone 2?,"MATCH (dc:DataCenter {name: 'DC1'})-[:CONTAINS]->(rack:Rack {zone: 2})-[:HOLDS]->(machine:Machine)
RETURN count(machine) AS numberOfMachines","match
$dc isa data_center, has name ""DC1"";
$rack isa rack, has zone 2;
dc_contains (data_center: $dc, contained_equipment: $rack);
holds (containing_rack: $rack, held_equipment: $machine);
$machine isa machine;
reduce $count = count($machine);"
20,What types of machines are in zone 3 and have more than 16 GB RAM?,"MATCH (r:Rack)-[:HOLDS]->(m:Machine)-[:TYPE]->(t:Type)
WHERE r.zone = 3 AND t.ram > 16
RETURN DISTINCT t.type AS machineType","match
$r isa rack, has zone 3;
holds (containing_rack: $r, held_equipment: $m);
$m isa machine;
typed_as (machine: $m, spec: $t);
$t isa machine_type_spec, has ram $ram;
$ram > 16;
$t has machine_type $mt;
select $mt;
distinct;
fetch { ""machineType"": $mt };"
21,List the first 5 network IPs in zone 1.,"MATCH (n:Network)
WHERE n.zone = 1
RETURN n.ip
LIMIT 5","match
$n isa network, has zone 1;
limit 5;
fetch {
  ""ip"": $n.ip
};"
22,Which racks contain switches with IP starting with '10.1'?,"MATCH (rack:Rack)-[:HOLDS]->(switch:Switch)
WHERE switch.ip STARTS WITH '10.1'
RETURN rack.name","match
$rack isa rack;
$switch isa switch, has ip $ip;
$ip like ""10.1.*"";
holds (containing_rack: $rack, held_equipment: $switch);
fetch {
  ""rack_name"": $rack.name
};"
23,How many applications depend on the 'crm' service?,"MATCH (app:Application)-[:DEPENDS_ON]->(service:Service {name: 'crm'})
RETURN count(app) AS numberOfApplications","match
$service isa service, has name ""crm"";
depends_on (dependent: $app, dependency: $service);
$app isa application;
reduce $count = count($app);"
24,What are the IP addresses for switches in zone 2's rack 3?,"MATCH (dc:DataCenter)-[:CONTAINS]->(rack:Rack {zone: 2, rack: 3})-[:HOLDS]->(switch:Switch)
RETURN switch.ip AS switch_ip","match
$dc isa data_center;
dc_contains (data_center: $dc, contained_equipment: $rack);
$rack isa rack, has zone 2, has rack_number 3;
holds (containing_rack: $rack, held_equipment: $switch);
$switch isa switch;
fetch {
  ""switch_ip"": $switch.ip
};"
25,Identify machines that run an OS started at or after timestamp 1606165629748.,"MATCH (m:Machine)-[:RUNS]->(os:OS)
WHERE os.startTime >= 1606165629748
RETURN m.name","match
$m isa machine;
$os isa os, has start_time $st;
runs (host_machine: $m, running_process: $os);
$st >= 1606165629748;
fetch {
  ""name"": $m.name
};"
26,List all machines that have a type 'xl' in the 'DC1' DataCenter.,"MATCH (dc:DataCenter {name: 'DC1'})-[:CONTAINS]->(rack:Rack)-[:HOLDS]->(machine:Machine)-[:TYPE]->(type:Type {type: 'xl'})
RETURN machine.name","match
$dc isa data_center, has name ""DC1"";
dc_contains (data_center: $dc, contained_equipment: $rack);
$rack isa rack;
holds (containing_rack: $rack, held_equipment: $machine);
$machine isa machine;
typed_as (machine: $machine, spec: $type);
$type isa machine_type_spec, has machine_type ""xl"";
fetch {
  ""machine_name"": $machine.name
};"
27,Which ports are used by processes on the machine 'DC1-RCK-1-1-M-1'?,"MATCH (m:Machine {name: 'DC1-RCK-1-1-M-1'})-[:RUNS]->(p:Process)-[:LISTENS]->(port:Port)
RETURN port.port AS used_ports","match
$m isa machine, has name ""DC1-RCK-1-1-M-1"";
runs (host_machine: $m, running_process: $p);
$p isa process;
listens (listening_process: $p, listened_port: $port);
fetch {
  ""used_ports"": $port.port_number
};"
28,What are the applications that depend on the 'webapp' software?,"MATCH (app:Application {name: 'webapp'})-[:DEPENDS_ON]->(dependentApp:Application)
RETURN dependentApp.name","match
  $sw isa software, has name ""webapp"";
  depends_on (dependent: $app, dependency: $sw);
  $app isa application;
fetch {
  ""name"": $app.name
};"
29,Which services are instances of the 'cms' application?,"MATCH (app:Application {name: 'cms'})-[:INSTANCE]->(service:Service)
RETURN service.name","match
$app isa application, has name ""cms"";
instance_of (template: $app, running_instance: $service);
$service isa service;
fetch {
  ""name"": $service.name
};"
30,List all processes that are instances of the 'RHEL' OS.,"MATCH (os:OS {name: 'RHEL'})-[:INSTANCE]->(version:Version)<-[:INSTANCE]-(process:Process)
RETURN process.name, process.startTime, process.pid","match
  $os isa os, has name ""RHEL"";
  instance_of (running_instance: $os, template: $version);
  $version isa version;
  instance_of (running_instance: $process, template: $version);
  $process isa process;
fetch {
  ""name"": $process.name,
  ""start_time"": $process.start_time,
  ""pid"": $process.pid
};"
32,Which versions of software are dependencies for the 'webapp' application in zone 2?,"MATCH (app:Application {name: 'webapp'})-[:DEPENDS_ON]->(software:Software)-[:VERSION]->(version:Version),
      (machine:Machine)-[:RUNS]->(app),
      (rack:Rack)-[:HOLDS]->(machine)
WHERE rack.zone = 2
RETURN DISTINCT version.name AS Version","match
$app isa application, has name ""webapp"";
depends_on (dependent: $app, dependency: $software);
$software isa software;
has_version (versioned_software: $software, release_version: $version);
$version has name $vname;
runs (host_machine: $machine, running_process: $app);
holds (containing_rack: $rack, held_equipment: $machine);
$rack has zone 2;
select $vname;
distinct;
fetch { ""Version"": $vname };"
33,What are the names of all services started on machines in zone 1?,"MATCH (z:Zone {zone: 1})-[:ROUTES]->(:Interface)<-[:ROUTES]-(:Machine)-[:RUNS]->(s:Service)
RETURN s.name","match
  $z isa network_zone, has zone 1;
  routes (routing_device: $z, routed_interface: $i);
  routes (routing_device: $m, routed_interface: $i);
  $m isa machine;
  runs (host_machine: $m, running_process: $s);
  $s isa service;
fetch {
  ""name"": $s.name
};"
34,Name the first 3 Machines held in Rack 'DC1-RCK-1-1'.,"MATCH (rack:Rack {name: 'DC1-RCK-1-1'})-[:HOLDS]->(machine:Machine)
RETURN machine.name
LIMIT 3","match
$rack isa rack, has name ""DC1-RCK-1-1"";
holds (containing_rack: $rack, held_equipment: $machine);
$machine isa machine;
limit 3;
fetch {
  ""name"": $machine.name
};"
35,What are the IPs of Switches located in Rack 'DC1-RCK-1-1'?,"MATCH (rack:Rack {name: 'DC1-RCK-1-1'})-[:HOLDS]->(switch:Switch)
RETURN switch.ip AS switch_ip","match
$rack isa rack, has name ""DC1-RCK-1-1"";
$switch isa switch;
holds (containing_rack: $rack, held_equipment: $switch);
fetch {
  ""switch_ip"": $switch.ip
};"
36,List all Switches in racks with zone 3.,"MATCH (r:Rack {zone: 3})-[:HOLDS]->(s:Switch)
RETURN s","match
$r isa rack, has zone 3;
holds (containing_rack: $r, held_equipment: $s);
$s isa switch;
fetch {
  ""switch_ip"": $s.ip,
  ""switch_rack_number"": $s.rack_number
};"
37,Which Machines are running OS named 'RHEL' in DataCenter 'DC1'?,"MATCH (dc:DataCenter {name: 'DC1'})-[:CONTAINS]->(:Rack)-[:HOLDS]->(m:Machine)-[:RUNS]->(os:OS {name: 'RHEL'})
RETURN m.name AS MachineName","match
$dc isa data_center, has name ""DC1"";
dc_contains (data_center: $dc, contained_equipment: $rack);
$rack isa rack;
holds (containing_rack: $rack, held_equipment: $m);
$m isa machine;
runs (host_machine: $m, running_process: $os);
$os isa os, has name ""RHEL"";
fetch {
  ""MachineName"": $m.name
};"
38,List the first 3 Services instance of Application 'webapp'.,"MATCH (app:Application {name: 'webapp'})-[:INSTANCE]->(service:Service)
RETURN service
LIMIT 3","match
$app isa application, has name ""webapp"";
$service isa service;
instance_of (template: $app, running_instance: $service);
limit 3;
fetch {
  ""service_name"": $service.name,
  ""service_start_time"": $service.start_time,
  ""service_pid"": $service.pid
};"
39,Name the top 3 Applications that depend on Process '8966'.,"MATCH (p:Process {pid: 8966})<-[:DEPENDS_ON]-(a:Application)
RETURN a.name AS application_name
ORDER BY a.startTime DESC
LIMIT 3","match
$p isa process, has pid 8966;
$a isa application, has start_time $st;
depends_on (dependent: $a, dependency: $p);
sort $st desc;
limit 3;
fetch {
  ""application_name"": $a.name
};"
40,What previous versions are linked to version '7.1'?,"MATCH (v:Version {name: '7.1'})−[:PREVIOUS]−>(prev:Version)
RETURN prev.name AS previous_versions","match
  $v isa version, has name ""7.1"";
  previous (newer_version: $v, older_version: $prev);
  $prev has name $prev_name;
fetch {
  ""previous_versions"": $prev_name
};"
