original_index,question,cypher,error
34,Identify the first 5 users who asked questions that were tagged with 'graphql' and answered within the same month.,"MATCH (u:User)-[:ASKED]->(q:Question)-[:TAGGED]->(t:Tag {name: 'graphql'})
WHERE q.answered = true
WITH u, q, date(q.createdAt) AS questionDate
WHERE questionDate.month = date().month AND questionDate.year = date().year
RETURN u.display_name AS userName, q.title AS questionTitle, q.createdAt AS questionDate
ORDER BY q.createdAt
LIMIT 5",Unsupported: date component extraction (month/year from datetime) required to filter questions answered within the same month
36,What are the first 5 questions with the longest text descriptions?,"MATCH (q:Question)
RETURN q.title, q.text
ORDER BY size(q.text) DESC
LIMIT 5",Unsupported: size() string length function needed for ORDER BY size(q.text)
60,What are the top 5 questions with the most complex text content?,"MATCH (q:Question)
WITH q, size(split(q.text, ' ')) AS wordCount
ORDER BY wordCount DESC
LIMIT 5
RETURN q.title AS title, q.text AS text, wordCount","Cypher uses split() and size() for word counting, which are unsupported in TypeQL"
110,What are the top 5 questions with the most external links mentioned in their text?,"MATCH (q:Question)
WHERE q.text CONTAINS ""http://"" OR q.text CONTAINS ""https://""
RETURN q.title, q.link, q.text, size(apoc.text.regexGroups(q.text, 'http[s]?://[^\\s]+')) AS link_count
ORDER BY link_count DESC
LIMIT 5",Unsupported: requires size() on regex group extraction (apoc.text.regexGroups) to count URL occurrences within a string. TypeQL has no string function to count pattern occurrences within an attribute value.
135,What are the top 5 questions with the shortest titles?,"MATCH (q:Question)
RETURN q.title, q.link
ORDER BY size(q.title) ASC
LIMIT 5",Unsupported: size() string length function has no TypeQL equivalent. Cannot sort by title length.
138,Identify the first 3 questions with the most detailed descriptions based on the number of characters.,"MATCH (q:Question)
WITH q, size(q.text) AS descriptionLength
ORDER BY descriptionLength DESC
LIMIT 3
RETURN q.title AS title, q.text AS description, descriptionLength",Unsupported: size() string length function has no TypeQL equivalent
139,What are the top 5 questions with a creation time between 8:00 and 10:00 UTC?,"MATCH (q:Question)
WHERE time(q.createdAt).hour >= 8 AND time(q.createdAt).hour < 10
RETURN q.title, q.createdAt
ORDER BY q.createdAt DESC
LIMIT 5",Unsupported: TypeQL has no function to extract hour/time components from datetime values (date arithmetic)
177,What are the top 3 longest texts in questions on the platform?,"MATCH (q:Question)
RETURN q.text
ORDER BY size(q.text) DESC
LIMIT 3",Cypher uses size() for string length which is unsupported in TypeQL
345,Which questions have a text length greater than 500 characters?,"MATCH (q:Question)
WHERE size(q.text) > 500
RETURN q.title, q.text, q.link",Unsupported feature: size() string length function has no TypeQL equivalent
451,Which questions have a text length greater than 500 characters?,"MATCH (q:Question)
WHERE size(q.text) > 500
RETURN q.title AS title, q.text AS text, q.link AS link, q.createdAt AS createdAt",Unsupported: size() string length function has no TypeQL equivalent
454,What are the 3 questions with the most references to external links in their text?,"MATCH (q:Question)
WHERE q.text CONTAINS ""http://"" OR q.text CONTAINS ""https://""
RETURN q.title, q.link, q.text, size(apoc.text.regexGroups(q.text, 'http[s]?://[^\\s]+')) AS link_count
ORDER BY link_count DESC
LIMIT 3",Unsupported: size() on apoc.text.regexGroups() - counting regex pattern occurrences within a string has no TypeQL equivalent
526,Find the top 3 questions with the most complex text content.,"MATCH (q:Question)
WITH q, size(split(q.text, ' ')) AS wordCount
ORDER BY wordCount DESC
LIMIT 3
RETURN q.title AS title, q.text AS text, wordCount",Unsupported features: size() and split() are not available in TypeQL. Cannot compute word count from text content.
574,"What are the top 5 questions that were asked on a holiday (assuming holidays are January 1st, December 25th)?","MATCH (q:Question)
WHERE date(q.createdAt).month = 1 AND date(q.createdAt).day = 1
   OR date(q.createdAt).month = 12 AND date(q.createdAt).day = 25
RETURN q.title, q.link, q.createdAt, q.score
ORDER BY q.score DESC
LIMIT 5","TypeQL does not support date component extraction functions (month, day from datetime). Cannot filter by specific month/day values."
579,List the 3 questions with the most references to external links in their text.,"MATCH (q:Question)
WHERE q.text CONTAINS ""http://"" OR q.text CONTAINS ""https://""
RETURN q.title, q.text, q.link, size(apoc.text.regexGroups(q.text, 'http[s]?://[^\\s]+')) AS link_count
ORDER BY link_count DESC
LIMIT 3",Uses size() with apoc.text.regexGroups() to count URL occurrences - TypeQL has no regex counting or size() function
