original_index,question,cypher,error
6,Find the top 5 originator banks with filings that have the shortest duration between begin and end dates.,"MATCH (f:Filing)-[:ORIGINATOR]->(e:Entity)
WITH f, e, duration.between(f.begin, f.end) AS duration
ORDER BY duration ASC
LIMIT 5
RETURN e.name AS originator_bank, duration",Unsupported: date arithmetic (duration.between) not available in TypeQL
20,Which 3 filings have the most significant difference in latitude between originator and beneficiary banks?,"MATCH (f:Filing)
WITH f, 
     toFloat(f.origin_lat) AS origin_lat, 
     toFloat(f.beneficiary_lat) AS beneficiary_lat, 
     abs(toFloat(f.origin_lat) - toFloat(f.beneficiary_lat)) AS lat_diff
ORDER BY lat_diff DESC
LIMIT 3
RETURN f.sar_id AS filing_id, f.originator_bank AS originator_bank, f.beneficiary_bank AS beneficiary_bank, lat_diff",Requires string-to-float conversion (toFloat) and abs() function on computed difference - both unsupported in TypeQL
23,What are the first 3 filings with the shortest duration between begin and end dates?,"MATCH (f:Filing)
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration
LIMIT 3
RETURN f.sar_id AS SAR_ID, f.begin AS BeginDate, f.end AS EndDate, duration AS Duration",Unsupported: date arithmetic (duration.between) not available in TypeQL
48,What are the top 3 filings with the longest duration between begin and end dates?,"MATCH (f:Filing)
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration DESC
LIMIT 3
RETURN f.sar_id AS SAR_ID, f.begin AS BeginDate, f.end AS EndDate, duration AS Duration",Unsupported: date arithmetic (duration.between) is not available in TypeQL
52,Which 3 filings have involved entities with the longest relationships based on begin and end dates?,"MATCH (f:Filing)-[:BENEFITS|:CONCERNS|:ORIGINATOR]->(e:Entity)
WITH f, e, duration.between(f.begin, f.end) AS relationship_duration
ORDER BY relationship_duration DESC
LIMIT 3
RETURN f.sar_id AS filing_id, f.begin AS begin_date, f.end AS end_date, relationship_duration",Unsupported: date arithmetic (duration.between) required to compute longest relationship duration
75,Which 3 entities have been the originator in the filings with the longest durations from beginning to end date?,"MATCH (f:Filing)-[:ORIGINATOR]->(e:Entity)
WITH e, f, duration.inSeconds(f.begin, f.end) AS duration
ORDER BY duration DESC
LIMIT 3
RETURN e.name AS entity_name, duration",Unsupported: date arithmetic (duration.inSeconds between two datetime values) is not available in TypeQL
87,Find the top 5 filings with the shortest durations where the originator bank's country is 'Singapore'.,"MATCH (f:Filing)-[:ORIGINATOR]->(e:Entity)-[:COUNTRY]->(c:Country {name: 'Singapore'})
WITH f, duration.inSeconds(datetime(f.begin), datetime(f.end)) AS duration
ORDER BY duration ASC
LIMIT 5
RETURN f.sar_id AS SAR_ID, f.begin AS BeginDate, f.end AS EndDate, duration AS Duration",Unsupported: date arithmetic (duration.inSeconds between two datetimes) has no TypeQL equivalent
116,"Which 3 filings have the longest duration from 'begin' to 'end' where the amount is over 500,000?","MATCH (f:Filing)
WHERE f.amount > 500000
RETURN f.sar_id, f.begin, f.end, f.amount, duration.between(f.begin, f.end) AS duration
ORDER BY duration DESC
LIMIT 3",Cypher uses duration.between() date arithmetic which is unsupported in TypeQL 3.0
145,What are the top 5 filings by duration (from 'begin' to 'end')?,"MATCH (f:Filing)
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration DESC
LIMIT 5
RETURN f.sar_id AS SAR_ID, f.begin AS BeginDate, f.end AS EndDate, duration AS Duration",Unsupported: date arithmetic (duration.between) is not available in TypeQL 3.0
149,List the top 5 filings with the shortest duration between 'begin' and 'end'.,"MATCH (f:Filing)
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration ASC
LIMIT 5
RETURN f.sar_id AS SAR_ID, f.begin AS BeginDate, f.end AS EndDate, duration AS Duration",Unsupported: date arithmetic (duration.between) is not available in TypeQL 3.0
167,Find the top 5 Filings with the shortest duration between begin and end dates.,"MATCH (f:Filing)
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration ASC
LIMIT 5
RETURN f.sar_id AS SAR_ID, f.begin AS BeginDate, f.end AS EndDate, duration AS Duration",Unsupported: date arithmetic (duration.between) has no TypeQL equivalent
187,Display the top 5 longest Filings by duration between begin and end dates.,"MATCH (f:Filing)
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration DESC
LIMIT 5
RETURN f.sar_id AS SAR_ID, f.begin AS BeginDate, f.end AS EndDate, duration AS Duration",Unsupported: date arithmetic (duration.between) has no TypeQL equivalent
205,List the top 3 longest Filings in terms of duration from the begin to the end date.,"MATCH (f:Filing)
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration DESC
LIMIT 3
RETURN f.sar_id AS SAR_ID, f.begin AS BeginDate, f.end AS EndDate, duration AS Duration",Unsupported: date arithmetic (duration.between) has no TypeQL equivalent
222,List the top 5 filings with the shortest duration between begin and end in 2005.,"MATCH (f:Filing)
WHERE f.begin >= datetime(""2005-01-01T00:00:00Z"") AND f.end <= datetime(""2005-12-31T23:59:59Z"")
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration ASC
LIMIT 5
RETURN f.sar_id AS SAR_ID, f.begin AS Begin_Date, f.end AS End_Date, duration AS Duration",Unsupported: date arithmetic (duration.between) is not available in TypeQL 3.0
226,Which three filings had the longest duration from begin to end in 2009?,"MATCH (f:Filing)
WHERE f.begin >= datetime('2009-01-01T00:00:00Z') AND f.end <= datetime('2009-12-31T23:59:59Z')
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration DESC
LIMIT 3
RETURN f.sar_id, f.begin, f.end, duration",Unsupported: date arithmetic (duration.between) is not available in TypeQL 3.0. Cannot compute the difference between two datetime values.
242,Which 3 filings have the shortest duration from begin to end date?,"MATCH (f:Filing)
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration ASC
LIMIT 3
RETURN f.sar_id AS SAR_ID, f.begin AS BeginDate, f.end AS EndDate, duration AS Duration",Unsupported: date arithmetic (duration.between) has no TypeQL equivalent
319,Which 5 filings have the longest duration from begin to end date?,"MATCH (f:Filing)
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration DESC
LIMIT 5
RETURN f.sar_id AS SAR_ID, f.begin AS BeginDate, f.end AS EndDate, duration",Unsupported feature: date arithmetic (duration.between) is not available in TypeQL 3.0
354,Which 3 filings have the longest duration from beginning to end date and involve an originator bank from 'USA'?,"MATCH (f:Filing)-[:ORIGINATOR]->(e:Entity)-[:COUNTRY]->(c:Country {code: 'USA'})
WITH f, duration.inDays(f.begin, f.end) AS duration
ORDER BY duration DESC
LIMIT 3
RETURN f.sar_id AS SAR_ID, f.begin AS BeginDate, f.end AS EndDate, duration",Unsupported feature: date arithmetic (duration.inDays) has no TypeQL equivalent
374,List the first 3 filings with a duration of exactly one month from begin to end date.,"MATCH (f:Filing)
WHERE duration.inMonths(datetime(f.begin), datetime(f.end)).months = 1
RETURN f
ORDER BY f.begin
LIMIT 3",Date arithmetic (duration.inMonths) is not supported in TypeQL 3.0
405,Which 5 countries have the most filings as originators in the last quarter of any year?,"MATCH (f:Filing)-[:ORIGINATOR]->(e:Entity)-[:COUNTRY]->(c:Country)
WHERE (f.begin >= datetime({year: 2000, month: 10, day: 1}) AND f.begin <= datetime({year: 2000, month: 12, day: 31}))
   OR (f.begin >= datetime({year: 2001, month: 10, day: 1}) AND f.begin <= datetime({year: 2001, month: 12, day: 31}))
   OR ... (years 2000-2017)
RETURN c.name AS country, COUNT(f) AS filings
ORDER BY filings DESC
LIMIT 5",Date arithmetic/extraction unsupported: query requires filtering by month component (Q4 = months 10-12) of datetime values across arbitrary years. TypeQL does not support datetime component extraction functions.
427,List the 3 filings with the shortest duration from beginning to end.,"MATCH (f:Filing)
WITH f, duration.between(f.begin, f.end) AS duration
ORDER BY duration ASC
LIMIT 3
RETURN f.sar_id AS SAR_ID, f.begin AS Begin_Date, f.end AS End_Date, duration",Unsupported: date arithmetic (duration.between) not available in TypeQL
