original_index,question,cypher,error
11,List the movies with exactly two roles in their ACTED_IN relationships.,"MATCH (m:Movie)<-[r:ACTED_IN]-(p:Person)
WHERE size(r.roles) = 2
RETURN m.title AS MovieTitle","Unsupported feature: size() on array property. Cypher uses size(r.roles) to count elements in a list-valued property, which has no TypeQL equivalent."
80,List all movie titles with exactly one word in the title.,"MATCH (m:Movie)
WHERE size(split(m.title, "" "")) = 1
RETURN m.title",Cypher uses split() which is unsupported in TypeQL. No equivalent string splitting function available.
234,List the top 5 oldest actors and the movies they have acted in.,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WITH p, m
ORDER BY p.born ASC
LIMIT 5
RETURN p.name AS actor, p.born AS birth_year, collect(m.title) AS movies",Cypher uses collect() which has no TypeQL equivalent. TypeQL does not support collect/aggregation into lists.
274,What are the first 3 movies with the most diverse taglines?,"MATCH (m:Movie)
WITH m, size(split(m.tagline, "" "")) AS tagline_word_count
ORDER BY tagline_word_count DESC
LIMIT 3
RETURN m.title AS MovieTitle, m.tagline AS Tagline",Cypher uses split() which is unsupported in TypeQL
339,"Who are the top five actors with the most diverse range of roles, having acted in at least five different movies?","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie)
WITH p, COUNT(DISTINCT m) AS movieCount, COLLECT(DISTINCT r.roles) AS rolesList
WHERE movieCount >= 5
WITH p, movieCount, REDUCE(s = [], roles IN rolesList | s + roles) AS allRoles
WITH p, movieCount, SIZE(apoc.coll.toSet(allRoles)) AS uniqueRolesCount
RETURN p.name AS actor, uniqueRolesCount
ORDER BY uniqueRolesCount DESC
LIMIT 5","Unsupported: requires collect(), REDUCE (array flatten), SIZE, and apoc.coll.toSet for counting unique roles across multiple relations. Also requires two separate aggregations (movie count and unique role count) per person, which cannot be combined in a single TypeQL reduce."
452,List the top 5 movies by the number of roles and their respective actors.,"MATCH (m:Movie)<-[r:ACTED_IN]-(p:Person)
WITH m, count(r.roles) AS roleCount, collect(p.name) AS actors
ORDER BY roleCount DESC
LIMIT 5
RETURN m.title AS movieTitle, roleCount, actors",Unsupported feature: collect() is required to aggregate actor names per movie but is not available in TypeQL 3.0
580,List the names of 3 persons who follow someone with the same first letter in their name.,"MATCH (p1:Person)-[:FOLLOWS]->(p2:Person)
WHERE substring(p1.name, 0, 1) = substring(p2.name, 0, 1)
RETURN p1.name
LIMIT 3",Unsupported: Cypher substring() for dynamic first-character comparison between two variables has no TypeQL equivalent. TypeQL lacks substring/left string extraction functions.
604,List 3 movies that have been followed by the most persons.,"MATCH (p:Person)-[:FOLLOWS]->(m:Movie)
WITH m, COUNT(p) AS followers
ORDER BY followers DESC
LIMIT 3
RETURN m.title AS MovieTitle, followers AS NumberOfFollowers",Schema mismatch: follows relation connects person-to-person only; movie does not play the followed role. Cypher assumes Person-[:FOLLOWS]->Movie which is not supported.
611,What are the 3 newest relationships formed in the graph (any type)?,"MATCH (a)-[r]->(b)
RETURN a, r, b
ORDER BY r.created_at DESC
LIMIT 3","Schema has no created_at attribute on any relation type. The Cypher query references r.created_at which does not exist in the schema, making this query unconvertible."
703,List all the movies where the roles list contains more than 4 characters.,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person)
WHERE size(p.roles) > 4
RETURN m.title",Unsupported feature: size() on list/array. TypeQL has no equivalent for checking the length of a multi-value attribute collection.
