original_index,question,cypher,typeql
0,Which product categories do not have any discontinued items?,"MATCH (c:Category)<-[:PART_OF]-(p:Product)
WHERE p.discontinued = false
WITH c, COUNT(p) AS activeProducts
MATCH (c)<-[:PART_OF]-(allProducts:Product)
WITH c, activeProducts, COUNT(allProducts) AS totalProducts
WHERE activeProducts = totalProducts
RETURN c.categoryName","match
$c isa category;
part_of (product: $p, category: $c);
not {
  part_of (product: $d, category: $c);
  $d has discontinued true;
};
fetch {
  ""categoryName"": $c.category_name
};"
1,Which products are supplied by suppliers from the UK?,"MATCH (s:Supplier {country: 'UK'})-[:SUPPLIES]->(p:Product)
RETURN p.productName AS productName","match
$s isa supplier, has country ""UK"";
supplies (supplier: $s, product: $p);
fetch { ""productName"": $p.product_name };"
2,Find the top 5 most frequently ordered products.,"MATCH (:Order)-[o:ORDERS]->(p:Product)
RETURN p.productName, COUNT(o) AS orderCount
ORDER BY orderCount DESC
LIMIT 5","match
$p isa product;
$rel isa orders (order: $o, product: $p);
reduce $count = count($rel) groupby $p;
sort $count desc;
limit 5;
fetch { ""productName"": $p.product_name, ""orderCount"": $count };"
3,List three customers who have purchased products ordered on '1996-07-04 00:00:00.000'.,"MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[:ORDERS]->(p:Product)
WHERE o.orderDate = '1996-07-04 00:00:00.000'
RETURN DISTINCT c.companyName
LIMIT 3","match
$c isa customer, has company_name $cn;
$o isa order, has order_date ""1996-07-04 00:00:00.000"";
purchased (customer: $c, order: $o);
orders (order: $o, product: $p);
select $cn;
distinct;
limit 3;
fetch { ""companyName"": $cn };"
4,Which suppliers supply products to more than five different categories?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)-[:PART_OF]->(c:Category)
WITH s, COUNT(DISTINCT c.categoryID) AS categoryCount
WHERE categoryCount > 5
RETURN s.companyName","match
$s isa supplier;
supplies (supplier: $s, product: $p);
part_of (product: $p, category: $c);
select $s, $c;
distinct;
reduce $count = count groupby $s;
match $count > 5;
fetch { ""companyName"": $s.company_name };"
5,What are the top 5 suppliers by number of products supplied?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)
WITH s, COUNT(p) AS productCount
ORDER BY productCount DESC
LIMIT 5
RETURN s.companyName AS supplierName, productCount","match
$s isa supplier;
supplies (supplier: $s, product: $p);
reduce $count = count($p) groupby $s;
sort $count desc;
limit 5;
fetch {
  ""supplierName"": $s.company_name,
  ""productCount"": $count
};"
6,What are the top 3 categories with the most products?,"MATCH (p:Product)-[:PART_OF]->(c:Category)
WITH c.categoryName AS category, COUNT(p) AS productCount
RETURN category, productCount
ORDER BY productCount DESC
LIMIT 3","match
$p isa product;
$c isa category;
part_of (product: $p, category: $c);
reduce $product_count = count($p) groupby $c;
sort $product_count desc;
limit 3;
fetch {
  ""category"": $c.category_name,
  ""productCount"": $product_count
};"
7,List all products that have 'seafood' in their category description.,"MATCH (p:Product)-[:PART_OF]->(c:Category)
WHERE c.description CONTAINS 'seafood'
RETURN p.productName AS productName, p.productID AS productID, c.categoryName AS categoryName, c.description AS categoryDescription","match
$p isa product;
$c isa category, has description $desc;
$desc like "".*seafood.*"";
part_of (product: $p, category: $c);
fetch {
  ""productName"": $p.product_name,
  ""productID"": $p.product_id,
  ""categoryName"": $c.category_name,
  ""categoryDescription"": $desc
};"
8,List the top 5 orders with the highest quantity ordered.,"MATCH (o:Order)-[r:ORDERS]->(p:Product)
RETURN o.orderID AS orderID, SUM(r.quantity) AS totalQuantity
ORDER BY totalQuantity DESC
LIMIT 5","match
$o isa order;
$rel isa orders (order: $o), has quantity $q;
reduce $total = sum($q) groupby $o;
sort $total desc;
limit 5;
fetch { ""orderID"": $o.order_id, ""totalQuantity"": $total };"
9,Which categories include products with a reorder level of 25?,"MATCH (p:Product)-[:PART_OF]->(c:Category)
WHERE p.reorderLevel = 25
RETURN DISTINCT c.categoryName","match
$p isa product, has reorder_level 25;
part_of (product: $p, category: $c);
select $c;
distinct;
fetch { ""categoryName"": $c.category_name };"
