original_index,question,cypher,typeql,review_reason
33,What are the top 5 movies with the shortest runtime?,"MATCH (m:Movie)
WHERE m.runtime IS NOT NULL
RETURN m.title, m.runtime
ORDER BY m.runtime
LIMIT 5","match
  $m isa movie;
  $m has runtime $runtime;
  $m has title $title;
sort $runtime asc;
limit 5;
fetch {
  ""title"": $title, ""runtime"": $runtime
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
37,What are the top 5 movies with the lowest revenue?,"MATCH (m:Movie)
WHERE m.revenue IS NOT NULL
RETURN m.title, m.revenue
ORDER BY m.revenue
LIMIT 5","match
  $m isa movie;
  $m has revenue $revenue;
  $m has title $title;
sort $revenue asc;
limit 5;
fetch {
  ""title"": $title, ""revenue"": $revenue
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
71,List the top 3 movies with the shortest runtime.,"MATCH (m:Movie)
WHERE m.runtime IS NOT NULL
RETURN m.title, m.runtime
ORDER BY m.runtime
LIMIT 3","match
  $m isa movie;
  $m has runtime $runtime;
  $m has title $title;
sort $runtime asc;
limit 3;
fetch {
  ""title"": $title, ""runtime"": $runtime
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
77,Display the top 3 movies with the least popularity.,"MATCH (m:Movie)
RETURN m.title, m.popularity
ORDER BY m.popularity
LIMIT 3","match
  $m isa movie;
  $m has title $title;
  $m has popularity $popularity;
sort $popularity asc;
limit 3;
fetch {
  ""title"": $title, ""popularity"": $popularity
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
82,Display the top 5 movies with the lowest average vote.,"MATCH (m:Movie)
WHERE m.average_vote IS NOT NULL
RETURN m.title, m.average_vote
ORDER BY m.average_vote
LIMIT 5","match
  $m isa movie;
  $m has average_vote $average_vote;
  $m has title $title;
sort $average_vote asc;
limit 5;
fetch {
  ""title"": $title, ""average_vote"": $average_vote
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
118,Which languages have more than 5 movies spoken in them?,"MATCH (l:Language)<-[:SPOKEN_IN_LANGUAGE]-(m:Movie)
WITH l, count(m) AS movieCount
WHERE movieCount > 5
RETURN l.name AS language, movieCount","match $l isa language; $m isa movie; $rel0 (language: $l, media: $m) isa spoken_in_language; $l has language_name $language_name_l; reduce $count = count($m); fetch { ""count"": $count };",Question asks for 5 items but TypeQL has no limit clause
126,List the top 3 most controversial adult films based on their overview.,"MATCH (a:Adult)
WHERE a.overview IS NOT NULL
RETURN a.title, a.overview
ORDER BY size(a.overview) DESC
LIMIT 3","match $a isa adult; $a has overview $overview; $a has title $title; sort $overview asc; limit 3; fetch { ""title"": $title, ""overview"": $overview };",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
143,Which countries have produced more than 10 movies in the database?,"MATCH (c:Country)<-[:PRODUCED_IN_COUNTRY]-(m:Movie)
WITH c, count(m) AS num_movies
WHERE num_movies > 10
RETURN c.name AS country, num_movies
ORDER BY num_movies DESC","match $c isa country; $m isa movie; $rel0 (country: $c, media: $m) isa produced_in_country; $c has country_name $country_name_c; reduce $count = count($m); fetch { ""count"": $count };",Question asks for 10 items but TypeQL has no limit clause
194,List the top 3 oldest movies in the database.,"MATCH (m:Movie)
WHERE m.release_date IS NOT NULL
RETURN m.title, m.release_date
ORDER BY m.release_date
LIMIT 3","match
  $m isa movie;
  $m has release_date $release_date;
  $m has title $title;
sort $release_date asc;
limit 3;
fetch {
  ""title"": $title, ""release_date"": $release_date
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
243,What are the top 5 adult films with the highest number of votes?,"MATCH (a:Adult)
WHERE a.vote_count IS NOT NULL
RETURN a.title, a.vote_count
ORDER BY a.vote_count DESC
LIMIT 5","match
  $a isa adult;
  $a has vote_count $vote_count;
  $a has title $title;
sort $vote_count desc;
limit 5;
fetch {
  ""title"": $title, ""vote_count"": $vote_count
};",Question asks for count/aggregation ('number of') but TypeQL has no 'reduce' clause
250,Name the top 5 oldest movies in the database.,"MATCH (m:Movie)
WHERE m.release_date IS NOT NULL
RETURN m.title, m.release_date
ORDER BY m.release_date
LIMIT 5","match
  $m isa movie;
  $m has release_date $release_date;
  $m has title $title;
sort $release_date asc;
limit 5;
fetch {
  ""title"": $title, ""release_date"": $release_date
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
255,What are the first 3 movies with the most characters in their overview?,"MATCH (m:Movie)
WHERE m.overview IS NOT NULL
RETURN m.title, m.overview
ORDER BY size(m.overview) DESC
LIMIT 3","match $m isa movie; $m has overview $overview; $m has title $title; sort $overview asc; limit 3; fetch { ""title"": $title, ""overview"": $overview };",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
256,List the top 5 movies that made the least revenue.,"MATCH (m:Movie)
WHERE m.revenue IS NOT NULL
RETURN m.title, m.revenue
ORDER BY m.revenue
LIMIT 5","match
  $m isa movie;
  $m has revenue $revenue;
  $m has title $title;
sort $revenue asc;
limit 5;
fetch {
  ""title"": $title, ""revenue"": $revenue
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
265,Which 3 movies have the least number of votes?,"MATCH (m:Movie)
WHERE m.vote_count IS NOT NULL
RETURN m.title, m.vote_count
ORDER BY m.vote_count
LIMIT 3","match
  $m isa movie;
  $m has vote_count $vote_count;
  $m has title $title;
sort $vote_count asc;
limit 3;
fetch {
  ""title"": $title, ""vote_count"": $vote_count
};",Question asks for count/aggregation ('number of') but TypeQL has no 'reduce' clause
290,Name the top 5 adult videos with the least revenue.,"MATCH (a:Adult)
WHERE a.revenue IS NOT NULL
RETURN a.title, a.revenue
ORDER BY a.revenue
LIMIT 5","match
  $a isa adult;
  $a has revenue $revenue;
  $a has title $title;
sort $revenue asc;
limit 5;
fetch {
  ""title"": $title, ""revenue"": $revenue
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
311,List the top 5 videos with the least revenue.,"MATCH (v:Video)
WHERE v.revenue IS NOT NULL
RETURN v.title, v.revenue
ORDER BY v.revenue
LIMIT 5","match
  $v isa video;
  $v has revenue $revenue;
  $v has title $title;
sort $revenue asc;
limit 5;
fetch {
  ""title"": $title, ""revenue"": $revenue
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
395,Name the top 5 users who have given the lowest average ratings to movies.,"MATCH (u:User)-[r:RATED]->(m:Movie)
WITH u, avg(r.rating) AS avg_rating
ORDER BY avg_rating
LIMIT 5
RETURN u.id AS user_id, avg_rating","match
  $u isa user;
  $m isa movie;
  $r (reviewer: $u, rated_media: $m) isa rated, has rating $rating;
  $u has user_id $user_id_u;
reduce $avg = mean($rating);
sort $avg asc;
limit 5;
fetch {
  ""avg"": $avg
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
464,List the top 5 movies that have been part of at least one collection.,"MATCH (m:Movie)-[:IN_COLLECTION]->(:Collection)
RETURN m.title, m.popularity
ORDER BY m.popularity DESC
LIMIT 5","match $m isa movie; $collection isa collection; (media: $m, collection: $collection) isa in_collection; $m has title $title; $m has popularity $popularity; sort $popularity desc; limit 5; fetch { ""title"": $title, ""popularity"": $popularity };",Question asks for lowest/least/bottom but TypeQL sorts descending instead of ascending
475,List the top 5 movies that have been rated by users with an average rating below 4.0.,"MATCH (m:Movie)<-[r:RATED]-(u:User)
WITH m, avg(r.rating) AS avg_rating
WHERE avg_rating < 4.0
RETURN m.title AS movie, avg_rating
ORDER BY avg_rating
LIMIT 5","match
  $m isa movie;
  $u isa user;
  $r (rated_media: $m, reviewer: $u) isa rated, has rating $rating;
  $m has title $title_m;
reduce $avg = mean($rating);
sort $avg asc;
limit 5;
fetch {
  ""avg"": $avg
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
508,Find all actors who have appeared in more than 10 movies.,"MATCH (p:Person)-[r:CAST_FOR]->(m:Movie)
WITH p, count(r) AS num_movies
WHERE num_movies > 10
RETURN p.name AS actor, num_movies","match
  $p isa person;
  $m isa movie;
  $r (actor: $p, film: $m) isa cast_for;
  $p has person_name $person_name_p;
reduce $count = count($r);
fetch {
  ""count"": $count
};",Question asks for 10 items but TypeQL has no limit clause
547,What are the top 5 movies with the smallest budget?,"MATCH (m:Movie)
WHERE m.budget IS NOT NULL
RETURN m.title, m.budget
ORDER BY m.budget
LIMIT 5","match
  $m isa movie;
  $m has budget $budget;
  $m has title $title;
sort $budget asc;
limit 5;
fetch {
  ""title"": $title, ""budget"": $budget
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
611,What are the top 5 movies with the most extended release dates range within a collection?,"MATCH (c:Collection)<-[:IN_COLLECTION]-(m:Movie)
WITH c, m
ORDER BY m.release_date
WITH c, collect(m) AS movies
WHERE size(movies) > 1
RETURN c.name AS collection,
       movies[0].title AS oldest_movie, movies[0].release_date AS oldest_release,
       last(movies).title AS newest_movie, last(movies).release_date AS newest_release,
       duration.between(date(movies[0].release_date), date(last(movies).release_date)).days AS days_between
ORDER BY days_between DESC
LIMIT 5","match
  $c isa collection;
  $m isa movie;
  $rel0 (collection: $c, media: $m) isa in_collection;
  $c has collection_name $collection_name_c;
  $m has release_date $release_date_m;
sort $release_date_m asc, $collection_name_c asc;
limit 5;
fetch {
  ""collection"": $collection_name_c
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
620,What are the top 5 movies with the longest taglines?,"MATCH (m:Movie)
WHERE m.tagline IS NOT NULL
RETURN m.title, m.tagline
ORDER BY size(m.tagline) DESC
LIMIT 5","match
  $m isa movie;
  $m has tagline $tagline;
  $m has title $title;
sort $tagline asc;
limit 5;
fetch {
  ""title"": $title, ""tagline"": $tagline
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
623,What are the top 5 movies with the smallest runtime?,"MATCH (m:Movie)
WHERE m.runtime IS NOT NULL
RETURN m.title, m.runtime
ORDER BY m.runtime
LIMIT 5","match
  $m isa movie;
  $m has runtime $runtime;
  $m has title $title;
sort $runtime asc;
limit 5;
fetch {
  ""title"": $title, ""runtime"": $runtime
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
635,What are the top 5 oldest movies in the database?,"MATCH (m:Movie)
RETURN m.title, m.release_date
ORDER BY m.release_date
LIMIT 5","match
  $m isa movie;
  $m has title $title;
  $m has release_date $release_date;
sort $release_date asc;
limit 5;
fetch {
  ""title"": $title, ""release_date"": $release_date
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
638,What are the top 5 longest taglines in adult films?,"MATCH (a:Adult)
WHERE a.tagline IS NOT NULL
RETURN a.tagline
ORDER BY size(a.tagline) DESC
LIMIT 5","match
  $a isa adult;
  $a has tagline $tagline;
sort $tagline asc;
limit 5;
fetch {
  ""tagline"": $tagline
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
643,Which 3 movies have the most extensive poster paths?,"MATCH (m:Movie)
WHERE m.poster_path IS NOT NULL
RETURN m.title, m.poster_path
ORDER BY size(m.poster_path) DESC
LIMIT 3","match
  $m isa movie;
  $m has poster_path $poster_path;
  $m has title $title;
sort $poster_path asc;
limit 3;
fetch {
  ""title"": $title, ""poster_path"": $poster_path
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
674,List the first 3 movies with the highest number of votes.,"MATCH (m:Movie)
WHERE m.vote_count IS NOT NULL
RETURN m.title, m.vote_count
ORDER BY m.vote_count DESC
LIMIT 3","match
  $m isa movie;
  $m has vote_count $vote_count;
  $m has title $title;
sort $vote_count desc;
limit 3;
fetch {
  ""title"": $title, ""vote_count"": $vote_count
};",Question asks for count/aggregation ('number of') but TypeQL has no 'reduce' clause
675,What are the top 5 movies with the lowest revenue and are still in 'Released' status?,"MATCH (m:Movie)
WHERE m.status = 'Released' AND m.revenue IS NOT NULL
RETURN m.title, m.revenue
ORDER BY m.revenue
LIMIT 5","match
  $m isa movie;
  $m has status $status;
  $m has revenue $revenue;
  $m has title $title;
  $status == ""Released"";
sort $revenue asc;
limit 5;
fetch {
  ""title"": $title, ""revenue"": $revenue
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
735,What are the top 5 movies with the most complex taglines?,"MATCH (m:Movie)
WHERE m.tagline IS NOT NULL
RETURN m.title, m.tagline
ORDER BY size(m.tagline) DESC
LIMIT 5","match
  $m isa movie;
  $m has tagline $tagline;
  $m has title $title;
sort $tagline asc;
limit 5;
fetch {
  ""title"": $title, ""tagline"": $tagline
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
737,Which 3 adult films have the most provocative taglines?,"MATCH (a:Adult)
WHERE a.tagline IS NOT NULL
RETURN a.title, a.tagline
ORDER BY a.tagline
LIMIT 3","match
  $a isa adult;
  $a has tagline $tagline;
  $a has title $title;
sort $tagline asc;
limit 3;
fetch {
  ""title"": $title, ""tagline"": $tagline
};",Question asks for highest/top/most but TypeQL sorts ascending instead of descending
