original_index,question,cypher,error
18,List the first 5 organizations that have a CEO with a name mentioned in at least two different articles and a revenue greater than 50 million.,"MATCH (org:Organization)-[:HAS_CEO]->(ceo:Person)
WHERE org.revenue > 50000000
WITH org, ceo
MATCH (a1:Article)-[:MENTIONS]->(ceo)
WITH org, ceo, COUNT(DISTINCT a1) AS articleCount
WHERE articleCount >= 2
RETURN org.name AS OrganizationName, ceo.name AS CEOName, org.revenue AS Revenue
LIMIT 5","Schema mismatch: Cypher uses Article-[:MENTIONS]->Person but TypeQL schema only allows mentions(article, mentioned) where mentioned is organization or city. Person entity does not play mentions:mentioned role."
29,"Which organizations have more than 10,000 employees and are located in a city that is not the capital of a country?","MATCH (o:Organization)-[:IN_CITY]->(c:City)-[:IN_COUNTRY]->(co:Country)
WHERE o.nbrEmployees > 10000 AND NOT EXISTS {
    MATCH (capital:City)-[:IN_COUNTRY {capital: true}]->(co)
    WHERE c = capital
}
RETURN o.name AS OrganizationName, o.nbrEmployees AS NumberOfEmployees, c.name AS CityName, co.name AS CountryName","Schema limitation: Cypher uses IN_COUNTRY {capital: true} relation property to identify capital cities, but the TypeQL location-contains relation has no attributes. The capital concept is not modeled in the TypeQL schema."
85,Who are the board members of the first 3 organizations in the 'Technology' industry?,"MATCH (industry:IndustryCategory {name: ""Technology""})<-[:HAS_CATEGORY]-(org:Organization)
WITH org
ORDER BY org.name
LIMIT 3
MATCH (org)-[:HAS_BOARD_MEMBER]->(boardMember:Person)
RETURN org.name AS Organization, collect(boardMember.name) AS BoardMembers",Unsupported: collect() aggregation and intermediate WITH...ORDER BY...LIMIT subquery pipeline cannot be expressed in TypeQL
210,Which organizations are headquartered in a city that is not the capital of its country?,"MATCH (org:Organization)-[:IN_CITY]->(city:City)-[:IN_COUNTRY]->(country:Country)
WHERE NOT EXISTS {
  MATCH (capital:City)-[:IN_COUNTRY {capital: true}]->(country)
  WHERE city = capital
}
RETURN org.name AS organizationName, city.name AS cityName, country.name AS countryName","Schema mismatch: Cypher references {capital: true} property on IN_COUNTRY relationship, but no such property exists in either the Neo4j or TypeQL schema. The query concept (filtering by capital city status) cannot be represented."
246,Name the first 3 organizations that have a CEO and a board member with different nationalities.,"MATCH (org:Organization)-[:HAS_CEO]->(ceo:Person),
      (org)-[:HAS_BOARD_MEMBER]->(boardMember:Person),
      (ceo)-[:HAS_PARENT|HAS_CHILD*0..]->(ceoCountry:Country),
      (boardMember)-[:HAS_PARENT|HAS_CHILD*0..]->(boardMemberCountry:Country)
WHERE ceoCountry.name <> boardMemberCountry.name
RETURN org.name AS OrganizationName
LIMIT 3","Schema has no relation connecting person to country. The Cypher uses variable-length HAS_PARENT|HAS_CHILD paths from person to country, but parent_of only relates person-to-person. Person nationality cannot be expressed in this schema."
280,List the first 3 organizations that have been competitors for more than 5 years.,"MATCH (o1:Organization)-[r:HAS_COMPETITOR]->(o2:Organization)
WHERE r.since <= date().year - 5
RETURN o1.name AS Organization1, o2.name AS Organization2
LIMIT 3","Unsupported: competes_with relation has no since attribute in schema, and date arithmetic (date().year - 5) is not supported in TypeQL"
337,Which 3 organizations have changed their CEOs in the last year?,"MATCH (o:Organization)-[:HAS_CEO]->(p:Person)
WHERE datetime().year - 1 <= datetime(p.startDate).year
RETURN o.name AS organization, p.name AS new_ceo
ORDER BY datetime(p.startDate) DESC
LIMIT 3",Unsupported: date arithmetic (datetime().year extraction and current date comparison) has no TypeQL equivalent
341,What are the top 5 cities mentioned in recent articles?,"MATCH (a:Article)-[:MENTIONS]->(o:Organization)-[:IN_CITY]->(c:City)
WHERE a.date >= date() - duration({days: 30})
RETURN c.name AS city, COUNT(a) AS articleCount
ORDER BY articleCount DESC
LIMIT 5",Unsupported feature: date arithmetic (date() - duration({days: 30})) is not available in TypeQL
372,Who are the board members of the first 3 public organizations?,"MATCH (o:Organization)
WHERE o.isPublic = true
WITH o
ORDER BY o.name
LIMIT 3
MATCH (o)-[:HAS_BOARD_MEMBER]->(p:Person)
RETURN o.name AS OrganizationName, collect(p.name) AS BoardMembers","Unsupported: Cypher uses collect() to aggregate board members per organization, and requires a subquery pattern (LIMIT organizations first, then expand to board members). TypeQL limit applies to the entire result set, not a subset of variables, and collect() is not supported."
378,Which 3 organizations have the most detailed organizational summaries?,"MATCH (o:Organization)
WHERE o.summary IS NOT NULL AND o.summary <> """"
RETURN o.name, o.summary
ORDER BY size(o.summary) DESC
LIMIT 3",Cypher size() string length function has no TypeQL equivalent
