original_index,question,cypher,typeql,review_reason
360,List the characters with the highest sum of INTERACTS weights across all books. Limit to top 5.,"MATCH (c:Character)-[i:INTERACTS|INTERACTS1|INTERACTS2|INTERACTS3|INTERACTS45]->(other)
WITH c, sum(i.weight) AS totalWeight
ORDER BY totalWeight DESC
LIMIT 5
RETURN c.name AS character, totalWeight","match
  $c isa character, has name $n;
  (character1: $c, character2: $o) isa interacts, has weight $w;
sort $w desc;
limit 5;
fetch { ""character"": $n, ""weight"": $w };","Query only uses 'interacts' relation but question asks for sum across ALL interaction types (interacts, interacts1, interacts2, interacts3, interacts45). Also missing SUM aggregation grouped by character - just sorts by individual weights."
367,Which characters are in the top 5 for louvain community size?,"MATCH (c:Character)
WITH c.louvain AS community, count(*) AS size
ORDER BY size DESC
LIMIT 5
MATCH (c:Character)
WHERE c.louvain = community
RETURN community, collect(c.name) AS characters","match
  $c isa character, has name $n, has louvain $l;
sort $l asc;
limit 5;
fetch { ""name"": $n, ""louvain"": $l };",Question asks for 'top 5 louvain community SIZE' meaning count of characters per community. TypeQL just sorts characters by louvain value (not counting members per community). Needs to group by louvain and count characters.
368,Who are the characters with a fastrf_embedding value at the last position less than -0.5? Limit to 3 characters.,"MATCH (c:Character)
WHERE c.fastrf_embedding[-1] < -0.5
RETURN c.name
LIMIT 3","match
  $c isa character;
limit 3;
fetch { ""c_name"": $c.name };",TypeQL completely ignores the fastrf_embedding condition. The query returns any 3 characters instead of filtering by fastrf_embedding at last position < -0.5. TypeQL may not support array indexing but query should not pass without the filter.
369,Identify the top 5 characters with the most interactions in book 3.,"MATCH (c:Character)-[i:INTERACTS3]->(other:Character)
RETURN c.name AS character, sum(i.weight) AS total_interactions
ORDER BY total_interactions DESC
LIMIT 5","match
  $c isa character, has name $cn;
  $other isa character;
  $rel (character1: $c, character2: $other) isa interacts3, has weight $w;
sort $w desc;
limit 5;
fetch { ""character"": $cn };","Question asks for 'most interactions' which should SUM weights grouped by character. TypeQL sorts by individual weight value, not sum of weights per character. Needs 'reduce $total = sum($w) groupby $c'."
376,Identify the top 5 characters based on the average of their centrality values across all books.,"MATCH (c:Character)
WHERE c.centrality IS NOT NULL
  AND exists {(c)-[:INTERACTS1]->()}
  AND exists {(c)-[:INTERACTS2]->()}
  AND exists {(c)-[:INTERACTS3]->()}
  AND exists {(c)-[:INTERACTS45]->()}
WITH c, 
  (coalesce(c.book1PageRank, 0) + 
   coalesce(c.book45PageRank, 0) +
   coalesce(c.pagerank, 0)) / 3 AS avgCentrality
RETURN c.name AS character, avgCentrality
ORDER BY avgCentrality DESC
LIMIT 5","match
  $c isa character, has name $n, has centrality $cent, has book1_page_rank $b1pr, has book45_page_rank $b45pr, has pagerank $pr;
  (character1: $c, character2: $o1) isa interacts1;
  (character1: $c, character2: $o2) isa interacts2;
  (character1: $c, character2: $o3) isa interacts3;
  (character1: $c, character2: $o4) isa interacts45;
sort $pr desc;
limit 5;
fetch { ""character"": $n, ""book1_page_rank"": $b1pr, ""book45_page_rank"": $b45pr, ""pagerank"": $pr };",Question asks for 'average of centrality values across all books'. TypeQL only sorts by pagerank instead of computing average of (book1_page_rank + book45_page_rank + pagerank) / 3.
377,Which characters have the highest sum of pagerank values across all books? Limit to top 5.,"MATCH (c:Character)
RETURN c.name AS character,
       c.pagerank + c.book1PageRank + c.book45PageRank AS totalPageRank
ORDER BY totalPageRank DESC
LIMIT 5","match
  $c isa character;
  $c has pagerank $c_pagerank;
sort $c_pagerank desc;
limit 5;
fetch { ""character"": $c.name, ""totalPageRank"": $c.pagerank };","Question asks for 'sum of pagerank values across all books' (pagerank + book1PageRank + book45PageRank). TypeQL only uses pagerank, doesn't compute sum of all three pagerank values."
381,Who are the top 5 characters with the lowest book45PageRank but a book1PageRank greater than 4?,"MATCH (c:Character)
WHERE c.book1PageRank > 4
RETURN c.name, c.book45PageRank, c.book1PageRank
ORDER BY c.book45PageRank
LIMIT 5","match
  $c isa character;
  $c has book1_page_rank $c_book1_page_rank;
  $c has book45_page_rank $c_book45_page_rank;
  $c_book1_page_rank > 4;
sort $c_book45_page_rank desc;
limit 5;
fetch { ""c_name"": $c.name, ""c_book45_page_rank"": $c.book45_page_rank, ""c_book1_page_rank"": $c.book1_page_rank };",Question asks for 'LOWEST book45PageRank' but TypeQL sorts DESC (highest first). Should sort ASC to get lowest values.
388,Who are the top 5 characters based on the combination of centrality and degree?,"MATCH (c:Character)
RETURN c.name, c.centrality, c.degree
ORDER BY c.centrality DESC, c.degree DESC
LIMIT 5","match
  $c isa character;
  $c has centrality $c_centrality;
sort $c_centrality desc;
limit 5;
fetch { ""c_name"": $c.name, ""c_centrality"": $c.centrality, ""c_degree"": $c.degree };","Question asks for 'combination of centrality and degree'. TypeQL only sorts by centrality, completely ignoring degree. Should sort by both (centrality desc, degree desc) or compute a combined score."
52,Which characters have the lowest 'book1BetweennessCentrality' and are part of community 579? Provide first 3 results.,"MATCH (c:Character)
WHERE c.community = 579
RETURN c.name, c.book1BetweennessCentrality
ORDER BY c.book1BetweennessCentrality
LIMIT 3","match
  $c isa character;
  $c has community $c_community;
  $c has book1_betweenness_centrality $c_book1_betweenness_centrality;
  $c_community == 579;
sort $c_book1_betweenness_centrality desc;
limit 3;
fetch { ""c_name"": $c.name, ""c_book1_betweenness_centrality"": $c.book1_betweenness_centrality };",Question asks for 'lowest book1BetweennessCentrality' but query sorts DESC (descending). Should sort ASC to get lowest values.
53,Identify all characters with a 'pagerank' below 0.2 and list top 3.,"MATCH (c:Character)
WHERE c.pagerank < 0.2
RETURN c.name, c.pagerank
ORDER BY c.pagerank
LIMIT 3","match
  $c isa character;
  $c has pagerank $c_pagerank;
  $c_pagerank < 0.2;
sort $c_pagerank desc;
limit 3;
fetch { ""c_name"": $c.name, ""c_pagerank"": $c.pagerank };","Sort direction mismatch. With 'pagerank below 0.2' and 'top 3', the expected behavior is to show the lowest values (closest to 0). Query sorts DESC which gives highest values in the filtered set."
