original_index,question,cypher,typeql
0,Which movies were released in 2003?,"MATCH (m:Movie)
WHERE m.released = 2003
RETURN m.title","match
  $m isa movie;
  $m has released 2003;
  $m has title $titlem;
fetch {
  ""title"": $titlem
};"
1,List all movies with more than 1000 votes.,"MATCH (m:Movie)
WHERE m.votes > 1000
RETURN m.title, m.votes","match
  $m isa movie;
  $m has votes $votesm;
  $votesm > 1000;
  $m has title $titlem;
fetch {
  ""title"": $titlem,
  ""votes"": $votesm
};"
2,What are the top 5 highest rated movies based on votes?,"MATCH (m:Movie)
WHERE m.votes IS NOT NULL
RETURN m.title, m.votes
ORDER BY m.votes DESC
LIMIT 5","match
  $m isa movie;
  $m has votes $votesm;
  $m has title $titlem;
sort $votesm desc;
limit 5;
fetch {
  ""title"": $titlem,
  ""votes"": $votesm
};"
3,Find the first 3 people born after 1960.,"MATCH (p:Person)
WHERE p.born > 1960
RETURN p
LIMIT 3","match
  $p isa person;
  $p has born $bornp;
  $bornp > 1960;
  $p has name $namep;
limit 3;
fetch {
  ""name"": $namep,
  ""born"": $bornp
};"
4,Who reviewed movies with a rating higher than 90?,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.rating > 90
RETURN p.name AS reviewer, m.title AS movie, r.rating AS rating","match
  $p isa person;
  $m isa movie;
  $r (reviewer: $p, film: $m) isa reviewed, has rating $ratingr;
  $ratingr > 90;
  $p has name $namep;
  $m has title $titlem;
fetch {
  ""reviewer"": $namep,
  ""movie"": $titlem,
  ""rating"": $ratingr
};"
5,List all movies directed by people born before 1950 limited to top 5.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1950
RETURN m.title
ORDER BY m.title
LIMIT 5","match
  $p isa person;
  $m isa movie;
  (director: $p, film: $m) isa directed;
  $p has born $bornp;
  $bornp < 1950;
  $m has title $titlem;
sort $titlem asc;
limit 5;
fetch {
  ""title"": $titlem
};"
6,What are the roles of Keanu Reeves in the movies he acted in?,"MATCH (p:Person {name: 'Keanu Reeves'})-[r:ACTED_IN]->(m:Movie)
RETURN m.title AS movie, r.roles AS roles","match
  $p isa person, has name ""Keanu Reeves"";
  $m isa movie;
  $r (actor: $p, film: $m) isa acted_in, has roles $rolesr;
  $m has title $titlem;
fetch {
  ""movie"": $titlem,
  ""roles"": $rolesr
};"
7,Find the first 3 movies produced by someone born in 1952.,"MATCH (p:Person {born: 1952})-[:PRODUCED]->(m:Movie)
RETURN m.title
LIMIT 3","match
  $p isa person, has born 1952;
  $m isa movie;
  (producer: $p, film: $m) isa produced;
  $m has title $titlem;
limit 3;
fetch {
  ""title"": $titlem
};"
8,Who acted in the movie with the tagline 'Welcome to the Real World'?,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie {tagline: 'Welcome to the Real World'})
RETURN p.name","match
  $p isa person;
  $m isa movie, has tagline ""Welcome to the Real World"";
  (actor: $p, film: $m) isa acted_in;
  $p has name $namep;
fetch {
  ""name"": $namep
};"
9,"Display the top 5 movies that have been reviewed with the summary 'Dark, but compelling'.","MATCH (m:Movie)<-[r:REVIEWED]-(p:Person)
WHERE r.summary = 'Dark, but compelling'
RETURN m.title, r.rating
ORDER BY r.rating DESC
LIMIT 5","match
$m isa movie, has title $title;
$p isa person;
$r (reviewer: $p, film: $m) isa reviewed, has summary $summary, has rating $rating;
$summary == ""Dark, but compelling"";
sort $rating desc;
limit 5;
fetch {
  ""title"": $title,
  ""rating"": $rating
};"
