original_index,question,cypher,typeql
0,What are the most common addresses used by entities?,"MATCH (e:Entity)-[:registered_address]->(a:Address)
RETURN a.address, COUNT(e) AS entity_count
ORDER BY entity_count DESC
LIMIT 10","match
$e isa offshore_entity;
registered_address (registrant: $e, registered_addr: $a);
$a has address $addr;
reduce $entity_count = count($e) groupby $a, $addr;
sort $entity_count desc;
limit 10;
fetch {
  ""address"": $addr,
  ""entity_count"": $entity_count
};"
1,What are the addresses of entities with a status of 'Defaulted'?,"MATCH (e:Entity)-[:registered_address]->(a:Address)
WHERE e.status = 'Defaulted'
RETURN a.address AS address","match
$e isa offshore_entity, has status ""Defaulted"";
registered_address (registrant: $e, registered_addr: $a);
$a isa postal_address;
fetch {
  ""address"": $a.address
};"
2,List the entities with a note mentioning 'Closed date stands for Liquidation date.',"MATCH (e:Other)
WHERE e.note = 'Closed date stands for Liquidation date.'
RETURN e.name AS entity_name, e.note AS note","match
$e isa other, has note ""Closed date stands for Liquidation date."";
fetch {
  ""entity_name"": $e.name,
  ""note"": $e.note
};"
3,Which officers have a valid until date that matches 'The Panama Papers data is current through 2015'?,"MATCH (o:Officer)
WHERE o.valid_until = 'The Panama Papers data is current through 2015'
RETURN o.name","match
$o isa officer, has valid_until ""The Panama Papers data is current through 2015"";
fetch {
  ""name"": $o.name
};"
4,Identify the entities with a former name and list them.,"MATCH (e:Entity)
WHERE e.former_name IS NOT NULL
RETURN e.name AS entity_name, e.former_name AS former_name","match
$e isa offshore_entity, has former_name $fn, has name $n;
fetch {
  ""entity_name"": $n,
  ""former_name"": $fn
};"
5,List the top 5 officers by their last edit timestamp.,"MATCH (o:Officer)
RETURN o.name, o.lastEditTimestamp
ORDER BY o.lastEditTimestamp DESC
LIMIT 5","match $o isa officer, has last_edit_timestamp $t;
sort $t desc;
limit 5;
fetch { ""name"": $o.name, ""lastEditTimestamp"": $t };"
6,What are the jurisdictions of the top 5 entities?,"MATCH (e:Entity)
RETURN e.jurisdiction AS jurisdiction, COUNT(e) AS entity_count
ORDER BY entity_count DESC
LIMIT 5","match
$e isa offshore_entity, has jurisdiction $j;
reduce $count = count($e) groupby $j;
sort $count desc;
limit 5;
fetch { ""jurisdiction"": $j };"
7,Find entities that are of the type 'FOREIGN FORMED CORPORATION'.,"MATCH (e:Other {type: 'FOREIGN FORMED CORPORATION'})
RETURN e.name AS entity_name, e.incorporation_date AS incorporation_date, e.jurisdiction AS jurisdiction, e.jurisdiction_description AS jurisdiction_description","match $e isa other, has entity_type ""FOREIGN FORMED CORPORATION"";
fetch {
  ""entity_name"": $e.name,
  ""incorporation_date"": $e.incorporation_date,
  ""jurisdiction"": $e.jurisdiction,
  ""jurisdiction_description"": $e.jurisdiction_description
};"
8,List the entities that have a tax description available.,"MATCH (e:Entity)
WHERE e.tax_stat_description IS NOT NULL
RETURN e.name AS entity_name, e.tax_stat_description AS tax_description","match
$e isa offshore_entity, has name $n, has tax_stat_description $td;
fetch {
  ""entity_name"": $n,
  ""tax_description"": $td
};"
9,Identify officers that are connected to entities through the 'connected to' relationship.,"MATCH (o:Officer)-[:connected_to]->(e:Entity)
RETURN o.name AS officer_name, e.name AS entity_name","match
$o isa officer;
$e isa offshore_entity;
connected_to (connector: $o, connected_entity: $e);
fetch {
  ""officer_name"": $o.name,
  ""entity_name"": $e.name
};"
