source,database,original_index,confidence,check,detail,question,cypher,typeql
synthetic-1,companies,15,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_INVESTOR]->(Organization) but schema says Organization->Person,List the top 3 people who are investors in more than one organization.,"MATCH (p:Person)-[:HAS_INVESTOR]->(o:Organization)
WITH p, count(o) as num_orgs
WHERE num_orgs > 1
RETURN p.name as person, num_orgs as number_of_organizations_invested_in
ORDER BY num_orgs DESC
LIMIT 3","match
  $p isa person;
  $o isa organization;
  (investor: $p, organization: $o) isa invested_in;
reduce $num_orgs = count($o) groupby $p;
match $num_orgs > 1;
sort $num_orgs desc;
limit 3;
fetch { ""person"": $p.name, ""number_of_organizations_invested_in"": $num_orgs };"
synthetic-1,companies,27,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_CEO]->(Organization) but schema says Organization->Person,Find the first 3 people who have the role of CEO in more than one organization.,"MATCH (p:Person)-[:HAS_CEO]->(o:Organization)
WITH p, count(o) as num_ceo_roles
WHERE num_ceo_roles > 1
RETURN p.name as person, num_ceo_roles as number_of_ceo_roles
ORDER BY num_ceo_roles DESC
LIMIT 3","match
  $p isa person, has name $n;
  (organization: $o1, ceo: $p) isa ceo_of;
  (organization: $o2, ceo: $p) isa ceo_of;
  $o1 has organization_id $id1;
  $o2 has organization_id $id2;
  $id1 != $id2;
limit 3;
fetch { ""person"": $n };"
synthetic-1,companies,52,high,cypher_wrong_direction,Cypher has (Organization)-[:HAS_INVESTOR]->(Person) but schema says Person->Organization,Which organizations have an investor named 'David Correa'?,"MATCH (o:Organization)<-[:HAS_INVESTOR]-(p:Person {name: 'David Correa'})
RETURN o.name AS organization","match
  $o isa organization;
  $p isa person, has name ""David Correa"";
  (investor: $p, organization: $o) isa invested_in;
fetch { ""organization"": $o.name };"
synthetic-1,companies,79,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_INVESTOR]->(Organization) but schema says Organization->Person,List the persons who are both investors and board members in the same organization.,"MATCH (p:Person)-[:HAS_INVESTOR]->(o:Organization)<-[:HAS_BOARD_MEMBER]-(p)
RETURN p.name AS person, o.name AS organization","match
  $p isa person;
  $o isa organization;
  (investor: $p, organization: $o) isa invested_in;
(organization: $o, member: $p) isa board_member_of; fetch { ""person"": $p.name, ""organization"": $o.name };"
synthetic-1,companies,79,high,cypher_wrong_direction,Cypher has (Organization)-[:HAS_BOARD_MEMBER]->(Person) but schema says Person->Organization,List the persons who are both investors and board members in the same organization.,"MATCH (p:Person)-[:HAS_INVESTOR]->(o:Organization)<-[:HAS_BOARD_MEMBER]-(p)
RETURN p.name AS person, o.name AS organization","match
  $p isa person;
  $o isa organization;
  (investor: $p, organization: $o) isa invested_in;
(organization: $o, member: $p) isa board_member_of; fetch { ""person"": $p.name, ""organization"": $o.name };"
synthetic-1,companies,90,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_CEO]->(Organization) but schema says Organization->Person,Which CEOs have led an organization for more than 10 years?,"MATCH (p:Person)-[r:HAS_CEO]->(o:Organization)
WHERE duration.between(r.startDate, coalesce(r.endDate, date())).years > 10
RETURN p.name AS ceoName, o.name AS orgName, duration.between(r.startDate, coalesce(r.endDate, date())).years AS yearsAsCEO","match
  $p isa person;
  $o isa organization;
(organization: $o, ceo: $p) isa ceo_of; fetch { ""ceoName"": $p.name, ""orgName"": $o.name };"
synthetic-1,companies,134,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_INVESTOR]->(Organization) but schema says Organization->Person,What are the names of the first 3 people who are investors in organizations based in 'Seattle'?,"MATCH (p:Person)-[:HAS_INVESTOR]->(o:Organization)-[:IN_CITY]->(:City {name: 'Seattle'})
RETURN p.name
LIMIT 3","match
  $p isa person;
  $o isa organization;
  (investor: $p, organization: $o) isa invested_in;
  $city isa city, has city_name ""Seattle""; (organization: $o, city: $city) isa located_in;
limit 3;
fetch { ""name"": $p.name };"
synthetic-1,companies,159,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_BOARD_MEMBER]->(Organization) but schema says Organization->Person,Which organizations have CEOs who are also board members of other organizations?,"MATCH (o1:Organization)-[:HAS_CEO]->(p:Person)
WHERE EXISTS {
  (p)-[:HAS_BOARD_MEMBER]->(o2:Organization)
  WHERE o1 <> o2
}
RETURN o1.name AS organization, p.name AS ceo_and_board_member","match
  $o1 isa organization;
  $o2 isa organization;
  $p isa person;
  ceo_of (organization: $o1, ceo: $p);
  board_member_of (organization: $o2, member: $p);
  not { $o1 is $o2; };
fetch { ""organization"": $o1.name, ""ceo_and_board_member"": $p.name };"
synthetic-1,companies,249,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_INVESTOR]->(Organization) but schema says Organization->Person,List three persons who are both investors and board members in any organization.,"MATCH (p:Person)-[:HAS_INVESTOR]->(o:Organization)<-[:HAS_BOARD_MEMBER]-(p)
RETURN p.name AS person, o.name AS organization
LIMIT 3","match
  $p isa person;
  $o isa organization;
  (investor: $p, organization: $o) isa invested_in;
(organization: $o, member: $p) isa board_member_of; limit 3;
fetch { ""person"": $p.name, ""organization"": $o.name };"
synthetic-1,companies,249,high,cypher_wrong_direction,Cypher has (Organization)-[:HAS_BOARD_MEMBER]->(Person) but schema says Person->Organization,List three persons who are both investors and board members in any organization.,"MATCH (p:Person)-[:HAS_INVESTOR]->(o:Organization)<-[:HAS_BOARD_MEMBER]-(p)
RETURN p.name AS person, o.name AS organization
LIMIT 3","match
  $p isa person;
  $o isa organization;
  (investor: $p, organization: $o) isa invested_in;
(organization: $o, member: $p) isa board_member_of; limit 3;
fetch { ""person"": $p.name, ""organization"": $o.name };"
synthetic-1,companies,272,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_INVESTOR]->(Organization) but schema says Organization->Person,Who are the investors of organizations that have been dissolved?,"MATCH (p:Person)-[:HAS_INVESTOR]->(o:Organization)
WHERE o.isDissolved IS NOT NULL AND o.isDissolved = true
RETURN p.name AS investor, o.name AS dissolved_organization","match
  $p isa person;
  $o isa organization;
  (investor: $p, organization: $o) isa invested_in;
  $o has is_dissolved $o_is_dissolved;
  $o has is_dissolved true;
fetch { ""investor"": $p.name, ""dissolved_organization"": $o.name };"
synthetic-1,companies,286,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_INVESTOR]->(Organization) but schema says Organization->Person,Who are the top 3 investors in terms of the number of organizations they invest in?,"MATCH (i:Person)-[:HAS_INVESTOR]->(o:Organization)
WITH i, count(o) as num_investments
ORDER BY num_investments DESC
LIMIT 3
RETURN i.name as investor, num_investments","match
  $i isa person;
  $o isa organization;
  (investor: $i, organization: $o) isa invested_in;
reduce $num_investments = count($o) groupby $i;
sort $num_investments desc;
limit 3;
fetch { ""investor"": $i.name, ""num_investments"": $num_investments };"
synthetic-1,companies,333,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_INVESTOR]->(Organization) but schema says Organization->Person,Which 3 people are mentioned as investors in multiple organizations?,"MATCH (p:Person)-[:HAS_INVESTOR]->(o:Organization)
WITH p, count(o) as num_orgs_invested
WHERE num_orgs_invested > 1
RETURN p.name as person, num_orgs_invested as number_of_organizations_invested_in
ORDER BY num_orgs_invested DESC
LIMIT 3","match
  $p isa person;
  $o isa organization;
  (investor: $p, organization: $o) isa invested_in;
reduce $num_orgs_invested = count($o) groupby $p;
match $num_orgs_invested > 1;
sort $num_orgs_invested desc;
limit 3;
fetch { ""person"": $p.name, ""number_of_organizations_invested_in"": $num_orgs_invested };"
synthetic-1,companies,336,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_BOARD_MEMBER]->(Organization) but schema says Organization->Person,What are the names of 3 organizations that have a CEO who was previously a board member of a competitor?,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)
WHERE EXISTS {
  (ceo)-[:HAS_BOARD_MEMBER]->(competitor:Organization)<-[:HAS_COMPETITOR]-(o)
}
RETURN o.name
LIMIT 3","match
  $o isa organization;
  ceo_of (organization: $o, ceo: $ceo);
  $competitor isa organization;
  competes_with (competitor: $o, competitor: $competitor);
  board_member_of (organization: $competitor, member: $ceo);
limit 3;
fetch { ""name"": $o.name };"
synthetic-1,companies,401,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_BOARD_MEMBER]->(Organization) but schema says Organization->Person,Name persons who are board members of more than three organizations.,"MATCH (p:Person)-[:HAS_BOARD_MEMBER]->(o:Organization)
WITH p, count(o) as num_orgs
WHERE num_orgs > 3
RETURN p.name as person_name, num_orgs as number_of_organizations","match
  $p isa person, has name $pn;
  $o1 isa organization;
  $o2 isa organization;
  $o3 isa organization;
  $o4 isa organization;
  (organization: $o1, member: $p) isa board_member_of;
  (organization: $o2, member: $p) isa board_member_of;
  (organization: $o3, member: $p) isa board_member_of;
  (organization: $o4, member: $p) isa board_member_of;
  $o1 has organization_id $id1;
  $o2 has organization_id $id2;
  $o3 has organization_id $id3;
  $o4 has organization_id $id4;
  $id1 != $id2;
  $"
synthetic-1,companies,428,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_INVESTOR]->(Organization) but schema says Organization->Person,Which persons are investors in organizations that have a revenue over 100 million?,"MATCH (p:Person)-[:HAS_INVESTOR]->(o:Organization) WHERE o.revenue > 1E8 RETURN p.name AS investor, o.name AS organization, o.revenue AS revenue","match
  $o isa organization;
  $investor isa person;
  (organization: $o, investor: $investor) isa invested_in;
  $o has revenue $o_revenue;
  $o_revenue > 100000000;
fetch { ""investor"": $investor.name, ""organization"": $o.name, ""revenue"": $o.revenue };"
synthetic-1,companies,450,high,cypher_wrong_direction,Cypher has (Person)-[:HAS_INVESTOR]->(Organization) but schema says Organization->Person,Which organizations have a CEO who is also an investor in other organizations?,"MATCH (ceo:Person)<-[:HAS_CEO]-(org:Organization)-[:HAS_INVESTOR]->(investedOrg:Organization) WHERE (ceo)-[:HAS_INVESTOR]->(investedOrg) RETURN org.name AS organization, ceo.name AS ceo, investedOrg.name AS investedOrganization","match $ceo isa person; $org isa organization; $investedOrg isa organization; (organization: $org, ceo: $ceo) isa ceo_of; (organization: $org, investor: $ceo) isa invested_in; fetch { ""organization"": $org.name, ""ceo"": $ceo.name, ""investedOrganization"": $investedOrg.name };"
synthetic-1,companies,453,high,cypher_wrong_direction,Cypher has (Organization)-[:HAS_BOARD_MEMBER]->(Person) but schema says Person->Organization,Name the organizations with the most board members who are also CEOs of other organizations.,"MATCH (o:Organization)<-[:HAS_BOARD_MEMBER]-(boardMember:Person)
WHERE EXISTS {
  (boardMember)-[:HAS_CEO]->(:Organization)
}
WITH o, count(boardMember) AS boardMemberCEOCount
RETURN o.name AS organization, boardMemberCEOCount
ORDER BY boardMemberCEOCount DESC
LIMIT 10","match
  $o isa organization;
  $bm isa person;
  $other isa organization;
  board_member_of (organization: $o, member: $bm);
  ceo_of (organization: $other, ceo: $bm);
  not { $o is $other; };
reduce $count = count($bm) groupby $o;
sort $count desc;
limit 10;
fetch { ""organization"": $o.name, ""boardMemberCEOCount"": $count };"
