original_index,question,cypher,error
66,What are the names of the top 3 orders with a freight cost greater than 100?,"MATCH (o:Order)
WHERE toFloat(o.freight) > 100
RETURN o.shipName, toFloat(o.freight)
ORDER BY toFloat(o.freight) DESC
LIMIT 3",TypeQL does not support string-to-numeric conversion. The freight attribute is string type but the query requires numeric comparison (toFloat). Lexicographic string comparison would give incorrect results.
78,What are the names of the top 3 suppliers based on the average freight of orders they supplied?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:Order)
WITH s, o.freight AS freight
WHERE freight IS NOT NULL
WITH s, avg(toFloat(freight)) AS avgFreight
ORDER BY avgFreight DESC
LIMIT 3
RETURN s.companyName AS supplierName, avgFreight",Schema has freight as string type; TypeQL has no toFloat() conversion function to enable mean() aggregation on string values
98,List the first 3 customers who have placed orders totaling over $1000 in freight costs.,"MATCH (c:Customer)-[:PURCHASED]->(o:Order)
WHERE toFloat(o.freight) > 1000
RETURN c.companyName, c.contactName, c.contactTitle, c.phone, c.address, c.city, c.country
ORDER BY o.orderDate
LIMIT 3","Cannot convert string to numeric for comparison. Schema stores freight as string type, Cypher uses toFloat() for numeric comparison. TypeQL has no string-to-number conversion function."
145,List the first 3 orders shipped to Berlin with a freight cost over $100.,"MATCH (o:Order)-[:ORDERS]->(p:Product)
WHERE o.shipCity = 'Berlin' AND toFloat(o.freight) > 100
RETURN o.orderID, o.shipName, o.shipAddress, o.shipCity, o.shipPostalCode, o.shipCountry, o.freight
ORDER BY o.orderDate
LIMIT 3",Cannot convert - freight attribute is type string in schema but query requires numeric comparison (toFloat conversion). TypeQL cannot cast string to number.
148,What are the top 5 customers based on the total freight costs of their orders?,"MATCH (c:Customer)-[:PURCHASED]->(o:Order)
WITH c, SUM(toFloat(o.freight)) AS totalFreight
ORDER BY totalFreight DESC
LIMIT 5
RETURN c.companyName AS customerName, totalFreight","Unsupported: freight attribute is stored as string type, TypeQL cannot convert string to number for SUM aggregation (toFloat equivalent not supported)"
161,List the first 3 orders with a required date before '1997-06-01' and a freight cost over $200.,"MATCH (o:Order)
WHERE o.requiredDate < '1997-06-01' AND toFloat(o.freight) > 200
RETURN o.orderID, o.requiredDate, o.freight
ORDER BY o.requiredDate
LIMIT 3",Schema has freight as string type but query requires numeric comparison (toFloat). TypeQL has no string-to-number conversion function.
167,Find all orders shipped to 'Reims' with a freight cost less than $50.,"MATCH (o:Order)
WHERE o.shipCity = 'Reims' AND toFloat(o.freight) < 50
RETURN o.orderID, o.shipName, o.requiredDate, o.shipCity, o.shipPostalCode, o.shippedDate, o.freight, o.orderDate, o.shipAddress, o.customerID, o.shipCountry, o.shipVia, o.shipRegion",TypeQL cannot convert string to numeric at runtime - freight is stored as string but Cypher uses toFloat() for numeric comparison
176,Find all orders shipped to 'France' with a freight cost more than 50.,"MATCH (o:Order)-[:ORDERS]->(p:Product)
WHERE o.shipCountry = 'France' AND toFloat(o.freight) > 50
RETURN o.orderID, o.shipName, o.shipCity, o.shipPostalCode, o.shipAddress, o.shipCountry, o.freight",freight attribute is string type; TypeQL cannot cast strings to numbers for numeric comparison (Cypher uses toFloat())
261,List the top 5 customers by total freight charges.,"MATCH (c:Customer)-[:PURCHASED]->(o:Order)
WITH c, SUM(toFloat(o.freight)) AS totalFreight
ORDER BY totalFreight DESC
LIMIT 5
RETURN c.companyName AS customerName, totalFreight",TypeQL cannot sum string attributes - freight is defined as string type and TypeQL has no toFloat() type casting function
262,Which 3 products are most frequently ordered together?,"MATCH (o:Order)-[r:ORDERS]->(p:Product)
WITH o, collect(p.productID) AS products
UNWIND products AS product1
UNWIND products AS product2
WITH product1, product2, count(*) AS frequency
WHERE product1 < product2
RETURN product1, product2, frequency
ORDER BY frequency DESC
LIMIT 3",Unsupported: collect() and UNWIND for array operations - TypeQL has no array aggregation
269,What are the first 3 orders with the highest freight charges?,"MATCH (o:Order)
RETURN o.orderID, o.freight
ORDER BY toFloat(o.freight) DESC
LIMIT 3","Unsupported: toFloat() conversion - freight is stored as string in schema, TypeQL cannot convert string to number for numeric sorting"
308,Who are the customers with orders that have a 'freight' cost above 100?,"MATCH (c:Customer)-[:PURCHASED]->(o:Order)
WHERE toFloat(o.freight) > 100
RETURN c.companyName AS customerName, c.contactName AS contactName, c.contactTitle AS contactTitle, o.orderID AS orderID, o.freight AS freightCost",TypeQL does not support string-to-number conversion (toFloat). Schema has freight as string type.
322,List all orders with a freight cost less than 10.,"MATCH (o:Order)
WHERE toFloat(o.freight) < 10
RETURN o.orderID AS orderID, o.shipName AS shipName, o.requiredDate AS requiredDate, o.shipCity AS shipCity, 
       o.shipPostalCode AS shipPostalCode, o.shippedDate AS shippedDate, o.freight AS freight, 
       o.orderDate AS orderDate, o.shipAddress AS shipAddress, o.customerID AS customerID, 
       o.shipCountry AS shipCountry, o.shipVia AS shipVia, o.shipRegion AS shipRegion",TypeQL does not support string-to-number casting (toFloat). Schema has freight as string type.
375,List the first 3 orders with a freight cost greater than $100.,"MATCH (o:Order)
WHERE toFloat(o.freight) > 100
RETURN o.orderID, o.freight
ORDER BY toFloat(o.freight) DESC
LIMIT 3",Schema has freight as string but query requires numeric comparison. Cypher uses toFloat() cast which has no TypeQL equivalent. String comparison would give incorrect alphabetical ordering.
399,Which 3 products have the most variations in unit price among orders?,"MATCH (p:Product)<-[:ORDERS]-(o:Order)
WITH p.productID AS productID, p.productName AS productName, o.unitPrice AS unitPrice
ORDER BY productID, unitPrice
WITH productID, productName, COLLECT(unitPrice) AS prices
WITH productID, productName, REDUCE(s = 0, i IN RANGE(1, SIZE(prices) - 1) | s + ABS(TOFLOAT(prices[i]) - TOFLOAT(prices[i-1]))) AS priceVariation
ORDER BY priceVariation DESC
LIMIT 3
RETURN productName, priceVariation","Unsupported: COLLECT(), REDUCE with RANGE, SIZE(), and array indexing [i] for computing cumulative price variation"
402,Which orders were placed before '1997-01-01' and have a freight greater than 100?,"MATCH (o:Order)
WHERE o.orderDate < '1997-01-01' AND toFloat(o.freight) > 100
RETURN o.orderID, o.orderDate, o.freight",TypeQL cannot cast string attributes to numbers. Schema defines freight as string type but query requires numeric comparison via toFloat().
470,List the first 3 orders made by 'Alfreds Futterkiste' with a freight cost greater than 10.,"MATCH (c:Customer {companyName: 'Alfreds Futterkiste'})-[:PURCHASED]->(o:Order)
WHERE toFloat(o.freight) > 10
RETURN o.orderID, o.orderDate, o.freight
ORDER BY o.orderDate
LIMIT 3",Unsupported: toFloat() type conversion. Schema stores freight as string but query requires numeric comparison. TypeQL cannot convert string to number at runtime.
515,What are the top 5 customers based on the total freight cost of their orders?,"MATCH (c:Customer)-[:PURCHASED]->(o:Order)
WITH c, SUM(toFloat(o.freight)) AS totalFreight
ORDER BY totalFreight DESC
LIMIT 5
RETURN c.companyName AS customerName, totalFreight",TypeQL does not support string-to-numeric type conversion (toFloat). Schema defines freight as string but sum() requires numeric type.
520,List the first 3 orders where the freight cost was less than $15.,"MATCH (o:Order)
WHERE toFloat(o.freight) < 15
RETURN o.orderID, o.freight, o.orderDate
ORDER BY o.orderDate
LIMIT 3","TypeQL does not support runtime type conversion. Cypher uses toFloat() to convert string freight to number for comparison, but TypeQL has no equivalent - string comparison would be lexicographic, not numeric."
522,List the top 5 suppliers based on the average freight cost of orders for their products.,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:Order)
WITH s, o.freight AS freight
WHERE freight IS NOT NULL
RETURN s.companyName AS supplier, AVG(toFloat(freight)) AS avgFreightCost
ORDER BY avgFreightCost DESC
LIMIT 5",TypeQL cannot convert string to numeric for aggregation. Schema defines freight as string type but query requires AVG(toFloat(freight)). No type casting available in TypeQL.
634,List the first 5 products that were part of an order with a 'freight' cost over $250.,"MATCH (o:Order)-[:ORDERS]->(p:Product)
WHERE toFloat(o.freight) > 250
RETURN p.productName AS productName, o.freight AS freight
LIMIT 5",Unsupported: freight is stored as string but query requires numeric comparison (toFloat). TypeQL has no string-to-number conversion function.
637,List the first 3 orders that were placed in 1997 and required a freight charge over $25.,"MATCH (o:Order)
WHERE o.orderDate STARTS WITH '1997' AND toFloat(o.freight) > 25
RETURN o.orderID, o.orderDate, o.freight
ORDER BY o.orderDate
LIMIT 3",Unsupported: toFloat() string-to-number conversion. TypeQL cannot convert string freight attribute to numeric for comparison.
672,Which orders have a required date in 1998 and a freight cost less than $5?,"MATCH (o:Order)
WHERE o.requiredDate STARTS WITH '1998' AND toFloat(o.freight) < 5
RETURN o.orderID, o.requiredDate, o.freight","Unsupported: toFloat() type conversion - freight attribute is string type in schema, TypeQL has no string-to-number conversion function for numeric comparison"
689,Who are the employees that processed orders for 'Rattlesnake Canyon Grocery'?,"MATCH (c:Customer {companyName: 'Rattlesnake Canyon Grocery'})-[:PURCHASED]->(o:Order)
MATCH (e:Employee)-[:PROCESSED]->(o)
RETURN DISTINCT e.employeeID, e.contactName, e.contactTitle",Schema mismatch: No employee entity or processed relation in schema. Order has employee_id attribute but no employee entity to return contactName/contactTitle from.
718,What are the details of orders that have a freight cost more than $50?,"MATCH (o:Order)
WHERE toFloat(o.freight) > 50
RETURN o.orderID AS orderID, o.shipName AS shipName, o.requiredDate AS requiredDate, 
       o.shipCity AS shipCity, o.employeeID AS employeeID, o.shipPostalCode AS shipPostalCode, 
       o.shippedDate AS shippedDate, o.freight AS freight, o.orderDate AS orderDate, 
       o.shipAddress AS shipAddress, o.customerID AS customerID, o.shipCountry AS shipCountry, 
       o.shipVia AS shipVia, o.shipRegion AS shipRegion","TypeQL cannot cast string to numeric for comparison. Schema defines freight as string, but query requires toFloat() conversion for numeric comparison > 50."
767,List the top 5 customers based on the total freight charges of their orders.,"MATCH (c:Customer)-[:PURCHASED]->(o:Order)
WITH c, SUM(toFloat(o.freight)) AS totalFreight
ORDER BY totalFreight DESC
LIMIT 5
RETURN c.companyName AS customerName, totalFreight",Unsupported: freight attribute is string type and TypeQL has no toFloat() or type casting function to convert string to numeric for sum() aggregation
789,Find the top 5 orders with the highest freight charges.,"MATCH (o:Order)
RETURN o.orderID, o.freight
ORDER BY toFloat(o.freight) DESC
LIMIT 5",TypeQL does not support string-to-numeric conversion. The freight attribute is string type but Cypher uses toFloat() for numeric sorting.
