original_index,question,cypher,typeql
0,What are the names of businesses located in Missoula?,"MATCH (b:Business)
WHERE b.city = 'Missoula'
RETURN b.name","match
$b isa business, has city ""Missoula"";
fetch {
  ""name"": $b.name
};"
1,How many businesses in 'San Mateo' have been reviewed in September of any year?,"MATCH (b:Business {city: 'San Mateo'})<-[:REVIEWS]-(r:Review)
WHERE r.date STARTS WITH '2015-09' OR r.date STARTS WITH '2016-09' OR r.date STARTS WITH '2017-09' OR r.date STARTS WITH '2018-09'
RETURN COUNT(DISTINCT b) AS numberOfBusinesses","match
$b isa business, has city ""San Mateo"";
$r isa review, has date $d;
reviews (review: $r, reviewed_business: $b);
{
  $d >= 2015-09-01T00:00:00; $d < 2015-10-01T00:00:00;
} or {
  $d >= 2016-09-01T00:00:00; $d < 2016-10-01T00:00:00;
} or {
  $d >= 2017-09-01T00:00:00; $d < 2017-10-01T00:00:00;
} or {
  $d >= 2018-09-01T00:00:00; $d < 2018-10-01T00:00:00;
};
select $b;
distinct;
reduce $count = count;"
2,Which user has the highest average star rating for their reviews and what businesses have they reviewed?,"// Step 1: Calculate the average star rating for each user
MATCH (u:User)-[:WROTE]->(r:Review)
WITH u, avg(r.stars) AS avgStars
ORDER BY avgStars DESC
LIMIT 1

// Step 2: Find the businesses reviewed by the user with the highest average star rating
MATCH (u)-[:WROTE]->(r:Review)-[:REVIEWS]->(b:Business)
RETURN u.name AS userName, avgStars, collect(b.name) AS reviewedBusinesses","match
$u isa user;
wrote (author: $u, review: $r);
$r has stars $s;
reduce $avg = mean($s) groupby $u;
sort $avg desc;
limit 1;
match
wrote (author: $u, review: $r2);
reviews (review: $r2, reviewed_business: $b);
fetch {
  ""userName"": $u.name,
  ""avgStars"": $avg,
  ""reviewedBusinesses"": [ $b.name ]
};"
3,"List the reviews, including text and stars, for businesses owned by 'Neo4j'.","MATCH (b:Business {name: 'Neo4j'})<-[:REVIEWS]-(r:Review)
RETURN r.text, r.stars","match
$b isa business, has name ""Neo4j"";
$r isa review;
reviews (review: $r, reviewed_business: $b);
fetch {
  ""text"": $r.text,
  ""stars"": $r.stars
};"
4,Which businesses in 'Missoula' have received reviews with less than 4 stars?,"MATCH (b:Business)-[:REVIEWS]-(r:Review)
WHERE b.city = 'Missoula' AND r.stars < 4.0
RETURN b.name AS BusinessName, b.address AS Address, r.stars AS ReviewStars","match
$b isa business, has city ""Missoula"", has name $name, has address $addr;
$r isa review, has stars $s;
reviews (reviewed_business: $b, review: $r);
$s < 4.0;
fetch {
  ""BusinessName"": $name,
  ""Address"": $addr,
  ""ReviewStars"": $s
};"
5,What are the business names and categories for locations on 'Broadway St'?,"MATCH (b:Business)-[:IN_CATEGORY]->(c:Category)
WHERE b.address CONTAINS 'Broadway St'
RETURN b.name AS businessName, c.name AS category","match
  $b isa business, has address $addr, has name $bname;
  $addr like "".*Broadway St.*"";
  $c isa category, has name $cname;
  in_category (business: $b, category: $c);
fetch {
  ""businessName"": $bname,
  ""category"": $cname
};"
6,Identify all users who have reviewed businesses on 'E Front St' and the names of those businesses.,"MATCH (u:User)-[:WROTE]->(r:Review)-[:REVIEWS]->(b:Business)
WHERE b.address CONTAINS 'E Front St'
RETURN u.name AS userName, b.name AS businessName","match
$u isa user;
$r isa review;
$b isa business, has address $addr;
$addr like "".*E Front St.*"";
wrote (author: $u, review: $r);
reviews (review: $r, reviewed_business: $b);
fetch {
  ""userName"": $u.name,
  ""businessName"": $b.name
};"
7,Which categories include businesses that have been reviewed by 'Angie'?,"MATCH (u:User {name: 'Angie'})-[:WROTE]->(r:Review)-[:REVIEWS]->(b:Business)-[:IN_CATEGORY]->(c:Category)
RETURN DISTINCT c.name AS Category","match
$u isa user, has name ""Angie"";
wrote (author: $u, review: $r);
reviews (review: $r, reviewed_business: $b);
in_category (business: $b, category: $c);
$c has name $cat_name;
select $cat_name;
distinct;
fetch { ""Category"": $cat_name };"
8,List all businesses with a review dated before 2016 and their corresponding review text.,"MATCH (b:Business)<-[:REVIEWS]-(r:Review)
WHERE r.date < date('2016-01-01')
RETURN b.name AS businessName, r.text AS reviewText","match
$b isa business;
$r isa review, has date $d, has text $rt;
reviews (reviewed_business: $b, review: $r);
$d < 2016-01-01T00:00:00;
fetch {
  ""businessName"": $b.name,
  ""reviewText"": $rt
};"
9,How many different users have reviewed 'KettleHouse Brewing Co.'?,"MATCH (b:Business {name: 'KettleHouse Brewing Co.'})&lt;-[:REVIEWS]-(r:Review)&lt;-[:WROTE]-(u:User)
RETURN COUNT(DISTINCT u.userId) AS numberOfUsers","match
$b isa business, has name ""KettleHouse Brewing Co."";
$r isa review;
reviews (review: $r, reviewed_business: $b);
wrote (author: $u, review: $r);
$u isa user;
reduce $count = count($u);"
