original_index,question,cypher,typeql
0,What are the screen names of the top 3 users who have posted the most tweets?,"MATCH (u:User)-[:POSTS]->(t:Tweet)
WITH u, COUNT(t) AS tweet_count
ORDER BY tweet_count DESC
LIMIT 3
RETURN u.screen_name AS screen_name","match
$u isa user;
$t isa tweet;
posts (author: $u, content: $t);
reduce $tweet_count = count($t) groupby $u;
sort $tweet_count desc;
limit 3;
fetch { ""screen_name"": $u.screen_name };"
1,Who are the top 5 most followed users that 'Neo4j' amplifies?,"MATCH (me:Me {screen_name: 'neo4j'})-[:AMPLIFIES]->(user:User)
RETURN user.name, user.followers
ORDER BY user.followers DESC
LIMIT 5","match
$me isa me, has screen_name ""neo4j"";
$user isa user;
amplifies (amplifier: $me, amplified_user: $user);
$user has followers $followers;
sort $followers desc;
limit 5;
fetch {
  ""name"": $user.name,
  ""followers"": $followers
};"
2,List the top 3 users with the lowest following counts who follow 'Neo4j'.,"MATCH (u:User)-[:FOLLOWS]->(m:Me {screen_name: 'neo4j'})
RETURN u.name, u.screen_name, u.following
ORDER BY u.following ASC
LIMIT 3","match
$u isa user, has following $f;
$m isa me, has screen_name ""neo4j"";
follows (follower: $u, followed: $m);
sort $f asc;
limit 3;
fetch {
  ""name"": $u.name,
  ""screen_name"": $u.screen_name,
  ""following"": $f
};"
3,Which hashtags have been tagged in tweets that have more than 200 favorites? List the top 3.,"MATCH (t:Tweet)-[:TAGS]->(h:Hashtag)
WHERE t.favorites > 200
RETURN h.name AS hashtag, COUNT(*) AS tag_count
ORDER BY tag_count DESC
LIMIT 3","match
$t isa tweet, has favorites $f;
$f > 200;
$h isa hashtag;
tags (tagged_tweet: $t, tag: $h);
reduce $count = count($t) groupby $h;
sort $count desc;
limit 3;
fetch { ""hashtag"": $h.hashtag_name, ""tag_count"": $count };"
4,Find the top 5 tweets with links and sort them by number of favorites.,"MATCH (t:Tweet)-[:CONTAINS]->(l:Link)
RETURN t.text AS tweet_text, t.favorites AS favorites, l.url AS link_url
ORDER BY t.favorites DESC
LIMIT 5","match
$t isa tweet, has favorites $fav;
$l isa link;
contains (containing_tweet: $t, contained_link: $l);
sort $fav desc;
limit 5;
fetch {
  ""tweet_text"": $t.text,
  ""favorites"": $fav,
  ""link_url"": $l.link_url
};"
5,What are the names of the top 3 hashtags used in tweets by 'Neo4j'?,"MATCH (u:User {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)-[:TAGS]->(h:Hashtag)
RETURN h.name AS hashtag, COUNT(*) AS usage_count
ORDER BY usage_count DESC
LIMIT 3","match
$u isa user, has screen_name ""neo4j"";
posts (author: $u, content: $t);
tags (tagged_tweet: $t, tag: $h);
reduce $usage_count = count($t) groupby $h;
sort $usage_count desc;
limit 3;
fetch {
  ""hashtag"": $h.hashtag_name,
  ""usage_count"": $usage_count
};"
6,What are the locations of the top 5 users by number of statuses posted?,"MATCH (u:User)-[:POSTS]->(t:Tweet)
WITH u, COUNT(t) AS num_statuses
ORDER BY num_statuses DESC
LIMIT 5
RETURN u.location AS location, num_statuses","match
$u isa user, has location $loc;
posts (author: $u, content: $t);
$t isa tweet;
reduce $num_statuses = count($t) groupby $u, $loc;
sort $num_statuses desc;
limit 5;
fetch {
  ""location"": $loc,
  ""num_statuses"": $num_statuses
};"
7,List the top 3 tweets that mention 'Neo4j' and have more than 100 favorites.,"MATCH (u:User {screen_name: 'neo4j'})<-[:MENTIONS]-(t:Tweet)
WHERE t.favorites > 100
RETURN t.text, t.favorites, t.created_at
ORDER BY t.favorites DESC
LIMIT 3","match
$u isa user, has screen_name ""neo4j"";
$t isa tweet, has favorites $f;
mentions (source_tweet: $t, mentioned_user: $u);
$f > 100;
sort $f desc;
limit 3;
fetch {
  ""text"": $t.text,
  ""favorites"": $f,
  ""created_at"": $t.created_at
};"
8,Which sources are used in the top 5 most favorited tweets?,"MATCH (t:Tweet)-[:USING]->(s:Source)
WITH t, s
ORDER BY t.favorites DESC
LIMIT 5
RETURN s.name AS source_name, t.favorites AS favorites","match
$t isa tweet, has favorites $f;
using (tweet_content: $t, platform: $s);
$s isa source;
sort $f desc;
limit 5;
fetch {
  ""source_name"": $s.source_name,
  ""favorites"": $f
};"
9,List the profile image URLs of the top 3 users who have mentioned 'Neo4j' in their tweets.,"MATCH (u:User)-[:POSTS]->(t:Tweet)-[:MENTIONS]->(m:Me {screen_name: 'neo4j'})
RETURN u.profile_image_url
ORDER BY t.created_at DESC
LIMIT 3","match
$u isa user, has profile_image_url $piu;
$m isa me, has screen_name ""neo4j"";
posts (author: $u, content: $t);
mentions (source_tweet: $t, mentioned_user: $m);
$t has created_at $ca;
sort $ca desc;
limit 3;
fetch {
  ""profile_image_url"": $piu
};"
10,Who are the top 3 users that 'Neo4j' interacts with most frequently?,"MATCH (me:Me {screen_name: 'neo4j'})-[:INTERACTS_WITH]->(user:User)
RETURN user.name AS userName, COUNT(*) AS interactionCount
ORDER BY interactionCount DESC
LIMIT 3","match
$me isa me, has screen_name ""neo4j"";
$rel isa interacts_with (interactor: $me, target: $user);
reduce $count = count($rel) groupby $user;
sort $count desc;
limit 3;
fetch { ""userName"": $user.name, ""interactionCount"": $count };"
11,Who has 'Neo4j' retweeted the most? List the top 3 users.,"MATCH (me:Me {screen_name: 'neo4j'})-[:POSTS]->(tweet:Tweet)-[:RETWEETS]->(retweet:Tweet)-[:POSTS]->(user:User)
RETURN user.screen_name AS user, COUNT(retweet) AS retweet_count
ORDER BY retweet_count DESC
LIMIT 3","match
$me isa me, has screen_name ""neo4j"";
posts (author: $me, content: $tweet);
retweets (retweeting_tweet: $tweet, original_tweet: $retweet);
posts (author: $user, content: $retweet);
reduce $retweet_count = count($retweet) groupby $user;
sort $retweet_count desc;
limit 3;
fetch { ""user"": $user.screen_name, ""retweet_count"": $retweet_count };"
12,What are the URLs of the top 3 most favorited tweets containing links?,"MATCH (t:Tweet)-[:CONTAINS]->(:Link)
WITH t
ORDER BY t.favorites DESC
LIMIT 3
RETURN t.url","match
$t isa tweet, has favorites $f;
contains (containing_tweet: $t, contained_link: $l);
sort $f desc;
limit 3;
fetch {
  ""url"": $l.link_url
};"
13,What are the top 3 hashtags used in the tweets that have been retweeted by 'Neo4j'?,"MATCH (me:Me {screen_name: 'neo4j'})-[:POSTS]->(tweet:Tweet)-[:RETWEETS]->(retweetedTweet:Tweet)-[:TAGS]->(hashtag:Hashtag)
WITH hashtag, COUNT(*) as usageCount
ORDER BY usageCount DESC
LIMIT 3
RETURN hashtag.name AS hashtag, usageCount","match
$me isa me, has screen_name ""neo4j"";
posts (author: $me, content: $tweet);
retweets (retweeting_tweet: $tweet, original_tweet: $rt);
tags (tagged_tweet: $rt, tag: $hashtag);
$hashtag has hashtag_name $hn;
reduce $count = count groupby $hashtag, $hn;
sort $count desc;
limit 3;
fetch { ""hashtag"": $hn, ""count"": $count };"
14,List the names of the top 5 tweets that reply to another tweet and have more than 50 favorites.,"MATCH (t:Tweet)-[:REPLY_TO]->(:Tweet)
WHERE t.favorites > 50
RETURN t.text AS tweet_text
ORDER BY t.favorites DESC
LIMIT 5","match
$t isa tweet, has favorites $f, has text $text;
reply_to (replying_tweet: $t, original_tweet: $other);
$other isa tweet;
$f > 50;
sort $f desc;
limit 5;
fetch {
  ""tweet_text"": $text
};"
15,What are the top 3 locations where users who interact with 'Neo4j' are based?,"MATCH (me:Me {screen_name: 'neo4j'})-[:INTERACTS_WITH]->(user:User)
RETURN user.location AS location, COUNT(*) AS interaction_count
ORDER BY interaction_count DESC
LIMIT 3","match
$me isa me, has screen_name ""neo4j"";
interacts_with (interactor: $me, target: $user);
$user has location $loc;
reduce $count = count($user) groupby $loc;
sort $count desc;
limit 3;
fetch { ""location"": $loc, ""interaction_count"": $count };"
16,Which users followed by 'Neo4j' have posted the most about a specific hashtag? List the top 3.,"MATCH (me:Me {screen_name: 'neo4j'})-[:FOLLOWS]->(user:User)-[:POSTS]->(tweet:Tweet)-[:TAGS]->(hashtag:Hashtag)
WHERE hashtag.name = $specificHashtag
WITH user, COUNT(tweet) AS tweetCount
ORDER BY tweetCount DESC
LIMIT 3
RETURN user.screen_name AS userName, tweetCount","match
$me isa me, has screen_name ""neo4j"";
follows (follower: $me, followed: $user);
posts (author: $user, content: $tweet);
tags (tagged_tweet: $tweet, tag: $hashtag);
$hashtag has hashtag_name ""specificHashtag"";
reduce $tweet_count = count($tweet) groupby $user;
sort $tweet_count desc;
limit 3;
fetch { ""userName"": $user.screen_name, ""tweetCount"": $tweet_count };"
17,Find the top 5 tweets by 'Neo4j' using a specific source.,"MATCH (u:User {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)-[:USING]->(s:Source)
WHERE s.name = 'Buffer'
RETURN t.text, t.created_at, t.favorites
ORDER BY t.favorites DESC
LIMIT 5","match
$u isa user, has screen_name ""neo4j"";
posts (author: $u, content: $t);
using (tweet_content: $t, platform: $s);
$s isa source, has source_name ""Buffer"";
$t has favorites $f;
sort $f desc;
limit 5;
fetch {
  ""text"": $t.text,
  ""created_at"": $t.created_at,
  ""favorites"": $f
};"
18,Find the top 5 users with the highest betweenness centrality.,"MATCH (u:User)
RETURN u.screen_name, u.betweenness
ORDER BY u.betweenness DESC
LIMIT 5","match
$u isa user, has betweenness $b;
sort $b desc;
limit 5;
fetch {
  ""screen_name"": $u.screen_name,
  ""betweenness"": $b
};"
19,List the top 3 tweets from 'Neo4j' that have been retweeted more than 100 times.,"MATCH (u:User {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)
WHERE t.favorites > 100
RETURN t.text, t.favorites
ORDER BY t.favorites DESC
LIMIT 3","match
$u isa user, has screen_name ""neo4j"";
posts (author: $u, content: $t);
retweets (original_tweet: $t, retweeting_tweet: $rt);
reduce $count = count($rt) groupby $t;
match $count > 100;
sort $count desc;
limit 3;
fetch { ""text"": $t.text, ""retweet_count"": $count };"
20,Which users have 'Neo4j' mentioned the most in tweets? List the top 3.,"MATCH (u:User)-[:POSTS]->(t:Tweet)-[:MENTIONS]->(m:Me {screen_name: 'neo4j'})
WITH u, COUNT(t) AS mention_count
ORDER BY mention_count DESC
LIMIT 3
RETURN u.screen_name AS user, mention_count","match
$u isa user, has screen_name $sn;
$m isa me, has screen_name ""neo4j"";
$t isa tweet;
posts (author: $u, content: $t);
mentions (source_tweet: $t, mentioned_user: $m);
reduce $count = count($t) groupby $u, $sn;
sort $count desc;
limit 3;
fetch { ""user"": $sn, ""mention_count"": $count };"
21,Find the top 5 users who follow 'Neo4j' and are from the same location as 'Neo4j'.,"MATCH (me:Me {screen_name: 'neo4j'})-[:FOLLOWS]->(user:User)
WHERE user.location = me.location
RETURN user.screen_name, user.followers
ORDER BY user.followers DESC
LIMIT 5","match
$me isa me, has screen_name ""neo4j"", has location $loc;
$user isa user, has screen_name $sn, has followers $f;
$user has location $loc;
follows (follower: $me, followed: $user);
sort $f desc;
limit 5;
fetch {
  ""screen_name"": $sn,
  ""followers"": $f
};"
22,What are the URL profiles of the top 3 users who have retweeted 'Neo4j's tweets?,"MATCH (me:Me {screen_name: 'neo4j'})-[:POSTS]->(tweet:Tweet)<-[:RETWEETS]-(user:User)
RETURN user.profile_image_url
ORDER BY user.followers DESC
LIMIT 3","match
$me isa me, has screen_name ""neo4j"";
posts (author: $me, content: $tweet);
retweets (original_tweet: $tweet, retweeting_tweet: $rt);
posts (author: $user, content: $rt);
$user has followers $f;
sort $f desc;
limit 3;
fetch {
  ""profile_image_url"": $user.profile_image_url
};"
24,Who are the top 3 users that 'Neo4j' follows and have tweeted more than 500 times?,"MATCH (me:Me {screen_name: 'neo4j'})-[:FOLLOWS]->(user:User)-[:POSTS]->(tweet:Tweet)
WITH user, COUNT(tweet) AS tweet_count
WHERE tweet_count > 500
RETURN user.screen_name, tweet_count
ORDER BY tweet_count DESC
LIMIT 3","match
$me isa me, has screen_name ""neo4j"";
follows (follower: $me, followed: $user);
$tweet isa tweet;
posts (author: $user, content: $tweet);
reduce $tweet_count = count($tweet) groupby $user;
match $tweet_count > 500;
sort $tweet_count desc;
limit 3;
fetch { ""screen_name"": $user.screen_name, ""tweet_count"": $tweet_count };"
25,Who are the top 5 users that a specific user named 'Neo4j' follows?,"MATCH (me:Me {name: 'Neo4j'})-[:FOLLOWS]->(user:User)
RETURN user.name, user.screen_name, user.followers, user.following
ORDER BY user.followers DESC
LIMIT 5","match
$me isa me, has name ""Neo4j"";
follows (follower: $me, followed: $user);
$user has followers $f;
sort $f desc;
limit 5;
fetch {
  ""name"": $user.name,
  ""screen_name"": $user.screen_name,
  ""followers"": $f,
  ""following"": $user.following
};"
26,List the first 3 users followed by a user with the screen name 'thobe'.,"MATCH (u:User {screen_name: 'thobe'})-[:FOLLOWS]->(followed:User)
RETURN followed.screen_name
LIMIT 3","match
$u isa user, has screen_name ""thobe"";
$followed isa user;
follows (follower: $u, followed: $followed);
limit 3;
fetch {
  ""screen_name"": $followed.screen_name
};"
