original_index,question,cypher,error
29,List the first 5 movies that were released on a Friday.,"MATCH (m:Movie)
WHERE apoc.date.fields(m.released).dayOfWeek = 5
RETURN m.title, m.released
ORDER BY m.released
LIMIT 5",Unsupported feature: date arithmetic / day-of-week extraction (apoc.date.fields().dayOfWeek). TypeQL has no equivalent function to compute day of week from a date string.
396,Identify directors who directed a movie in the year they were born.,"MATCH (d:Director)-[:DIRECTED]->(m:Movie)
WHERE d.born IS NOT NULL AND m.year = date(d.born).year
RETURN d.name AS DirectorName, m.title AS MovieTitle, d.born AS BirthYear, m.year AS MovieYear",Unsupported: date component extraction (date(d.born).year). TypeQL has no function to extract year from a date value.
408,Which actors have acted in movies that were released on their birthday?,"MATCH (a:Actor)-[:ACTED_IN]->(m:Movie)
WHERE date(m.released) = date(a.born)
RETURN a.name AS actorName, m.title AS movieTitle, a.born AS birthDate, m.released AS releaseDate",Requires date() type casting to compare string (released) with date (born) attributes. TypeQL does not support cross-type comparison or string-to-date casting.
447,What are the first 3 movies with a director who has a bio longer than 500 words?,"MATCH (d:Director)-[:DIRECTED]->(m:Movie)
WHERE size(split(d.bio, "" "")) > 500
RETURN m.title AS MovieTitle, d.name AS DirectorName
ORDER BY m.released
LIMIT 3",Unsupported: Cypher uses split() to count words in a string. TypeQL has no split() or word-count function.
455,What are the top 5 movies with the smallest gap between release and rating date?,"MATCH (u:User)-[r:RATED]->(m:Movie)
WITH m, r, duration.inDays(date(m.released), date(datetime({epochSeconds: r.timestamp}))) AS gap
RETURN m.title AS movieTitle, gap
ORDER BY gap ASC
LIMIT 5","Unsupported: date arithmetic (duration.inDays, epoch seconds to date conversion) not available in TypeQL 3.0"
481,Which 5 movies have the most quotes listed in their plots?,"MATCH (m:Movie)
WITH m, size(split(m.plot, '""')) / 2 AS quote_count
RETURN m.title AS movie_title, quote_count
ORDER BY quote_count DESC
LIMIT 5",Uses split() and size() string functions which are unsupported in TypeQL
529,What are the top 5 movies released in the last 5 years?,"MATCH (m:Movie)
WHERE m.released >= date().year - 5
RETURN m.title, m.released, m.imdbRating
ORDER BY m.imdbRating DESC
LIMIT 5",Unsupported: date arithmetic (date().year - 5) has no TypeQL equivalent; TypeQL cannot compute the current date/year dynamically
537,List the top 5 movies that have a plot description longer than 100 words.,"MATCH (m:Movie)
WHERE size(split(m.plot, "" "")) > 100
RETURN m.title, m.plot
ORDER BY size(split(m.plot, "" "")) DESC
LIMIT 5",Unsupported: split() and size() string/array functions have no TypeQL equivalent. Cannot count words in a string.
609,Find all users who rated a movie on its release date.,"MATCH (u:User)-[r:RATED]->(m:Movie)
WHERE date(datetime({epochSeconds: r.timestamp})) = date(m.released)
RETURN u.name AS userName, m.title AS movieTitle, r.rating AS rating",Unsupported: requires epoch-seconds-to-date conversion (date arithmetic). TypeQL cannot convert integer timestamps to date values for comparison.
676,List the top 3 movies with a released date on a Friday.,"MATCH (m:Movie)
WHERE date(m.released).dayOfWeek = 5
RETURN m.title, m.released
ORDER BY m.imdbRating DESC
LIMIT 3",Unsupported: date arithmetic (dayOfWeek) - released is a string attribute and TypeQL has no date parsing or day-of-week functions
703,List the first 3 users who rated a movie on its release day.,"MATCH (u:User)-[r:RATED]->(m:Movie)
WHERE date(datetime({epochSeconds: r.timestamp})) = date(m.released)
RETURN u.name AS userName, m.title AS movieTitle, date(datetime({epochSeconds: r.timestamp})) AS ratingDate
ORDER BY ratingDate
LIMIT 3","Unsupported: requires epoch-seconds-to-date conversion and string-to-date comparison. TypeQL has no built-in function to convert integer timestamps to dates, and released is a string type."
733,Find all movies that have been rated by users born after 1980.,"MATCH (u:User)-[:RATED]->(m:Movie)
WHERE date(u.born) > date('1980-01-01')
RETURN m.title AS MovieTitle, m.year AS ReleaseYear, u.name AS UserName",Schema mismatch: user entity does not own born attribute in TypeQL schema (only person does). The Cypher query references a property that does not exist on the User type.
