original_index,question,cypher,typeql,warnings
7,What are the URLs of the links contained in tweets from 'Neo4j'?,"MATCH (u:User {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)-[:CONTAINS]->(l:Link)
RETURN l.url","match
$u isa user, has screen_name ""neo4j"";
$t isa tweet;
$l isa link;
posts (author: $u, content: $t);
contains (containing_tweet: $t, contained_link: $l);
fetch { ""url"": $l.link_url };","wrong_entity_type: Question refers to 'neo4j' which should use 'me' entity, not 'user'"
13,Display tweets that use the source named 'Buffer'.,"MATCH (t:Tweet)-[:USING]->(s:Source {name: 'Buffer'})
RETURN t","match
$t isa tweet;
$s isa source, has source_name ""Buffer"";
using (tweet_content: $t, platform: $s);
fetch { ""text"": $t.text, ""tweet_id"": $t.tweet_id, ""created_at"": $t.created_at };",wrong_return_attribute: Question asks for 'name' but not in fetch clause
14,Find all tweets posted by 'Neo4j' between January and February 2021.,"MATCH (u:User {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)
WHERE t.created_at >= date('2021-01-01') AND t.created_at < date('2021-03-01') 
RETURN t","match
$u isa user, has screen_name ""neo4j"";
$t isa tweet, has created_at $ca;
posts (author: $u, content: $t);
$ca >= 2021-01-01T00:00:00;
$ca < 2021-03-01T00:00:00;
fetch { ""text"": $t.text, ""tweet_id"": $t.tweet_id, ""created_at"": $ca };","wrong_entity_type: Question refers to 'neo4j' which should use 'me' entity, not 'user'"
15,What are the names of all hashtags used in tweets from 'Neo4j'?,"MATCH (u:User {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)-[:TAGS]->(h:Hashtag)
RETURN DISTINCT h.name","match
$u isa user, has screen_name ""neo4j"";
$t isa tweet;
$h isa hashtag;
posts (author: $u, content: $t);
tags (tagged_tweet: $t, tag: $h);
fetch { ""name"": $h.hashtag_name };","wrong_entity_type: Question refers to 'neo4j' which should use 'me' entity, not 'user'"
20,How many followers does the user with screen name 'neo4j' have?,"MATCH (u:User {screen_name: 'neo4j'})
RETURN u.followers AS followers","match
$u isa user, has screen_name ""neo4j"";
fetch { ""followers"": $u.followers };","wrong_entity_type: Question refers to 'neo4j' which should use 'me' entity, not 'user'"
21,What is the location of the user with the highest betweenness value?,"MATCH (u:User)
WHERE u.betweenness IS NOT NULL
RETURN u.location
ORDER BY u.betweenness DESC
LIMIT 1","match
$u isa user, has betweenness $b;
sort $b desc;
limit 1;
fetch { ""location"": $u.location };",wrong_return_attribute: Question asks for 'betweenness' but not in fetch clause
27,Show the sources used by tweets that mention 'Neo4j'.,"MATCH (t:Tweet)-[:MENTIONS]->(:User {screen_name: 'neo4j'}), 
      (t)-[:USING]->(s:Source)
RETURN DISTINCT s.name AS source","match
$t isa tweet;
$u isa user, has screen_name ""neo4j"";
$s isa source;
mentions (source_tweet: $t, mentioned_user: $u);
using (tweet_content: $t, platform: $s);
fetch { ""source"": $s.source_name };","wrong_entity_type: Question refers to 'neo4j' which should use 'me' entity, not 'user'"
31,Which users have more than 10000 followers and less than 15000 statuses?,"MATCH (u:User)
WHERE u.followers > 10000 AND u.statuses < 15000
RETURN u.screen_name AS username, u.followers AS followerCount, u.statuses AS statusesCount","match
$u isa user, has followers $f, has statuses $s;
$f > 10000;
$s < 15000;
fetch { ""username"": $u.screen_name, ""followerCount"": $f, ""statusesCount"": $s };",wrong_return_attribute: Question asks for 'followers' but not in fetch clause
35,What are the names of the top 5 users with the highest betweenness centrality?,"MATCH (u:User)
RETURN u.name
ORDER BY u.betweenness DESC
LIMIT 5","match
$u isa user, has betweenness $b;
sort $b desc;
limit 5;
fetch { ""name"": $u.name };",wrong_return_attribute: Question asks for 'betweenness' but not in fetch clause
51,Which 3 users have the most followers among those who have interacted with Neo4j?,"MATCH (u:User)-[:INTERACTS_WITH]->(:Me {name: 'Neo4j'})
RETURN u.screen_name AS user, u.followers AS followerCount
ORDER BY followerCount DESC
LIMIT 3","match
$u isa user, has followers $f;
$me isa me, has name ""Neo4j"";
interacts_with (interactor: $u, target: $me);
sort $f desc;
limit 3;
fetch { ""user"": $u.screen_name, ""followerCount"": $f };",wrong_return_attribute: Question asks for 'followers' but not in fetch clause
59,List the 3 tweets by Neo4j that have been retweeted by users with more than 10000 followers.,"MATCH (me:Me {screen_name: 'neo4j'})-[:POSTS]->(tweet:Tweet)
WHERE exists {
  (tweet)<-[:RETWEETS]-(:Tweet)<-[:POSTS]-(retweeter:User)
  WHERE retweeter.followers > 10000
}
RETURN tweet.text
LIMIT 3","match
$me isa me, has screen_name ""neo4j"";
$tweet isa tweet;
$retweet isa tweet;
$retweeter isa user, has followers $f;
posts (author: $me, content: $tweet);
retweets (retweeting_tweet: $retweet, original_tweet: $tweet);
posts (author: $retweeter, content: $retweet);
$f > 10000;
limit 3;
fetch { ""text"": $tweet.text };",wrong_return_attribute: Question asks for 'followers' but not in fetch clause
60,What are the names of the top 5 users with the highest betweenness?,"MATCH (u:User)
RETURN u.name
ORDER BY u.betweenness DESC
LIMIT 5","match
$u isa user, has betweenness $b;
sort $b desc;
limit 5;
fetch { ""name"": $u.name };",wrong_return_attribute: Question asks for 'betweenness' but not in fetch clause
62,Who are the top 5 users based on the number of statuses they have posted?,"MATCH (u:User)
WHERE u.statuses IS NOT NULL
RETURN u.screen_name, u.statuses AS status_count
ORDER BY u.statuses DESC
LIMIT 5","match
$u isa user, has statuses $s;
sort $s desc;
limit 5;
fetch { ""screen_name"": $u.screen_name, ""status_count"": $s };",wrong_return_attribute: Question asks for 'statuses' but not in fetch clause
77,List the first 3 tweets that mention the user with the highest betweenness.,"MATCH (u:User)-[:MENTIONS]-(t:Tweet)
WHERE u.betweenness IS NOT NULL
WITH u, t
ORDER BY u.betweenness DESC
LIMIT 1
MATCH (t2:Tweet)-[:MENTIONS]->(u) 
RETURN t2.text
LIMIT 3","match
$u isa user, has betweenness $b;
$t isa tweet;
mentions (source_tweet: $t, mentioned_user: $u);
sort $b desc;
limit 3;
fetch { ""text"": $t.text };",wrong_return_attribute: Question asks for 'betweenness' but not in fetch clause
83,What are the top 3 most common tweet sources for the user 'neo4j'?,"MATCH (u:User {screen_name: 'neo4j'})-[:POSTS]->(t:Tweet)-[:USING]->(s:Source)
RETURN s.name AS source, count(*) AS count
ORDER BY count DESC
LIMIT 3","match
$u isa user, has screen_name ""neo4j"";
$t isa tweet;
$s isa source;
posts (author: $u, content: $t);
using (tweet_content: $t, platform: $s);
reduce $count = count($t) groupby $s;
sort $count desc;
limit 3;
fetch { ""source"": $s.source_name, ""count"": $count };","wrong_entity_type: Question refers to 'neo4j' which should use 'me' entity, not 'user'"
84,Identify the top 5 users with the most similar profiles to 'Neo4j' based on betweenness and following.,"MATCH (me:Me {name: 'Neo4j'})-[s:SIMILAR_TO]->(u:User)
WHERE s.score IS NOT NULL
RETURN u.screen_name AS user, s.score AS similarity
ORDER BY s.score DESC
LIMIT 5","match
$me isa me, has name ""Neo4j"";
$u isa user;
$s isa similar_to (source_user: $me, similar_user: $u), has score $sc;
sort $sc desc;
limit 5;
fetch { ""user"": $u.screen_name, ""similarity"": $sc };",wrong_return_attribute: Question asks for 'following' but not in fetch clause; wrong_return_attribute: Question asks for 'betweenness' but not in fetch clause
85,Which 3 tweets have the highest aggregation of favorites and retweets?,"MATCH (t:Tweet)
OPTIONAL MATCH (t)-[:RETWEETS]->(r:Tweet)
RETURN t, t.favorites + count(r) AS score
ORDER BY score DESC
LIMIT 3","match
$tweet isa tweet;
retweets (original_tweet: $tweet);
reduce $retweets = count groupby $tweet;
match
$tweet has favorites $favorites;
let $total = $favorites + $retweets;
sort $total desc;
limit 3;
fetch {
  ""tweet"": $tweet.text,
  ""total"": $total
};",wrong_return_attribute: Question asks for 'favorites' but not in fetch clause
